Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1.6e-05,18.581975,[12 26] ; [50 17],[22.43809524 15.56190476] ; [39.56190476 27.43809524],1
d3,1,2e-05,18.200054,[15 23] ; [54 13],[24.97142857 13.02857143] ; [44.02857143 22.97142857],1
d5,1,0.00193,9.614853,[22 16] ; [57 10],[28.59047619  9.40952381] ; [50.40952381 16.59047619],0
n1,1,0.003098,8.748818,[9 6] ; [ 3 19],[ 4.86486486 10.13513514] ; [ 7.13513514 14.86486486],0
p2,1,0.003385,8.587255,[18 20] ; [50 16],[24.84615385 13.15384615] ; [43.15384615 22.84615385],0
a2,1,0.010167,6.60546,[ 1 37] ; [14 53],[ 5.42857143 32.57142857] ; [ 9.57142857 57.42857143],0
d4,1,0.015646,5.842261,[27 11] ; [60  7],[31.48571429  6.51428571] ; [55.51428571 11.48571429],0
b5,1,0.016204,5.780636,[17 21] ; [46 21],[22.8 15.2] ; [40.2 26.8],0
d1,1,0.0181,5.586427,[13 25] ; [39 28],[18.81904762 19.18095238] ; [33.18095238 33.81904762],0
b1,1,0.0181,5.586427,[25 13] ; [28 39],[19.18095238 18.81904762] ; [33.81904762 33.18095238],0
p9,1,0.031046,4.650444,[16 21] ; [43 23],[21.19417476 15.80582524] ; [37.80582524 28.19417476],0
s3,1,0.032642,4.564483,[23 14] ; [27 40],[17.78846154 19.21153846] ; [32.21153846 34.78846154],0
s4,1,0.051711,3.78509,[11 27] ; [ 9 58],[ 7.23809524 30.76190476] ; [12.76190476 54.23809524],0
n2,1,0.064695,3.412733,[12  3] ; [11 11],[9.32432432 5.67567568] ; [13.67567568  8.32432432],0
p10,1,0.070509,3.271132,[15 22] ; [39 27],[19.39805825 17.60194175] ; [34.60194175 31.39805825],0
u2,1,0.088508,2.901297,[13  2] ; [16 10],[10.6097561  4.3902439] ; [18.3902439  7.6097561],0
b2,1,0.173955,1.848524,[10 14] ; [ 9 27],[ 7.6 16.4] ; [11.4 24.6],0
b3,1,0.173955,1.848524,[10 14] ; [ 9 27],[ 7.6 16.4] ; [11.4 24.6],0
a1,1,0.256272,1.288786,[ 3 35] ; [ 2 65],[ 1.80952381 36.19047619] ; [ 3.19047619 63.80952381],0
v1,1,0.270727,1.213062,[18 20] ; [24 42],[15.34615385 22.65384615] ; [26.65384615 39.34615385],0
v3,1,0.277104,1.18124,[11 22] ; [15 50],[ 8.75510204 24.24489796] ; [17.24489796 47.75510204],0
s1,1,0.397746,0.71513,[ 4 34] ; [ 4 63],[ 2.8952381 35.1047619] ; [ 5.1047619 61.8952381],0
p7,1,0.411467,0.674557,[18 20] ; [25 39],[16.01960784 21.98039216] ; [26.98039216 37.01960784],0
s5,1,0.4409,0.593939,[ 9 26] ; [12 51],[ 7.5 27.5] ; [13.5 49.5],0
p11,1,0.480451,0.49784,[22 16] ; [34 33],[20.26666667 17.73333333] ; [35.73333333 31.26666667],0
n4,1,0.493835,0.468159,[15 23] ; [22 45],[13.39047619 24.60952381] ; [23.60952381 43.39047619],0
a4,1,0.493835,0.468159,[15 23] ; [22 45],[13.39047619 24.60952381] ; [23.60952381 43.39047619],0
r4,1,0.497049,0.461231,[29  9] ; [47 20],[27.5047619 10.4952381] ; [48.4952381 18.5047619],0
v4,1,0.510873,0.432279,[29  8] ; [56 11],[30.24038462  6.75961538] ; [54.75961538 12.24038462],0
p6,1,0.513972,0.425972,[ 8 28] ; [11 54],[ 6.77227723 29.22772277] ; [12.22772277 52.77227723],0
p1,1,0.516077,0.421726,[ 5 33] ; [ 6 60],[ 4.01923077 33.98076923] ; [ 6.98076923 59.01923077],0
a5,1,0.523973,0.406067,[22 16] ; [43 24],[23.52380952 14.47619048] ; [41.47619048 25.52380952],0
s7,1,0.580626,0.305224,[ 9 24] ; [20 41],[10.18085106 22.81914894] ; [18.81914894 42.18085106],0
r2,1,0.598009,0.278009,[30  7] ; [57 10],[30.95192308  6.04807692] ; [56.04807692 10.95192308],0
d2,1,0.628625,0.23393,[16 22] ; [25 42],[14.83809524 23.16190476] ; [26.16190476 40.83809524],0
n3,1,0.628745,0.233766,[10  4] ; [14  8],[9.33333333 4.66666667] ; [14.66666667  7.33333333],0
v2,1,0.652144,0.203208,[14 22] ; [27 35],[15.06122449 20.93877551] ; [25.93877551 36.06122449],0
p4,1,0.671045,0.180382,[16 22] ; [25 41],[14.98076923 23.01923077] ; [26.01923077 39.98076923],0
p12,1,0.683463,0.166254,[ 1 36] ; [ 1 64],[ 0.7254902 36.2745098] ; [ 1.2745098 63.7254902],0
a8,1,0.694188,0.154589,[ 1 35] ; [ 1 61],[ 0.73469388 35.26530612] ; [ 1.26530612 60.73469388],0
p3,1,0.715468,0.132877,[16 22] ; [25 40],[15.12621359 22.87378641] ; [25.87378641 39.12621359],0
b4,1,0.740171,0.109976,[22 16] ; [41 26],[22.8 15.2] ; [40.2 26.8],0
r3,1,0.740171,0.109976,[32  6] ; [58  9],[32.57142857  5.42857143] ; [57.42857143  9.57142857],0
u3,1,0.780941,0.077336,[11  4] ; [18  8],[10.6097561  4.3902439] ; [18.3902439  7.6097561],0
s8,1,0.818664,0.052562,[11 27] ; [18 49],[10.4952381 27.5047619] ; [18.5047619 48.4952381],0
p8,1,0.870128,0.026731,[14 24] ; [25 40],[14.38834951 23.61165049] ; [24.61165049 40.38834951],0
r1,1,0.915626,0.011224,[28 10] ; [48 18],[27.76923077 10.23076923] ; [48.23076923 17.76923077],0
a3,1,0.933926,0.006874,[23 15] ; [40 27],[22.8 15.2] ; [40.2 26.8],0
s2,1,0.96169,0.002307,[14 24] ; [25 42],[14.11428571 23.88571429] ; [24.88571429 42.11428571],0
s6,1,0.974787,0.000999,[17 20] ; [31 36],[17.07692308 19.92307692] ; [30.92307692 36.07692308],0
