Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.005376,7.748457,[22 15] ; [ 8 23],[16.32352941 20.67647059] ; [13.67647059 17.32352941],0
u3,1,0.006417,7.429254,[ 5 12] ; [11  3],[8.77419355 8.22580645] ; [7.22580645 6.77419355],0
s7,1,0.110941,2.540761,[13 20] ; [ 6 23],[10.11290323 22.88709677] ; [ 8.88709677 20.11290323],0
p7,1,0.117164,2.454823,[14 22] ; [18 13],[17.19402985 18.80597015] ; [14.80597015 16.19402985],0
s3,1,0.127135,2.327144,[17 19] ; [21 11],[20.11764706 15.88235294] ; [17.88235294 14.11764706],0
v3,1,0.137214,2.208925,[10 24] ; [ 4 25],[ 7.55555556 26.44444444] ; [ 6.44444444 22.55555556],0
d2,1,0.156023,2.012351,[19 18] ; [11 21],[16.08695652 20.91304348] ; [13.91304348 18.08695652],0
d1,1,0.172064,1.864865,[15 22] ; [ 8 24],[12.33333333 24.66666667] ; [10.66666667 21.33333333],0
n2,1,0.23314,1.421602,[11  5] ; [13  2],[12.38709677  3.61290323] ; [11.61290323  3.38709677],0
u2,1,0.24179,1.370128,[10  7] ; [11  3],[11.51612903  5.48387097] ; [9.48387097 4.51612903],0
n3,1,0.255704,1.291866,[8 7] ; [11  4],[9.5 5.5] ; [9.5 5.5],0
v4,1,0.262947,1.253175,[24 11] ; [25  6],[25.98484848  9.01515152] ; [23.01515152  7.98484848],0
d3,1,0.280219,1.166026,[15 22] ; [ 9 23],[12.86956522 24.13043478] ; [11.13043478 20.86956522],0
p2,1,0.281815,1.158317,[21 14] ; [15 17],[18.80597015 16.19402985] ; [17.19402985 14.80597015],0
d5,1,0.295864,1.092743,[22 15] ; [15 17],[19.84057971 17.15942029] ; [17.15942029 14.84057971],0
a1,1,0.296951,1.087838,[ 2 35] ; [ 4 28],[ 3.2173913 33.7826087] ; [ 2.7826087 29.2173913],0
p4,1,0.309718,1.03188,[13 23] ; [15 16],[15.04477612 20.95522388] ; [12.95522388 18.04477612],0
p8,1,0.397068,0.717188,[ 9 27] ; [11 21],[10.58823529 25.41176471] ; [ 9.41176471 22.58823529],0
s6,1,0.411019,0.67585,[18 19] ; [12 19],[16.32352941 20.67647059] ; [13.67647059 17.32352941],0
r3,1,0.458702,0.549061,[26 11] ; [25  7],[27.34782609  9.65217391] ; [23.65217391  8.34782609],0
s2,1,0.480169,0.49848,[12 25] ; [13 19],[13.4057971 23.5942029] ; [11.5942029 20.4057971],0
d4,1,0.514845,0.424207,[21 16] ; [20 11],[22.30882353 14.69117647] ; [18.69117647 12.30882353],0
b5,1,0.528464,0.397343,[19 18] ; [14 18],[17.69565217 19.30434783] ; [15.30434783 16.69565217],0
p9,1,0.558067,0.343062,[20 16] ; [15 16],[18.80597015 17.19402985] ; [16.19402985 14.80597015],0
r1,1,0.596585,0.280178,[22 15] ; [17 15],[20.91304348 16.08695652] ; [18.08695652 13.91304348],0
r4,1,0.628037,0.234733,[21 16] ; [20 12],[21.98550725 15.01449275] ; [19.01449275 12.98550725],0
p5,1,0.662903,0.190016,[ 2 35] ; [ 1 30],[ 1.63235294 35.36764706] ; [ 1.36764706 29.63235294],0
a8,1,0.666062,0.186243,[ 2 34] ; [ 1 29],[ 1.63636364 34.36363636] ; [ 1.36363636 28.63636364],0
a4,1,0.679676,0.170491,[11 26] ; [11 21],[11.79710145 25.20289855] ; [10.20289855 21.79710145],0
a5,1,0.736729,0.113022,[17 20] ; [16 16],[17.69565217 19.30434783] ; [15.30434783 16.69565217],0
p10,1,0.828099,0.04715,[16 19] ; [15 16],[16.43939394 18.56060606] ; [14.56060606 16.43939394],0
b2,1,0.833596,0.044139,[10 16] ; [ 6 11],[ 9.6744186 16.3255814] ; [ 6.3255814 10.6744186],0
b3,1,0.833596,0.044139,[10 16] ; [ 6 11],[ 9.6744186 16.3255814] ; [ 6.3255814 10.6744186],0
a6,1,0.838508,0.041536,[13 24] ; [12 20],[13.4057971 23.5942029] ; [11.5942029 20.4057971],0
r2,1,0.850439,0.035554,[28  7] ; [25  7],[27.68656716  7.31343284] ; [25.31343284  6.68656716],0
p1,1,0.852249,0.034689,[ 3 34] ; [ 3 29],[ 3.2173913 33.7826087] ; [ 2.7826087 29.2173913],0
p3,1,0.854567,0.033597,[12 24] ; [10 22],[11.64705882 24.35294118] ; [10.35294118 21.64705882],0
p11,1,0.854898,0.033443,[20 17] ; [18 14],[20.37681159 16.62318841] ; [17.62318841 14.37681159],0
a3,1,0.854898,0.033443,[20 17] ; [18 14],[20.37681159 16.62318841] ; [17.62318841 14.37681159],0
b4,1,0.854898,0.033443,[20 17] ; [18 14],[20.37681159 16.62318841] ; [17.62318841 14.37681159],0
v2,1,0.865892,0.02852,[14 21] ; [11 18],[13.671875 21.328125] ; [11.328125 17.671875],0
s1,1,0.903312,0.014757,[ 2 34] ; [ 2 30],[ 2.11764706 33.88235294] ; [ 1.88235294 30.11764706],0
p12,1,0.914433,0.011545,[ 1 35] ; [ 1 30],[ 1.07462687 34.92537313] ; [ 0.92537313 30.07462687],0
s5,1,0.914588,0.011503,[ 8 28] ; [ 7 23],[ 8.18181818 27.81818182] ; [ 6.81818182 23.18181818],0
v1,1,0.938486,0.005956,[17 20] ; [15 17],[17.15942029 19.84057971] ; [14.84057971 17.15942029],0
b1,1,0.947289,0.004371,[24 13] ; [21 11],[24.13043478 12.86956522] ; [20.86956522 11.13043478],0
s8,1,0.94821,0.004219,[ 9 28] ; [ 8 24],[ 9.11594203 27.88405797] ; [ 7.88405797 24.11594203],0
s4,1,0.979699,0.000648,[ 8 29] ; [ 7 25],[ 8.04347826 28.95652174] ; [ 6.95652174 25.04347826],0
p6,1,0.985257,0.000341,[ 8 26] ; [ 7 23],[ 7.96875 26.03125] ; [ 7.03125 22.96875],0
n1,1,1.0,0.0,[8 8] ; [7 7],[8. 8.] ; [7. 7.],0
