Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,50.03668,[133  11] ; [2 9],[125.41935484  18.58064516] ; [9.58064516 1.41935484],1
d4,1,1.6e-05,18.625461,[125  19] ; [4 7],[119.84516129  24.15483871] ; [9.15483871 1.84516129],1
v4,1,3e-05,17.407265,[137   6] ; [7 4],[133.71428571   9.28571429] ; [10.28571429  0.71428571],1
p2,1,3.2e-05,17.272368,[110  34] ; [2 9],[104.0516129  39.9483871] ; [7.9483871 3.0516129],1
s1,1,4e-05,16.879474,[  3 137] ; [3 8],[  5.56291391 134.43708609] ; [ 0.43708609 10.56291391],1
v2,1,0.000147,14.40619,[111  30] ; [3 8],[105.75  35.25] ; [8.25 2.75],1
r1,1,0.000277,13.217686,[118  25] ; [4 7],[113.28571429  29.71428571] ; [8.71428571 2.28571429],1
n6,1,0.000539,11.974297,[123  20] ; [5 6],[118.85714286  24.14285714] ; [9.14285714 1.85714286],1
p11,1,0.000546,11.953106,[109  35] ; [3 8],[104.0516129  39.9483871] ; [7.9483871 3.0516129],1
p1,1,0.001586,9.975699,[  6 138] ; [3 8],[  8.36129032 135.63870968] ; [ 0.63870968 10.36129032],0
s3,1,0.004057,8.258149,[78 59] ; [1 9],[73.62585034 63.37414966] ; [5.37414966 4.62585034],0
d1,1,0.00462,8.022528,[89 55] ; [2 9],[84.54193548 59.45806452] ; [6.45806452 4.54193548],0
d3,1,0.007142,7.236854,[107  37] ; [4 7],[103.12258065  40.87741935] ; [7.87741935 3.12258065],0
p7,1,0.015328,5.878313,[68 69] ; [1 9],[64.30612245 72.69387755] ; [4.69387755 5.30612245],0
s2,1,0.022583,5.200312,[77 66] ; [2 9],[73.35714286 69.64285714] ; [5.64285714 5.35714286],0
p10,1,0.027273,4.873464,[107  34] ; [5 6],[103.89473684  37.10526316] ; [8.10526316 2.89473684],0
s6,1,0.035969,4.398556,[94 45] ; [4 7],[90.81333333 48.18666667] ; [7.18666667 3.81333333],0
p9,1,0.042493,4.115456,[112  27] ; [6 5],[109.34666667  29.65333333] ; [8.65333333 2.34666667],0
r2,1,0.049694,3.851748,[136   7] ; [8 2],[134.58823529   8.41176471] ; [9.41176471 0.58823529],0
b1,1,0.069781,3.288176,[ 41 103] ; [6 5],[ 43.66451613 100.33548387] ; [3.33548387 7.66451613],0
b5,1,0.078252,3.100841,[91 53] ; [4 7],[88.25806452 55.74193548] ; [6.74193548 4.25806452],0
a1,1,0.137412,2.206708,[  9 135] ; [2 9],[ 10.21935484 133.78064516] ; [ 0.78064516 10.21935484],0
a7,1,0.155246,2.019935,[107  37] ; [6 5],[104.98064516  39.01935484] ; [8.01935484 2.98064516],0
p4,1,0.186911,1.741798,[58 83] ; [2 8],[56.02649007 84.97350993] ; [3.97350993 6.02649007],0
d5,1,0.205147,1.605347,[115  29] ; [7 4],[113.34193548  30.65806452] ; [8.65806452 2.34193548],0
s8,1,0.208835,1.579487,[67 76] ; [3 8],[65. 78.] ; [5. 6.],0
p8,1,0.272512,1.204057,[62 78] ; [3 8],[60.26490066 79.73509934] ; [4.73509934 6.26490066],0
a5,1,0.280974,1.162373,[101  43] ; [6 5],[99.40645161 44.59354839] ; [7.59354839 3.40645161],0
n1,1,0.300954,1.069961,[10 29] ; [2 2],[10.88372093 28.11627907] ; [1.11627907 2.88372093],0
n4,1,0.320265,0.987864,[110  33] ; [7 4],[108.64285714  34.35714286] ; [8.35714286 2.64285714],0
v1,1,0.374848,0.787532,[84 58] ; [5 6],[82.60130719 59.39869281] ; [6.39869281 4.60130719],0
s5,1,0.406211,0.689863,[42 98] ; [2 9],[40.79470199 99.20529801] ; [3.20529801 7.79470199],0
a6,1,0.414004,0.667272,[96 48] ; [6 5],[94.76129032 49.23870968] ; [7.23870968 3.76129032],0
s7,1,0.4503,0.569896,[66 71] ; [4 7],[64.7972973 72.2027027] ; [5.2027027 5.7972973],0
a3,1,0.462499,0.53984,[103  41] ; [9 2],[104.0516129  39.9483871] ; [7.9483871 3.0516129],0
a4,1,0.602662,0.270999,[64 80] ; [4 7],[63.17419355 80.82580645] ; [4.82580645 6.17419355],0
p6,1,0.621084,0.244347,[ 35 106] ; [2 9],[ 34.32236842 106.67763158] ; [2.67763158 8.32236842],0
d2,1,0.68737,0.161947,[74 69] ; [5 6],[73.35714286 69.64285714] ; [5.64285714 5.35714286],0
a2,1,0.754941,0.097425,[ 32 112] ; [2 9],[ 31.58709677 112.41290323] ; [2.41290323 8.58709677],0
b2,1,0.77286,0.08331,[31 52] ; [3 4],[31.35555556 51.64444444] ; [2.64444444 4.35555556],0
b3,1,0.77286,0.08331,[31 52] ; [3 4],[31.35555556 51.64444444] ; [2.64444444 4.35555556],0
u2,1,0.811139,0.0571,[24 17] ; [1 1],[23.8372093 17.1627907] ; [1.1627907 0.8372093],0
p5,1,0.862115,0.030166,[ 11 133] ; [ 1 10],[ 11.1483871 132.8516129] ; [ 0.8516129 10.1483871],0
n2,1,0.879517,0.022977,[30 12] ; [3 1],[30.13043478 11.86956522] ; [2.86956522 1.13043478],0
b4,1,0.912307,0.012129,[94 50] ; [7 4],[93.83225806 50.16774194] ; [7.16774194 3.83225806],0
n5,1,0.92952,0.007823,[105  37] ; [8 3],[104.87581699  37.12418301] ; [8.12418301 2.87581699],0
u3,1,0.944922,0.004773,[21 19] ; [1 1],[20.95238095 19.04761905] ; [1.04761905 0.95238095],0
