Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,7.2e-05,15.752727,[49  6] ; [1 4],[45.83333333  9.16666667] ; [4.16666667 0.83333333],1
v4,1,0.000438,12.364617,[51  4] ; [2 3],[48.58333333  6.41666667] ; [4.41666667 0.58333333],1
p9,1,0.015239,5.888668,[40 15] ; [1 4],[37.58333333 17.41666667] ; [3.41666667 1.58333333],0
s1,1,0.021065,5.321407,[ 4 50] ; [2 3],[ 5.49152542 48.50847458] ; [0.50847458 4.49152542],0
p10,1,0.035716,4.410613,[37 18] ; [1 4],[34.83333333 20.16666667] ; [3.16666667 1.83333333],0
r2,1,0.039274,4.248959,[50  5] ; [3 2],[48.58333333  6.41666667] ; [4.41666667 0.58333333],0
p7,1,0.12771,2.320123,[24 30] ; [4 1],[25.62711864 28.37288136] ; [2.37288136 2.62711864],0
s6,1,0.134381,2.241147,[39 15] ; [2 3],[37.52542373 16.47457627] ; [3.47457627 1.52542373],0
p8,1,0.147812,2.094692,[21 34] ; [3 1],[22.37288136 32.62711864] ; [1.62711864 2.37288136],0
s3,1,0.161125,1.963636,[29 26] ; [1 4],[27.5 27.5] ; [2.5 2.5],0
p11,1,0.186449,1.745455,[38 17] ; [2 3],[36.66666667 18.33333333] ; [3.33333333 1.66666667],0
d3,1,0.240543,1.37741,[29 26] ; [4 1],[30.25 24.75] ; [2.75 2.25],0
d5,1,0.418492,0.654545,[42 13] ; [3 2],[41.25 13.75] ; [3.75 1.25],0
n5,1,0.419235,0.652458,[34 21] ; [4 1],[34.83333333 20.16666667] ; [3.16666667 1.83333333],0
n3,1,0.421317,0.646639,[13  4] ; [1 1],[12.52631579  4.47368421] ; [1.47368421 0.52631579],0
b4,1,0.432153,0.61703,[32 23] ; [2 3],[31.16666667 23.83333333] ; [2.83333333 2.16666667],0
p3,1,0.432153,0.61703,[32 23] ; [2 3],[31.16666667 23.83333333] ; [2.83333333 2.16666667],0
p5,1,0.432768,0.615385,[ 6 46] ; [1 3],[ 6.5 45.5] ; [0.5 3.5],0
s5,1,0.490632,0.47514,[18 33] ; [1 4],[17.30357143 33.69642857] ; [1.69642857 3.30357143],0
v3,1,0.490632,0.47514,[18 33] ; [1 4],[17.30357143 33.69642857] ; [1.69642857 3.30357143],0
p6,1,0.492557,0.470935,[19 35] ; [1 4],[18.30508475 35.69491525] ; [1.69491525 3.30508475],0
s2,1,0.504173,0.446142,[30 24] ; [2 3],[29.28813559 24.71186441] ; [2.71186441 2.28813559],0
v2,1,0.528265,0.397728,[29 24] ; [2 3],[28.32758621 24.67241379] ; [2.67241379 2.32758621],0
a4,1,0.58558,0.2973,[26 29] ; [3 2],[26.58333333 28.41666667] ; [2.41666667 2.58333333],0
d2,1,0.58558,0.2973,[29 26] ; [2 3],[28.41666667 26.58333333] ; [2.58333333 2.41666667],0
b2,1,0.612585,0.256428,[14 23] ; [1 3],[13.53658537 23.46341463] ; [1.46341463 2.53658537],0
b3,1,0.612585,0.256428,[14 23] ; [1 3],[13.53658537 23.46341463] ; [1.46341463 2.53658537],0
d4,1,0.724771,0.123967,[40 15] ; [4 1],[40.33333333 14.66666667] ; [3.66666667 1.33333333],0
v1,1,0.729731,0.119359,[25 27] ; [2 3],[24.63157895 27.36842105] ; [2.36842105 2.63157895],0
a2,1,0.743641,0.106952,[ 8 47] ; [1 4],[ 8.25 46.75] ; [0.75 4.25],0
a6,1,0.754969,0.097403,[29 26] ; [3 2],[29.33333333 25.66666667] ; [2.66666667 2.33333333],0
b1,1,0.814421,0.055096,[25 30] ; [2 3],[24.75 30.25] ; [2.25 2.75],0
d1,1,0.814421,0.055096,[30 25] ; [3 2],[30.25 24.75] ; [2.75 2.25],0
n1,1,0.866815,0.028125,[7 9] ; [1 1],[7.11111111 8.88888889] ; [0.88888889 1.11111111],0
a7,1,0.875164,0.024681,[31 24] ; [3 2],[31.16666667 23.83333333] ; [2.83333333 2.16666667],0
b5,1,0.875164,0.024681,[31 24] ; [3 2],[31.16666667 23.83333333] ; [2.83333333 2.16666667],0
n6,1,0.882154,0.021975,[43 12] ; [3 1],[42.88135593 12.11864407] ; [3.11864407 0.88135593],0
u1,1,0.91987,0.01012,[10 45] ; [1 4],[10.08333333 44.91666667] ; [0.91666667 4.08333333],0
n4,1,1.0,0.0,[33 22] ; [3 2],[33. 22.] ; [3. 2.],0
