Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,27.220754,[17 61] ; [21  6],[28.22857143 49.77142857] ; [ 9.77142857 17.22857143],1
p2,1,0.003387,8.586189,[31 48] ; [20  8],[37.65420561 41.34579439] ; [13.34579439 14.65420561],0
p4,1,0.005116,7.837965,[18 60] ; [14 13],[23.77142857 54.22857143] ; [ 8.22857143 18.77142857],0
d3,1,0.005247,7.792366,[38 41] ; [22  6],[44.29906542 34.70093458] ; [15.70093458 12.29906542],0
a4,1,0.011415,6.399607,[35 43] ; [ 5 23],[29.43396226 48.56603774] ; [10.56603774 17.43396226],0
p6,1,0.012053,6.30303,[ 8 70] ; [ 8 18],[12. 66.] ; [ 4. 22.],0
b3,1,0.018052,5.591107,[19 32] ; [ 1 15],[15.2238806 35.7761194] ; [ 4.7761194 11.2238806],0
b2,1,0.018052,5.591107,[19 32] ; [ 1 15],[15.2238806 35.7761194] ; [ 4.7761194 11.2238806],0
p10,1,0.022215,5.228839,[10 68] ; [ 9 19],[13.98113208 64.01886792] ; [ 5.01886792 22.98113208],0
v2,1,0.041906,4.138989,[27 50] ; [16 12],[31.53333333 45.46666667] ; [11.46666667 16.53333333],0
p3,1,0.046338,3.969256,[16 63] ; [11 17],[19.93457944 59.06542056] ; [ 7.06542056 20.93457944],0
p11,1,0.078333,3.099151,[30 49] ; [16 12],[33.96261682 45.03738318] ; [12.03738318 15.96261682],0
v4,1,0.078749,3.090542,[57 21] ; [25  3],[60.33962264 17.66037736] ; [21.66037736  6.33962264],0
s2,1,0.114921,2.485207,[ 8 70] ; [ 6 21],[10.4 67.6] ; [ 3.6 23.4],0
d1,1,0.128285,2.313135,[32 47] ; [16 12],[35.43925234 43.56074766] ; [12.56074766 15.43925234],0
u2,1,0.162839,1.947659,[12 22] ; [8 6],[14.16666667 19.83333333] ; [5.83333333 8.16666667],0
s8,1,0.179118,1.804924,[ 7 71] ; [ 5 22],[ 8.91428571 69.08571429] ; [ 3.08571429 23.91428571],0
s4,1,0.187791,1.734864,[10 69] ; [ 1 26],[ 8.19811321 70.80188679] ; [ 2.80188679 24.19811321],0
a6,1,0.21621,1.529352,[43 36] ; [19  9],[45.77570093 33.22429907] ; [16.22429907 11.77570093],0
a5,1,0.257463,1.28235,[41 38] ; [18 10],[43.56074766 35.43925234] ; [15.43925234 12.56074766],0
r2,1,0.263284,1.251407,[61 16] ; [24  3],[62.93269231 14.06730769] ; [22.06730769  4.93269231],0
r3,1,0.266636,1.233974,[55 22] ; [23  5],[57.2 19.8] ; [20.8  7.2],0
d2,1,0.289275,1.122995,[35 42] ; [16 12],[37.4 39.6] ; [13.6 14.4],0
b5,1,0.308275,1.038054,[42 37] ; [18 10],[44.29906542 34.70093458] ; [15.70093458 12.29906542],0
u3,1,0.324198,0.971935,[15 21] ; [8 6],[16.56 19.44] ; [6.44 7.56],0
r4,1,0.369934,0.803887,[46 33] ; [19  9],[47.99065421 31.00934579] ; [17.00934579 10.99065421],0
v3,1,0.403144,0.698929,[19 57] ; [ 9 18],[20.66019417 55.33980583] ; [ 7.33980583 19.66019417],0
p5,1,0.438911,0.599128,[ 1 78] ; [ 1 27],[ 1.47663551 77.52336449] ; [ 0.52336449 27.47663551],0
a2,1,0.486439,0.484392,[16 63] ; [ 4 24],[14.76635514 64.23364486] ; [ 5.23364486 22.76635514],0
u1,1,0.548982,0.359145,[ 8 71] ; [ 4 24],[ 8.85981308 70.14018692] ; [ 3.14018692 24.85981308],0
n6,1,0.554269,0.349725,[50 28] ; [19  8],[51.25714286 26.74285714] ; [17.74285714  9.25714286],0
v1,1,0.573532,0.316809,[21 58] ; [ 9 19],[22.14953271 56.85046729] ; [ 7.85046729 20.14953271],0
s1,1,0.5771,0.310946,[ 5 73] ; [ 1 27],[ 4.41509434 73.58490566] ; [ 1.58490566 26.41509434],0
s5,1,0.584419,0.299145,[12 66] ; [ 3 24],[11.14285714 66.85714286] ; [ 3.85714286 23.14285714],0
b1,1,0.603185,0.270219,[44 35] ; [14 14],[42.82242991 36.17757009] ; [15.17757009 12.82242991],0
a3,1,0.640583,0.217981,[43 35] ; [14 14],[41.94339623 36.05660377] ; [15.05660377 12.94339623],0
b4,1,0.649388,0.206673,[49 30] ; [16 12],[47.99065421 31.00934579] ; [17.00934579 10.99065421],0
n2,1,0.650844,0.204838,[19 15] ; [7 4],[19.64444444 14.35555556] ; [6.35555556 4.64444444],0
n1,1,0.665079,0.187412,[10 24] ; [4 7],[10.57777778 23.42222222] ; [3.42222222 7.57777778],0
s7,1,0.676095,0.174555,[11 62] ; [ 5 22],[11.68 61.32] ; [ 4.32 22.68],0
n4,1,0.683327,0.166405,[48 30] ; [16 12],[47.09433962 30.90566038] ; [16.90566038 11.09433962],0
s6,1,0.786312,0.073497,[21 57] ; [ 8 19],[21.54285714 56.45714286] ; [ 7.45714286 19.54285714],0
a8,1,0.794398,0.067914,[ 5 69] ; [ 2 22],[ 5.28571429 68.71428571] ; [ 1.71428571 22.28571429],0
n5,1,0.815806,0.054262,[41 37] ; [14 14],[40.47169811 37.52830189] ; [14.52830189 13.47169811],0
d5,1,0.857484,0.032248,[55 24] ; [20  8],[55.37383178 23.62616822] ; [19.62616822  8.37383178],0
n3,1,0.860515,0.030877,[19 14] ; [6 5],[18.75 14.25] ; [6.25 4.75],0
a7,1,0.879598,0.022946,[48 29] ; [17 11],[47.66666667 29.33333333] ; [17.33333333 10.66666667],0
p1,1,0.893482,0.017929,[ 5 73] ; [ 2 26],[ 5.1509434 72.8490566] ; [ 1.8490566 26.1509434],0
r1,1,0.916659,0.01095,[51 27] ; [18 10],[50.77358491 27.22641509] ; [18.22641509  9.77358491],0
d4,1,0.970556,0.001362,[56 22] ; [20  8],[55.9245283 22.0754717] ; [20.0754717  7.9245283],0
