Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,7e-06,20.283824,[19 24] ; [244  74],[31.32686981 11.67313019] ; [231.67313019  86.32686981],1
s8,1,1.2e-05,19.089292,[15 30] ; [222 110],[28.28912467 16.71087533] ; [208.71087533 123.28912467],1
s5,1,4.1e-05,16.812649,[ 8 35] ; [167 155],[20.61643836 22.38356164] ; [154.38356164 167.61643836],1
d5,1,0.000525,12.026098,[30 15] ; [287  44],[37.93882979  7.06117021] ; [279.06117021  51.93882979],1
s3,1,0.000696,11.500735,[34 11] ; [303  27],[40.44  4.56] ; [296.56  33.44],1
p4,1,0.000862,11.101827,[19 25] ; [227 104],[28.864 15.136] ; [217.136 113.864],1
p9,1,0.001379,10.233416,[32 12] ; [294  34],[38.55913978  5.44086022] ; [287.44086022  40.55913978],0
v4,1,0.002281,9.308108,[41  4] ; [328   5],[43.92857143  1.07142857] ; [325.07142857   7.92857143],0
a2,1,0.002504,9.137971,[ 5 40] ; [111 223],[13.77308707 31.22691293] ; [102.22691293 231.77308707],0
r4,1,0.010826,6.493685,[41  4] ; [327   7],[43.6939314  1.3060686] ; [324.3060686   9.6939314],0
n6,1,0.013123,6.152492,[33 11] ; [291  38],[38.21983914  5.78016086] ; [285.78016086  43.21983914],0
s4,1,0.0237,5.116477,[ 4 41] ; [ 78 250],[ 9.89276139 35.10723861] ; [ 72.10723861 255.89276139],0
b5,1,0.026983,4.891926,[20 25] ; [206 128],[26.83377309 18.16622691] ; [199.16622691 134.83377309],0
p5,1,0.028487,4.798332,[ 1 41] ; [ 48 283],[ 5.51742627 36.48257373] ; [ 43.48257373 287.51742627],0
a6,1,0.038713,4.273412,[24 21] ; [227 103],[30.12 14.88] ; [220.88 109.12],0
u1,1,0.048708,3.885383,[ 6 39] ; [ 90 244],[11.39841689 33.60158311] ; [ 84.60158311 249.39841689],0
p8,1,0.060428,3.52559,[18 26] ; [184 145],[23.82841823 20.17158177] ; [178.17158177 150.82841823],0
a4,1,0.062779,3.462391,[17 28] ; [175 158],[22.85714286 22.14285714] ; [169.14285714 163.85714286],0
p1,1,0.06679,3.360205,[ 1 44] ; [ 36 294],[ 4.44 40.56] ; [ 32.56 297.44],0
p6,1,0.080899,3.046749,[14 30] ; [150 178],[19.39784946 24.60215054] ; [144.60215054 183.39784946],0
d1,1,0.089367,2.885731,[25 20] ; [228 106],[30.03957784 14.96042216] ; [222.96042216 111.03957784],0
