Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,24.959492,[57 39] ; [ 3 30],[44.65116279 51.34883721] ; [15.34883721 17.65116279],1
d4,1,4.4e-05,16.671983,[80 16] ; [15 17],[71.25 24.75] ; [23.75  8.25],1
d2,1,0.000728,11.417177,[56 40] ; [ 8 25],[47.62790698 48.37209302] ; [16.37209302 16.62790698],1
p2,1,0.00344,8.55811,[68 28] ; [14 19],[61.02325581 34.97674419] ; [20.97674419 12.02325581],0
a4,1,0.005688,7.646518,[41 55] ; [ 5 27],[34.5 61.5] ; [11.5 20.5],0
a3,1,0.008238,6.980992,[63 33] ; [13 20],[56.55813953 39.44186047] ; [19.44186047 13.55813953],0
a2,1,0.010033,6.62906,[22 74] ; [ 1 32],[17.11627907 78.88372093] ; [ 5.88372093 27.11627907],0
a7,1,0.010217,6.596591,[70 26] ; [16 17],[64. 32.] ; [22. 11.],0
a5,1,0.016925,5.704151,[66 30] ; [15 18],[60.27906977 35.72093023] ; [20.72093023 12.27906977],0
p10,1,0.017255,5.670209,[30 66] ; [ 3 28],[24.94488189 71.05511811] ; [ 8.05511811 22.94488189],0
d3,1,0.040912,4.179665,[63 33] ; [15 18],[58.04651163 37.95348837] ; [19.95348837 13.04651163],0
a6,1,0.04874,3.884301,[65 31] ; [16 17],[60.27906977 35.72093023] ; [20.72093023 12.27906977],0
s4,1,0.052187,3.769755,[15 78] ; [ 1 32],[11.80952381 81.19047619] ; [ 4.19047619 28.80952381],0
s6,1,0.060973,3.510719,[52 42] ; [12 21],[47.37007874 46.62992126] ; [16.62992126 16.37007874],0
s8,1,0.063711,3.438054,[30 64] ; [ 5 28],[25.90551181 68.09448819] ; [ 9.09448819 23.90551181],0
u1,1,0.082316,3.018562,[18 78] ; [ 2 31],[14.88372093 81.11627907] ; [ 5.11627907 27.88372093],0
r3,1,0.098889,2.723372,[95  1] ; [31  2],[93.76744186  2.23255814] ; [32.23255814  0.76744186],0
p6,1,0.101229,2.686077,[18 75] ; [11 22],[21.4047619 71.5952381] ; [ 7.5952381 25.4047619],0
b5,1,0.108788,2.571734,[59 37] ; [15 18],[55.06976744 40.93023256] ; [18.93023256 14.06976744],0
s7,1,0.112693,2.516046,[32 58] ; [ 6 24],[28.5 61.5] ; [ 9.5 20.5],0
p4,1,0.12463,2.358143,[48 48] ; [11 21],[44.25 51.75] ; [14.75 17.25],0
p7,1,0.138593,2.193516,[45 50] ; [20 12],[48.62204724 46.37795276] ; [16.37795276 15.62204724],0
b2,1,0.176704,1.825132,[14 47] ; [ 8 13],[16.36585366 44.63414634] ; [ 5.63414634 15.36585366],0
b3,1,0.176704,1.825132,[14 47] ; [ 8 13],[16.36585366 44.63414634] ; [ 5.63414634 15.36585366],0
s5,1,0.195535,1.675415,[21 72] ; [ 4 29],[18.45238095 74.54761905] ; [ 6.54761905 26.45238095],0
s3,1,0.265005,1.242419,[44 51] ; [19 14],[46.7578125 48.2421875] ; [16.2421875 16.7578125],0
n5,1,0.276222,1.185583,[57 39] ; [16 17],[54.3255814 41.6744186] ; [18.6744186 14.3255814],0
n1,1,0.306702,1.044825,[ 9 16] ; [5 4],[10.29411765 14.70588235] ; [3.70588235 5.29411765],0
a8,1,0.310155,1.030014,[ 8 77] ; [ 5 26],[ 9.52586207 75.47413793] ; [ 3.47413793 27.52586207],0
p8,1,0.336957,0.921975,[35 61] ; [ 9 24],[32.74418605 63.25581395] ; [11.25581395 21.74418605],0
u2,1,0.356741,0.849333,[15 17] ; [12  8],[16.61538462 15.38461538] ; [10.38461538  9.61538462],0
s2,1,0.388824,0.742618,[36 57] ; [10 23],[33.95238095 59.04761905] ; [12.04761905 20.95238095],0
u3,1,0.395689,0.721389,[22 11] ; [11  9],[20.54716981 12.45283019] ; [12.45283019  7.54716981],0
s1,1,0.407642,0.685667,[ 5 90] ; [ 3 29],[ 5.98425197 89.01574803] ; [ 2.01574803 29.98425197],0
n4,1,0.440646,0.594599,[68 28] ; [21 12],[66.23255814 29.76744186] ; [22.76744186 10.23255814],0
v3,1,0.4563,0.554956,[31 62] ; [13 19],[32.736 60.264] ; [11.264 20.736],0
v4,1,0.493934,0.467944,[89  6] ; [31  1],[89.76377953  5.23622047] ; [30.23622047  1.76377953],0
n6,1,0.571254,0.320588,[69 27] ; [22 11],[67.72093023 28.27906977] ; [23.27906977  9.72093023],0
p1,1,0.591151,0.28855,[ 6 89] ; [ 3 30],[ 6.6796875 88.3203125] ; [ 2.3203125 30.6796875],0
b4,1,0.603582,0.269627,[63 33] ; [20 13],[61.76744186 34.23255814] ; [21.23255814 11.76744186],0
a1,1,0.608277,0.262692,[ 5 91] ; [ 1 32],[ 4.46511628 91.53488372] ; [ 1.53488372 31.46511628],0
v1,1,0.61646,0.250875,[36 60] ; [14 19],[37.20930233 58.79069767] ; [12.79069767 20.20930233],0
p5,1,0.655827,0.198633,[ 4 92] ; [ 2 31],[ 4.46511628 91.53488372] ; [ 1.53488372 31.46511628],0
