Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,140.158277,[243  26] ; [28 69],[199.17759563  69.82240437] ; [71.82240437 25.17759563],1
s6,1,0.0,41.139588,[241  23] ; [62 36],[220.97237569  43.02762431] ; [82.02762431 15.97237569],1
s5,1,1e-06,24.879689,[141 115] ; [25 73],[120.04519774 135.95480226] ; [45.95480226 52.04519774],1
s8,1,0.000563,11.896016,[205  64] ; [56 41],[191.82786885  77.17213115] ; [69.17213115 27.82786885],1
d1,1,0.000785,11.275452,[187  84] ; [49 49],[173.32249322  97.67750678] ; [62.67750678 35.32249322],1
r2,1,0.001125,10.609981,[263   5] ; [88  9],[257.72054795  10.27945205] ; [93.27945205  3.72054795],0
s4,1,0.01089,6.483138,[ 66 203] ; [12 86],[ 57.17166213 211.82833787] ; [20.82833787 77.17166213],0
a4,1,0.015937,5.809775,[142 129] ; [37 60],[131.81793478 139.18206522] ; [47.18206522 49.81793478],0
p9,1,0.038499,4.282817,[259  12] ; [88 10],[254.84281843  16.15718157] ; [92.15718157  5.84281843],0
d2,1,0.043396,4.079917,[156 114] ; [45 53],[147.47282609 122.52717391] ; [53.52717391 44.47282609],0
r3,1,0.043703,4.067988,[263   7] ; [91  7],[259.72826087  10.27173913] ; [94.27173913  3.72826087],0
n2,1,0.046017,3.980963,[43  7] ; [18  9],[39.61038961 10.38961039] ; [21.38961039  5.61038961],0
n4,1,0.052696,3.753543,[233  38] ; [76 22],[226.93495935  44.06504065] ; [82.06504065 15.93495935],0
r4,1,0.059381,3.554597,[252  19] ; [85 13],[247.49864499  23.50135501] ; [89.50135501  8.49864499],0
v4,1,0.061771,3.489194,[262   6] ; [91  6],[259.1890411   8.8109589] ; [93.8109589  3.1890411],0
a1,1,0.068747,3.312686,[ 19 252] ; [ 2 96],[ 15.42276423 255.57723577] ; [ 5.57723577 92.42276423],0
d5,1,0.070276,3.276567,[230  39] ; [76 22],[224.28882834  44.71117166] ; [81.71117166 16.28882834],0
d4,1,0.07459,3.179018,[232  37] ; [77 21],[226.48773842  42.51226158] ; [82.51226158 15.48773842],0
p6,1,0.077128,3.124408,[133 135] ; [38 59],[125.55616438 142.44383562] ; [45.44383562 51.55616438],0
n6,1,0.085571,2.955789,[242  24] ; [83 15],[237.5  28.5] ; [87.5 10.5],0
a3,1,0.093131,2.819402,[229  41] ; [75 22],[223.65122616  46.34877384] ; [80.34877384 16.65122616],0
v2,1,0.114362,2.492881,[166  96] ; [52 44],[159.54189944 102.45810056] ; [58.45810056 37.54189944],0
v1,1,0.119698,2.421263,[161 102] ; [50 46],[154.57660167 108.42339833] ; [56.42339833 39.57660167],0
n5,1,0.13068,2.284406,[226  42] ; [76 22],[221.13661202  46.86338798] ; [80.86338798 17.13661202],0
b5,1,0.137962,2.200542,[159 112] ; [49 49],[152.75880759 118.24119241] ; [55.24119241 42.75880759],0
u1,1,0.177195,1.820996,[ 68 203] ; [18 80],[ 63.1598916 207.8401084] ; [22.8401084 75.1598916],0
n1,1,0.18057,1.792929,[26 23] ; [10 17],[23.21052632 25.78947368] ; [12.78947368 14.21052632],0
u4,1,0.182941,1.773568,[ 10 261] ; [ 1 97],[  8.07859079 262.92140921] ; [ 2.92140921 95.07859079],0
n3,1,0.18723,1.73928,[38 12] ; [16 10],[35.52631579 14.47368421] ; [18.47368421  7.52631579],0
a2,1,0.201785,1.629406,[ 82 189] ; [23 75],[ 77.11382114 193.88617886] ; [27.88617886 70.11382114],0
a6,1,0.202255,1.626018,[173  96] ; [70 28],[178.11171662  90.88828338] ; [64.88828338 33.11171662],0
p1,1,0.355335,0.854312,[ 31 238] ; [ 8 90],[ 28.58583106 240.41416894] ; [10.41416894 87.58583106],0
r1,1,0.357882,0.845313,[231  39] ; [80 18],[228.17934783  41.82065217] ; [82.82065217 15.17934783],0
d3,1,0.38679,0.74901,[197  73] ; [67 31],[193.69565217  76.30434783] ; [70.30434783 27.69565217],0
p4,1,0.402445,0.701008,[188  81] ; [64 34],[184.70844687  84.29155313] ; [67.29155313 30.70844687],0
p12,1,0.434694,0.610248,[ 33 237] ; [ 9 88],[ 30.89918256 239.10081744] ; [11.10081744 85.89918256],0
u3,1,0.46645,0.530372,[31 11] ; [15  8],[29.72307692 12.27692308] ; [16.27692308  6.72307692],0
p5,1,0.468207,0.526203,[ 43 223] ; [19 79],[ 45.30769231 220.69230769] ; [16.69230769 81.30769231],0
b4,1,0.490022,0.476479,[152 119] ; [51 47],[149.08672087 121.91327913] ; [53.91327913 44.08672087],0
a8,1,0.49282,0.470363,[ 42 206] ; [12 75],[ 39.9761194 208.0238806] ; [14.0238806 72.9761194],0
u2,1,0.619133,0.247088,[26 15] ; [16  7],[26.90625 14.09375] ; [15.09375  7.90625],0
p3,1,0.621938,0.243153,[157 112] ; [60 38],[159.05449591 109.94550409] ; [57.94550409 40.05449591],0
p7,1,0.626818,0.236401,[195  67] ; [69 27],[193.20670391  68.79329609] ; [70.79329609 25.20670391],0
a5,1,0.633279,0.227641,[219  52] ; [77 21],[217.38753388  53.61246612] ; [78.61246612 19.38753388],0
p2,1,0.669892,0.181728,[236  34] ; [84 14],[234.7826087  35.2173913] ; [85.2173913 12.7826087],0
p8,1,0.671763,0.179547,[158 109] ; [55 42],[156.23901099 110.76098901] ; [56.76098901 40.23901099],0
b1,1,0.715632,0.132717,[108 163] ; [37 61],[106.49051491 164.50948509] ; [38.50948509 59.49051491],0
b2,1,0.774219,0.082289,[ 79 107] ; [32 40],[ 80.02325581 105.97674419] ; [30.97674419 41.02325581],0
b3,1,0.774219,0.082289,[ 79 107] ; [32 40],[ 80.02325581 105.97674419] ; [30.97674419 41.02325581],0
p11,1,0.829548,0.046346,[227  44] ; [83 15],[227.66937669  43.33062331] ; [82.33062331 15.66937669],0
a7,1,0.83951,0.041014,[191  80] ; [68 30],[190.21409214  80.78590786] ; [68.78590786 29.21409214],0
v3,1,0.850642,0.035456,[124 137] ; [45 52],[123.20949721 137.79050279] ; [45.79050279 51.20949721],0
