Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,8.8e-05,15.382467,[11 24] ; [20  4],[18.38983051 16.61016949] ; [12.61016949 11.38983051],1
r1,1,0.001512,10.064185,[19 17] ; [22  2],[24.6 11.4] ; [16.4  7.6],0
a3,1,0.005189,7.8125,[19 17] ; [21  3],[24. 12.] ; [16.  8.],0
d2,1,0.007526,7.142857,[10 26] ; [15  9],[15. 21.] ; [10. 14.],0
a5,1,0.015058,5.909646,[19 17] ; [20  4],[23.4 12.6] ; [15.6  8.4],0
b4,1,0.026519,4.921875,[15 21] ; [17  7],[19.2 16.8] ; [12.8 11.2],0
n4,1,0.042754,4.105114,[23 13] ; [21  3],[26.4  9.6] ; [17.6  6.4],0
d1,1,0.044724,4.029018,[13 23] ; [15  9],[16.8 19.2] ; [11.2 12.8],0
p3,1,0.046432,3.96585,[12 23] ; [14  9],[15.68965517 19.31034483] ; [10.31034483 12.68965517],0
a4,1,0.046703,3.956044,[ 9 27] ; [12 12],[12.6 23.4] ; [ 8.4 15.6],0
b3,1,0.063601,3.440904,[ 7 13] ; [10  5],[ 9.71428571 10.28571429] ; [7.28571429 7.71428571],0
b2,1,0.063601,3.440904,[ 7 13] ; [10  5],[ 9.71428571 10.28571429] ; [7.28571429 7.71428571],0
d4,1,0.065087,3.402778,[26 10] ; [22  2],[28.8  7.2] ; [19.2  4.8],0
v1,1,0.08947,2.883879,[14 21] ; [15  9],[17.20338983 17.79661017] ; [11.79661017 12.20338983],0
b5,1,0.113846,2.5,[21 15] ; [ 9 15],[18. 18.] ; [12. 12.],0
s4,1,0.157299,2.0,[ 8 28] ; [ 2 22],[ 6. 30.] ; [ 4. 20.],0
r4,1,0.159352,1.98036,[26 10] ; [21  3],[28.2  7.8] ; [18.8  5.2],0
a2,1,0.162898,1.947115,[ 3 33] ; [ 5 19],[ 4.8 31.2] ; [ 3.2 20.8],0
n5,1,0.205828,1.600529,[23 13] ; [19  5],[25.2 10.8] ; [16.8  7.2],0
v4,1,0.218782,1.512346,[31  5] ; [23  1],[32.4  3.6] ; [21.6  2.4],0
s8,1,0.228951,1.447368,[11 25] ; [11 13],[13.2 22.8] ; [ 8.8 15.2],0
p2,1,0.265806,1.238263,[27  9] ; [20  3],[28.6779661  7.3220339] ; [18.3220339  4.6779661],0
p10,1,0.265806,1.238263,[27  9] ; [20  3],[28.6779661  7.3220339] ; [18.3220339  4.6779661],0
u1,1,0.275858,1.187384,[ 5 31] ; [ 6 18],[ 6.6 29.4] ; [ 4.4 19.6],0
s5,1,0.324661,0.970076,[ 5 29] ; [ 6 18],[ 6.44827586 27.55172414] ; [ 4.55172414 19.44827586],0
p1,1,0.333393,0.935673,[ 1 35] ; [ 2 22],[ 1.8 34.2] ; [ 1.2 22.8],0
a1,1,0.340356,0.909091,[ 2 34] ; [ 3 21],[ 3. 33.] ; [ 2. 22.],0
d5,1,0.393248,0.728874,[21 14] ; [17  7],[22.54237288 12.45762712] ; [15.45762712  8.54237288],0
p11,1,0.404123,0.696023,[25 11] ; [19  5],[26.4  9.6] ; [17.6  6.4],0
s3,1,0.427718,0.629012,[26 10] ; [15  9],[24.6 11.4] ; [16.4  7.6],0
s7,1,0.45888,0.548625,[14 21] ; [11 11],[15.35087719 19.64912281] ; [ 9.64912281 12.35087719],0
n3,1,0.474549,0.511364,[6 3] ; [5 1],[6.6 2.4] ; [4.4 1.6],0
p4,1,0.498065,0.459057,[14 22] ; [11 12],[15.25423729 20.74576271] ; [ 9.74576271 13.25423729],0
r3,1,0.511368,0.431267,[31  5] ; [22  2],[31.8  4.2] ; [21.2  2.8],0
s1,1,0.526168,0.401786,[ 3 33] ; [ 1 23],[ 2.4 33.6] ; [ 1.6 22.4],0
d3,1,0.602931,0.270598,[21 14] ; [16  8],[21.94915254 13.05084746] ; [15.05084746  8.94915254],0
p9,1,0.603393,0.269909,[26 10] ; [18  5],[26.84745763  9.15254237] ; [17.15254237  5.84745763],0
u2,1,0.659528,0.194098,[9 8] ; [2 1],[9.35 7.65] ; [1.65 1.35],0
a6,1,0.664575,0.188014,[23 13] ; [14 10],[22.2 13.8] ; [14.8  9.2],0
b1,1,0.672604,0.178571,[16 20] ; [12 12],[16.8 19.2] ; [11.2 12.8],0
p8,1,0.726347,0.122493,[14 22] ; [10 13],[14.6440678 21.3559322] ; [ 9.3559322 13.6440678],0
p5,1,0.760853,0.092635,[ 1 34] ; [ 1 22],[ 1.20689655 33.79310345] ; [ 0.79310345 22.20689655],0
p6,1,0.816236,0.054005,[12 24] ; [ 7 16],[11.59322034 24.40677966] ; [ 7.40677966 15.59322034],0
n6,1,0.852948,0.034358,[24 11] ; [17  7],[24.3220339 10.6779661] ; [16.6779661  7.3220339],0
a7,1,0.852948,0.034358,[24 11] ; [17  7],[24.3220339 10.6779661] ; [16.6779661  7.3220339],0
p7,1,0.854828,0.033475,[22 13] ; [15  8],[22.32758621 12.67241379] ; [14.67241379  8.32758621],0
n2,1,0.92265,0.009428,[7 2] ; [4 1],[7.07142857 1.92857143] ; [3.92857143 1.07142857],0
n1,1,0.928177,0.008125,[3 5] ; [2 3],[3.07692308 4.92307692] ; [1.92307692 3.07692308],0
a8,1,0.980129,0.00062,[ 6 28] ; [ 4 19],[ 5.96491228 28.03508772] ; [ 4.03508772 18.96491228],0
