Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,6e-06,20.641317,[76  5] ; [108  52],[61.84232365 19.15767635] ; [122.15767635  37.84232365],1
s4,1,0.000234,13.539843,[27 52] ; [ 22 138],[16.19665272 62.80334728] ; [ 32.80334728 127.19665272],1
a3,1,0.00064,11.657143,[68 12] ; [102  58],[56.66666667 23.33333333] ; [113.33333333  46.66666667],1
s7,1,0.00106,10.719632,[55 22] ; [73 77],[43.4185022 33.5814978] ; [84.5814978 65.4185022],0
d4,1,0.001436,10.159364,[73  8] ; [114  44],[63.37656904 17.62343096] ; [123.62343096  34.37656904],0
s6,1,0.001554,10.013759,[73  8] ; [115  44],[63.45 17.55] ; [124.55  34.45],0
a5,1,0.001973,9.57467,[66 15] ; [99 61],[55.45643154 25.54356846] ; [109.54356846  50.45643154],0
a2,1,0.007694,7.103455,[29 52] ; [ 32 128],[20.50207469 60.49792531] ; [ 40.49792531 119.50207469],0
d5,1,0.023413,5.137565,[70 11] ; [117  42],[63.1125 17.8875] ; [123.8875  35.1125],0
a4,1,0.039046,4.258862,[45 36] ; [66 93],[37.4625 43.5375] ; [73.5375 85.4625],0
s8,1,0.044277,4.045962,[45 36] ; [67 93],[37.64315353 43.35684647] ; [74.35684647 85.64315353],0
p6,1,0.047023,3.94457,[24 57] ; [ 29 129],[17.9623431 63.0376569] ; [ 35.0376569 122.9623431],0
d1,1,0.056332,3.642224,[51 30] ; [80 80],[44.02904564 36.97095436] ; [86.97095436 73.02904564],0
r2,1,0.060562,3.521922,[78  1] ; [148  11],[75.01680672  3.98319328] ; [150.98319328   8.01680672],0
d2,1,0.061924,3.485089,[47 34] ; [72 87],[40.1625 40.8375] ; [78.8375 80.1625],0
n2,1,0.08532,2.960526,[22  3] ; [35 15],[19.  6.] ; [38. 12.],0
n1,1,0.113605,2.503343,[14 11] ; [18 31],[10.81081081 14.18918919] ; [21.18918919 27.81081081],0
n6,1,0.134723,2.237224,[66 13] ; [120  40],[61.48117155 17.51882845] ; [124.51882845  35.48117155],0
p5,1,0.144696,2.12729,[ 6 75] ; [  5 151],[ 3.75949367 77.24050633] ; [  7.24050633 148.75949367],0
p9,1,0.164073,1.936282,[68 12] ; [123  36],[63.93305439 16.06694561] ; [127.06694561  31.93305439],0
p4,1,0.181674,1.783877,[42 39] ; [68 91],[37.125 43.875] ; [72.875 86.125],0
p12,1,0.185148,1.755812,[ 7 74] ; [  7 152],[ 4.725 76.275] ; [  9.275 149.725],0
