Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,29.69697,[50  4] ; [30 36],[36. 18.] ; [44. 22.],1
d2,1,0.0,27.842399,[33 21] ; [10 57],[19.19008264 34.80991736] ; [23.80991736 43.19008264],1
d5,1,1e-06,23.262297,[52  2] ; [39 28],[40.61157025 13.38842975] ; [50.38842975 16.61157025],1
a2,1,0.000343,12.819238,[15 39] ; [ 3 64],[ 8.03305785 45.96694215] ; [ 9.96694215 57.03305785],1
a5,1,0.003378,8.591364,[40 14] ; [32 35],[32.1322314 21.8677686] ; [39.8677686 27.1322314],0
v2,1,0.004171,8.208028,[31 19] ; [22 41],[23.45132743 26.54867257] ; [29.54867257 33.45132743],0
r1,1,0.004949,7.89787,[46  7] ; [43 24],[39.30833333 13.69166667] ; [49.69166667 17.30833333],0
s8,1,0.005312,7.770151,[26 28] ; [16 51],[18.74380165 35.25619835] ; [23.25619835 43.74380165],0
r3,1,0.007119,7.242798,[53  1] ; [55 11],[48.6  5.4] ; [59.4  6.6],0
u1,1,0.009258,6.772388,[ 9 45] ; [ 2 65],[ 4.90909091 49.09090909] ; [ 6.09090909 60.90909091],0
r2,1,0.009293,6.765703,[51  2] ; [53 13],[46.31932773  6.68067227] ; [57.68067227  8.31932773],0
s6,1,0.012291,6.268378,[38 16] ; [32 35],[31.23966942 22.76033058] ; [38.76033058 28.23966942],0
r4,1,0.01984,5.425937,[48  6] ; [48 19],[42.84297521 11.15702479] ; [53.15702479 13.84297521],0
u2,1,0.020037,5.408654,[14  1] ; [18 12],[10.66666667  4.33333333] ; [21.33333333  8.66666667],0
p4,1,0.022833,5.181144,[33 21] ; [27 40],[26.7768595 27.2231405] ; [33.2231405 33.7768595],0
a4,1,0.028574,4.793091,[23 31] ; [16 51],[17.40495868 36.59504132] ; [21.59504132 45.40495868],0
a3,1,0.037257,4.338603,[39 15] ; [36 31],[33.47107438 20.52892562] ; [41.52892562 25.47107438],0
a7,1,0.042708,4.106921,[43 11] ; [42 25],[37.9338843 16.0661157] ; [47.0661157 19.9338843],0
s2,1,0.048377,3.896827,[26 27] ; [21 46],[20.75833333 32.24166667] ; [26.24166667 40.75833333],0
b4,1,0.048429,3.895026,[37 17] ; [34 33],[31.68595041 22.31404959] ; [39.31404959 27.68595041],0
b3,1,0.050504,3.824636,[12 24] ; [ 4 27],[ 8.59701493 27.40298507] ; [ 7.40298507 23.59701493],0
b2,1,0.050504,3.824636,[12 24] ; [ 4 27],[ 8.59701493 27.40298507] ; [ 7.40298507 23.59701493],0
p10,1,0.051277,3.799206,[40 14] ; [37 28],[34.94117647 19.05882353] ; [42.05882353 22.94117647],0
v4,1,0.154428,2.027953,[51  2] ; [58  7],[48.95762712  4.04237288] ; [60.04237288  4.95762712],0
p3,1,0.171023,1.873951,[26 28] ; [24 43],[22.31404959 31.68595041] ; [27.68595041 39.31404959],0
s5,1,0.185249,1.755,[15 37] ; [12 53],[12. 40.] ; [15. 50.],0
s3,1,0.198775,1.651355,[31 21] ; [32 35],[27.52941176 24.47058824] ; [35.47058824 31.52941176],0
a8,1,0.205132,1.605454,[ 2 44] ; [ 7 56],[ 3.79816514 42.20183486] ; [ 5.20183486 57.79816514],0
v3,1,0.208827,1.579539,[15 34] ; [13 51],[12.14159292 36.85840708] ; [15.85840708 48.14159292],0
s4,1,0.213794,1.545545,[ 8 46] ; [16 51],[10.7107438 43.2892562] ; [13.2892562 53.7107438],0
b1,1,0.254056,1.300861,[25 29] ; [38 29],[28.11570248 25.88429752] ; [34.88429752 32.11570248],0
a6,1,0.290668,1.116526,[41 13] ; [45 22],[38.38016529 15.61983471] ; [47.61983471 19.38016529],0
n5,1,0.374161,0.789798,[21 33] ; [31 35],[23.4 30.6] ; [28.6 37.4],0
s1,1,0.424503,0.637816,[ 2 50] ; [ 1 65],[ 1.3220339 50.6779661] ; [ 1.6779661 64.3220339],0
p12,1,0.453169,0.562714,[ 2 52] ; [ 1 64],[ 1.36134454 52.63865546] ; [ 1.63865546 63.36134454],0
u3,1,0.502335,0.45,[11  4] ; [19 11],[10.  5.] ; [20. 10.],0
b5,1,0.502929,0.448751,[37 17] ; [42 25],[35.25619835 18.74380165] ; [43.74380165 23.25619835],0
p8,1,0.539957,0.37562,[25 28] ; [27 38],[23.3559322 29.6440678] ; [28.6440678 36.3559322],0
p9,1,0.560389,0.339031,[40 14] ; [45 20],[38.57142857 15.42857143] ; [46.42857143 18.57142857],0
p7,1,0.575695,0.313247,[33 20] ; [36 27],[31.52586207 21.47413793] ; [37.47413793 25.52586207],0
a1,1,0.690253,0.158811,[ 1 53] ; [ 2 65],[ 1.33884298 52.66115702] ; [ 1.66115702 65.33884298],0
p5,1,0.800594,0.063796,[ 3 51] ; [ 3 63],[ 2.7 51.3] ; [ 3.3 62.7],0
p6,1,0.833587,0.044143,[15 38] ; [17 47],[14.4957265 38.5042735] ; [17.5042735 46.4957265],0
v1,1,0.835935,0.042889,[25 27] ; [30 35],[24.44444444 27.55555556] ; [30.55555556 34.44444444],0
n1,1,0.849853,0.035837,[3 8] ; [ 7 16],[3.23529412 7.76470588] ; [ 6.76470588 16.23529412],0
n4,1,0.872507,0.025752,[29 25] ; [35 32],[28.56198347 25.43801653] ; [35.43801653 31.56198347],0
n3,1,0.944322,0.004877,[9 3] ; [17  6],[8.91428571 3.08571429] ; [17.08571429  5.91428571],0
n2,1,0.944322,0.004877,[9 3] ; [17  6],[8.91428571 3.08571429] ; [17.08571429  5.91428571],0
p11,1,0.953883,0.003344,[36 18] ; [45 22],[36.14876033 17.85123967] ; [44.85123967 22.14876033],0
s7,1,0.983253,0.000441,[18 33] ; [22 40],[18.05309735 32.94690265] ; [21.94690265 40.05309735],0
