Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,80.053334,[368  96] ; [ 78 103],[320.84341085 143.15658915] ; [125.15658915  55.84341085],1
d3,1,0.0,77.001302,[368  97] ; [ 79 102],[321.75696594 143.24303406] ; [125.24303406  55.75696594],1
a2,1,0.0,29.526052,[135 331] ; [ 16 165],[108.75734158 357.24265842] ; [ 42.24265842 138.75734158],1
u1,1,2e-06,23.065791,[103 363] ; [ 11 170],[ 82.10819165 383.89180835] ; [ 31.89180835 149.10819165],1
b5,1,3e-05,17.44705,[300 166] ; [84 97],[276.57496136 189.42503864] ; [107.42503864  73.57496136],1
d1,1,0.00036,12.729432,[298 168] ; [88 93],[278.01545595 187.98454405] ; [107.98454405  73.01545595],1
r4,1,0.000708,11.466873,[434  32] ; [153  28],[422.78516229  43.21483771] ; [164.21483771  16.78516229],1
b1,1,0.0011,10.651964,[138 328] ; [ 78 103],[155.57341577 310.42658423] ; [ 60.42658423 120.57341577],0
v4,1,0.001565,10.000097,[449  11] ; [166  14],[442.03125  17.96875] ; [172.96875   7.03125],0
u3,1,0.00221,9.366057,[83 47] ; [16 27],[74.39306358 55.60693642] ; [24.60693642 18.39306358],0
r1,1,0.004272,8.164529,[381  81] ; [131  50],[367.8755832  94.1244168] ; [144.1244168  36.8755832],0
r3,1,0.006676,7.358097,[453   9] ; [170  11],[447.62986003  14.37013997] ; [175.37013997   5.62986003],0
v2,1,0.013925,6.047639,[276 169] ; [88 84],[262.52836305 182.47163695] ; [101.47163695  70.52836305],0
p2,1,0.018559,5.542561,[415  49] ; [147  31],[406.18068536  57.81931464] ; [155.81931464  22.18068536],0
d5,1,0.021396,5.294262,[388  77] ; [136  44],[377.76744186  87.23255814] ; [146.23255814  33.76744186],0
d4,1,0.024803,5.037556,[396  69] ; [140  40],[386.41860465  78.58139535] ; [149.58139535  30.41860465],0
r2,1,0.032599,4.566729,[438  21] ; [162  16],[432.33908948  26.66091052] ; [167.66091052  10.33908948],0
b2,1,0.044603,4.033578,[106 178] ; [59 64],[115.13513514 168.86486486] ; [49.86486486 73.13513514],0
b3,1,0.044603,4.033578,[106 178] ; [59 64],[115.13513514 168.86486486] ; [49.86486486 73.13513514],0
p4,1,0.060032,3.536504,[304 160] ; [103  76],[293.69828927 170.30171073] ; [113.30171073  65.69828927],0
p10,1,0.10329,2.653991,[436  27] ; [163  17],[431.31726283  31.68273717] ; [167.68273717  12.31726283],0
s7,1,0.103751,2.646917,[214 233] ; [97 79],[223.14125201 223.85874799] ; [87.85874799 88.14125201],0
p8,1,0.114805,2.486795,[279 180] ; [96 82],[270.21193093 188.78806907] ; [104.78806907  73.21193093],0
s8,1,0.126101,2.33986,[209 253] ; [94 87],[217.70762053 244.29237947] ; [85.29237947 95.70762053],0
b4,1,0.138962,2.189418,[277 189] ; [96 85],[268.65224111 197.34775889] ; [104.34775889  76.65224111],0
n5,1,0.139663,2.181671,[358 104] ; [149  31],[364.85046729  97.14953271] ; [142.14953271  37.85046729],0
n6,1,0.233893,1.417028,[409  53] ; [154  27],[404.51944012  57.48055988] ; [158.48055988  22.51944012],0
a5,1,0.237117,1.397653,[358 108] ; [131  50],[352.20092736 113.79907264] ; [136.79907264  44.20092736],0
n1,1,0.237439,1.395734,[26 53] ; [20 26],[29.072 49.928] ; [16.928 29.072],0
a8,1,0.239097,1.385907,[ 65 356] ; [ 20 151],[ 60.44763514 360.55236486] ; [ 24.55236486 146.44763514],0
p12,1,0.242915,1.3636,[ 51 414] ; [ 14 164],[ 47.00622084 417.99377916] ; [ 17.99377916 160.00622084],0
a3,1,0.278966,1.172121,[335 130] ; [138  43],[340.47213622 124.52786378] ; [132.52786378  48.47213622],0
u2,1,0.305921,1.048204,[81 49] ; [23 20],[78.15028902 51.84971098] ; [25.84971098 17.15028902],0
s4,1,0.31303,1.017849,[ 71 387] ; [ 34 147],[ 75.25821596 382.74178404] ; [ 29.74178404 151.25821596],0
n4,1,0.361873,0.831383,[366 100] ; [148  33],[370.20710974  95.79289026] ; [143.79289026  37.20710974],0
s5,1,0.38377,0.758589,[152 299] ; [ 64 107],[156.61736334 294.38263666] ; [ 59.38263666 111.61736334],0
n2,1,0.462559,0.539695,[59 20] ; [37  9],[60.672 18.328] ; [35.328 10.672],0
a1,1,0.481501,0.495461,[ 22 444] ; [ 11 170],[ 23.76816074 442.23183926] ; [  9.23183926 171.76816074],0
p7,1,0.548775,0.359516,[310 142] ; [117  60],[306.84260731 145.15739269] ; [120.15739269  56.84260731],0
s2,1,0.549166,0.358813,[237 223] ; [88 92],[233.59375 226.40625] ; [91.40625 88.59375],0
v1,1,0.592617,0.286276,[260 188] ; [98 78],[257.02564103 190.97435897] ; [100.97435897  75.02564103],0
s3,1,0.633605,0.227204,[256 201] ; [104  75],[258.67924528 198.32075472] ; [101.32075472  77.67924528],0
s6,1,0.669741,0.181905,[317 140] ; [119  57],[314.77409163 142.22590837] ; [121.22590837  54.77409163],0
p1,1,0.710252,0.138025,[ 43 421] ; [ 15 165],[ 41.78881988 422.21118012] ; [ 16.21118012 163.78881988],0
p3,1,0.746323,0.104647,[252 213] ; [95 85],[250.1627907 214.8372093] ; [96.8372093 83.1627907],0
v3,1,0.764607,0.089662,[182 261] ; [ 70 106],[180.34894992 262.65105008] ; [ 71.65105008 104.34894992],0
p5,1,0.770327,0.085233,[ 63 399] ; [ 26 153],[ 64.14664587 397.85335413] ; [ 24.85335413 154.14664587],0
u4,1,0.770706,0.084944,[ 11 454] ; [  5 176],[ 11.51702786 453.48297214] ; [  4.48297214 176.51702786],0
p6,1,0.836755,0.042455,[181 281] ; [ 67 108],[179.86813187 282.13186813] ; [ 68.13186813 106.86813187],0
n3,1,0.868771,0.027298,[59 20] ; [33 12],[58.61290323 20.38709677] ; [33.38709677 11.61290323],0
a4,1,0.873384,0.025396,[210 255] ; [83 98],[210.90557276 254.09442724] ; [82.09442724 98.90557276],0
