Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000178,14.045846,[46 18] ; [ 8 19],[37.97802198 26.02197802] ; [16.02197802 10.97802198],1
r4,1,0.000454,12.297465,[58  6] ; [16 11],[52.04395604 11.95604396] ; [21.95604396  5.04395604],1
a5,1,0.001751,9.79357,[44 20] ; [ 9 18],[37.27472527 26.72527473] ; [15.72527473 11.27472527],0
r2,1,0.003085,8.756787,[61  3] ; [20  7],[56.96703297  7.03296703] ; [24.03296703  2.96703297],0
r1,1,0.003355,8.603686,[54 10] ; [15 12],[48.52747253 15.47252747] ; [20.47252747  6.52747253],0
v4,1,0.011398,6.402116,[60  3] ; [21  6],[56.7  6.3] ; [24.3  2.7],0
v3,1,0.011824,6.336998,[24 40] ; [ 3 24],[18.98901099 45.01098901] ; [ 8.01098901 18.98901099],0
n6,1,0.012534,6.233766,[51 12] ; [15 12],[46.2 16.8] ; [19.8  7.2],0
a7,1,0.022769,5.186074,[44 19] ; [12 15],[39.2 23.8] ; [16.8 10.2],0
a6,1,0.044539,4.03602,[45 19] ; [13 14],[40.79120879 23.20879121] ; [17.20879121  9.79120879],0
d5,1,0.045077,4.015755,[49 15] ; [15 12],[45.01098901 18.98901099] ; [18.98901099  8.01098901],0
a2,1,0.082457,3.01579,[11 53] ; [ 1 26],[ 8.43956044 55.56043956] ; [ 3.56043956 23.43956044],0
d3,1,0.08301,3.004952,[41 23] ; [12 15],[37.27472527 26.72527473] ; [15.72527473 11.27472527],0
s3,1,0.140885,2.168267,[34 29] ; [10 17],[30.8 32.2] ; [13.2 13.8],0
a4,1,0.143235,2.142857,[24 39] ; [ 6 21],[21. 42.] ; [ 9. 18.],0
p3,1,0.155318,2.019231,[21 42] ; [ 5 22],[18.2 44.8] ; [ 7.8 19.2],0
p2,1,0.238078,1.391941,[46 18] ; [16 11],[43.6043956 20.3956044] ; [18.3956044  8.6043956],0
s4,1,0.244009,1.357284,[ 6 56] ; [ 5 22],[ 7.66292135 54.33707865] ; [ 3.33707865 23.66292135],0
d4,1,0.264209,1.246566,[47 16] ; [17 10],[44.8 18.2] ; [19.2  7.8],0
p10,1,0.265557,1.239553,[24 39] ; [ 7 20],[21.7 41.3] ; [ 9.3 17.7],0
s6,1,0.318048,0.996957,[31 33] ; [10 17],[28.83516484 35.16483516] ; [12.16483516 14.83516484],0
b5,1,0.324291,0.971563,[38 26] ; [13 14],[35.86813187 28.13186813] ; [15.13186813 11.86813187],0
p1,1,0.344787,0.89255,[ 6 57] ; [ 1 26],[ 4.9 58.1] ; [ 2.1 24.9],0
v1,1,0.392552,0.731023,[25 39] ; [ 8 19],[23.20879121 40.79120879] ; [ 9.79120879 17.20879121],0
r3,1,0.439537,0.597492,[59  4] ; [24  3],[58.1  4.9] ; [24.9  2.1],0
s1,1,0.450689,0.56892,[ 5 57] ; [ 1 26],[ 4.17977528 57.82022472] ; [ 1.82022472 25.17977528],0
p8,1,0.469342,0.523524,[21 43] ; [11 16],[22.50549451 41.49450549] ; [ 9.49450549 17.50549451],0
b3,1,0.47268,0.515704,[12 31] ; [ 3 13],[10.93220339 32.06779661] ; [ 4.06779661 11.93220339],0
b2,1,0.47268,0.515704,[12 31] ; [ 3 13],[10.93220339 32.06779661] ; [ 4.06779661 11.93220339],0
d1,1,0.501083,0.452643,[31 33] ; [11 16],[29.53846154 34.46153846] ; [12.46153846 14.53846154],0
p7,1,0.505861,0.442618,[32 30] ; [16 11],[33.43820225 28.56179775] ; [14.56179775 12.43820225],0
b1,1,0.534997,0.384891,[33 31] ; [12 15],[31.64835165 32.35164835] ; [13.35164835 13.64835165],0
s2,1,0.55893,0.34156,[26 37] ; [ 9 17],[24.7752809 38.2247191] ; [10.2247191 15.7752809],0
s8,1,0.559407,0.340731,[18 46] ; [ 6 21],[16.87912088 47.12087912] ; [ 7.12087912 19.87912088],0
n1,1,0.570632,0.321626,[4 9] ; [5 7],[4.68 8.32] ; [4.32 7.68],0
u3,1,0.573138,0.31746,[16 12] ; [8 4],[16.8 11.2] ; [7.2 4.8],0
u2,1,0.590438,0.289661,[16 11] ; [6 6],[15.23076923 11.76923077] ; [6.76923077 5.23076923],0
p4,1,0.591094,0.288639,[30 34] ; [11 16],[28.83516484 35.16483516] ; [12.16483516 14.83516484],0
p6,1,0.63481,0.225595,[14 49] ; [ 7 19],[14.86516854 48.13483146] ; [ 6.13483146 19.86516854],0
n3,1,0.63749,0.222039,[10  5] ; [9 3],[10.55555556  4.44444444] ; [8.44444444 3.55555556],0
a8,1,0.650174,0.20568,[ 5 52] ; [ 3 22],[ 5.56097561 51.43902439] ; [ 2.43902439 22.56097561],0
d2,1,0.678545,0.171768,[31 32] ; [12 15],[30.1 32.9] ; [12.9 14.1],0
s7,1,0.694209,0.154567,[23 38] ; [ 9 18],[22.18181818 38.81818182] ; [ 9.81818182 17.18181818],0
b4,1,0.730678,0.11849,[45 19] ; [18  9],[44.30769231 19.69230769] ; [18.69230769  8.30769231],0
s5,1,0.754136,0.098088,[14 49] ; [ 5 21],[13.4494382 49.5505618] ; [ 5.5505618 20.4494382],0
n2,1,0.793117,0.068783,[10  4] ; [8 4],[9.69230769 4.30769231] ; [8.30769231 3.69230769],0
v2,1,0.805791,0.060447,[28 34] ; [11 15],[27.47727273 34.52272727] ; [11.52272727 14.47727273],0
a3,1,0.951383,0.003717,[36 28] ; [15 12],[35.86813187 28.13186813] ; [15.13186813 11.86813187],0
