Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.01962,5.445378,[4 3] ; [ 2 15],[1.75 5.25] ; [ 4.25 12.75],0
s7,1,0.097768,2.741581,[5 9] ; [ 4 25],[ 2.93023256 11.06976744] ; [ 6.06976744 22.93023256],0
d2,1,0.103712,2.647517,[ 2 13] ; [12 21],[ 4.375 10.625] ; [ 9.625 23.375],0
b4,1,0.132147,2.267104,[12  3] ; [19 14],[9.6875 5.3125] ; [21.3125 11.6875],0
s1,1,0.171672,1.868283,[ 2 13] ; [ 1 32],[ 0.9375 14.0625] ; [ 2.0625 30.9375],0
s8,1,0.210075,1.570909,[ 4 11] ; [ 4 29],[ 2.5 12.5] ; [ 5.5 27.5],0
p2,1,0.241268,1.373172,[10  5] ; [16 17],[8.125 6.875] ; [17.875 15.125],0
a5,1,0.269004,1.221818,[8 7] ; [12 21],[6.25 8.75] ; [13.75 19.25],0
a4,1,0.368688,0.808081,[ 5 10] ; [ 7 26],[ 3.75 11.25] ; [ 8.25 24.75],0
p7,1,0.3779,0.777521,[6 9] ; [ 9 24],[ 4.6875 10.3125] ; [10.3125 22.6875],0
a1,1,0.398103,0.71405,[ 2 13] ; [ 2 31],[ 1.25 13.75] ; [ 2.75 30.25],0
p5,1,0.398103,0.71405,[ 2 13] ; [ 2 31],[ 1.25 13.75] ; [ 2.75 30.25],0
p10,1,0.413993,0.667304,[8 7] ; [13 19],[6.70212766 8.29787234] ; [14.29787234 17.70212766],0
a6,1,0.429795,0.623377,[ 5 10] ; [15 18],[6.25 8.75] ; [13.75 19.25],0
p6,1,0.437447,0.60297,[ 2 13] ; [ 2 29],[ 1.30434783 13.69565217] ; [ 2.69565217 28.30434783],0
b2,1,0.490691,0.475011,[2 7] ; [ 8 15],[2.8125 6.1875] ; [ 7.1875 15.8125],0
b3,1,0.490691,0.475011,[2 7] ; [ 8 15],[2.8125 6.1875] ; [ 7.1875 15.8125],0
n5,1,0.498679,0.457746,[8 7] ; [21 12],[9.0625 5.9375] ; [19.9375 13.0625],0
n4,1,0.550525,0.356377,[10  5] ; [19 14],[9.0625 5.9375] ; [19.9375 13.0625],0
u1,1,0.558964,0.341502,[ 1 14] ; [ 1 32],[ 0.625 14.375] ; [ 1.375 31.625],0
