Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,32.59127,[69 30] ; [ 1 22],[56.80327869 42.19672131] ; [13.19672131  9.80327869],1
d3,1,0.000444,12.338349,[76 23] ; [ 8 13],[69.3 29.7] ; [14.7  6.3],1
d2,1,0.000764,11.326484,[60 39] ; [ 5 18],[52.74590164 46.25409836] ; [12.25409836 10.74590164],1
d5,1,0.000863,11.099752,[85 14] ; [12 10],[79.36363636 19.63636364] ; [17.63636364  4.36363636],1
a4,1,0.003049,8.778117,[51 48] ; [ 4 19],[44.63114754 54.36885246] ; [10.36885246 12.63114754],0
r1,1,0.006188,7.494852,[82 17] ; [13 10],[77.09016393 21.90983607] ; [17.90983607  5.09016393],0
b1,1,0.029945,4.712441,[44 55] ; [16  7],[48.68852459 50.31147541] ; [11.31147541 11.68852459],0
b5,1,0.038731,4.27261,[66 33] ; [10 13],[61.67213115 37.32786885] ; [14.32786885  8.67213115],0
a3,1,0.046056,3.97954,[72 26] ; [12 11],[68.03305785 29.96694215] ; [15.96694215  7.03305785],0
b4,1,0.061243,3.503399,[60 39] ; [ 9 14],[55.99180328 43.00819672] ; [13.00819672  9.99180328],0
a2,1,0.071115,3.257099,[26 73] ; [ 2 21],[22.72131148 76.27868852] ; [ 5.27868852 17.72131148],0
v4,1,0.074347,3.184331,[93  6] ; [19  4],[90.8852459  8.1147541] ; [21.1147541  1.8852459],0
p1,1,0.07733,3.120153,[ 6 92] ; [ 4 19],[ 8.09917355 89.90082645] ; [ 1.90082645 21.09917355],0
n4,1,0.109013,2.568465,[69 30] ; [12 11],[65.7295082 33.2704918] ; [15.2704918  7.7295082],0
a6,1,0.162058,1.954919,[63 36] ; [11 12],[60.04918033 38.95081967] ; [13.95081967  9.04918033],0
p3,1,0.163108,1.945175,[41 57] ; [ 6 17],[38.0661157 59.9338843] ; [ 8.9338843 14.0661157],0
n5,1,0.191785,1.703854,[62 37] ; [17  5],[64.63636364 34.36363636] ; [14.36363636  7.63636364],0
p9,1,0.254784,1.296877,[86 13] ; [21  1],[87.54545455 11.45454545] ; [19.45454545  2.54545455],0
s5,1,0.276655,1.183446,[41 51] ; [ 7 15],[38.73684211 53.26315789] ; [ 9.26315789 12.73684211],0
s7,1,0.324396,0.971139,[46 46] ; [13  8],[48.03539823 43.96460177] ; [10.96460177 10.03539823],0
r4,1,0.324761,0.969674,[82 17] ; [17  6],[80.33606557 18.66393443] ; [18.66393443  4.33606557],0
