Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1.8e-05,18.436987,[20 25] ; [249  82],[32.19414894 12.80585106] ; [236.80585106  94.19414894],1
s5,1,0.000102,15.104702,[10 34] ; [180 154],[22.11640212 21.88359788] ; [167.88359788 166.11640212],1
s3,1,0.000401,12.526743,[32 14] ; [304  39],[39.73264781  6.26735219] ; [296.26735219  46.73264781],1
s8,1,0.000629,11.687004,[19 27] ; [232 114],[29.45408163 16.54591837] ; [221.54591837 124.45408163],1
r4,1,0.017225,5.673341,[39  7] ; [327  20],[42.83969466  3.16030534] ; [323.16030534  23.83969466],0
p4,1,0.020243,5.390807,[24 22] ; [239 106],[30.94117647 15.05882353] ; [232.05882353 112.94117647],0
r1,1,0.037455,4.329606,[33 13] ; [291  55],[38.02040816  7.97959184] ; [285.97959184  60.02040816],0
p9,1,0.042986,4.095944,[37  9] ; [308  33],[41.00775194  4.99224806] ; [303.99224806  37.00775194],0
b5,1,0.045459,4.001513,[22 24] ; [219 128],[28.2086514 17.7913486] ; [212.7913486 134.2086514],0
a5,1,0.047923,3.912667,[30 16] ; [271  75],[35.32142857 10.67857143] ; [265.67857143  80.32142857],0
p5,1,0.052225,3.768532,[ 2 41] ; [ 54 290],[ 6.22222222 36.77777778] ; [ 49.77777778 294.22222222],0
d5,1,0.054405,3.700243,[33 12] ; [293  53],[37.51918159  7.48081841] ; [288.48081841  57.51918159],0
b2,1,0.057732,3.60137,[16 12] ; [ 83 133],[11.36065574 16.63934426] ; [ 87.63934426 128.36065574],0
b3,1,0.057732,3.60137,[16 12] ; [ 83 133],[11.36065574 16.63934426] ; [ 87.63934426 128.36065574],0
u3,1,0.060623,3.520263,[6 9] ; [50 26],[9.23076923 5.76923077] ; [46.76923077 29.23076923],0
a2,1,0.075725,3.154339,[ 8 38] ; [104 243],[13.10941476 32.89058524] ; [ 98.89058524 248.10941476],0
s4,1,0.087438,2.920922,[ 6 40] ; [ 83 258],[10.57881137 35.42118863] ; [ 78.42118863 262.57881137],0
r3,1,0.092292,2.833942,[42  4] ; [334  12],[44.12244898  1.87755102] ; [331.87755102  14.12244898],0
a3,1,0.099955,2.706257,[31 15] ; [270  75],[35.41176471 10.58823529] ; [265.58823529  79.41176471],0
d4,1,0.111068,2.538961,[36 10] ; [300  45],[39.52941176  6.47058824] ; [296.47058824  48.52941176],0
a4,1,0.125384,2.348741,[18 28] ; [177 169],[22.88265306 23.11734694] ; [172.11734694 173.88265306],0
v4,1,0.135629,2.226863,[42  3] ; [338   9],[43.62244898  1.37755102] ; [336.37755102  10.62244898],0
p6,1,0.143832,2.136473,[16 30] ; [158 184],[20.62886598 25.37113402] ; [153.37113402 188.62886598],0
d2,1,0.170203,1.881156,[21 25] ; [195 151],[25.34693878 20.65306122] ; [190.65306122 155.34693878],0
u1,1,0.2529,1.307213,[ 8 38] ; [ 87 260],[11.11959288 34.88040712] ; [ 83.88040712 263.11959288],0
p12,1,0.279683,1.168629,[ 3 43] ; [ 41 304],[ 5.17647059 40.82352941] ; [ 38.82352941 306.17647059],0
d1,1,0.309443,1.03305,[27 19] ; [230 117],[30.08142494 15.91857506] ; [226.91857506 120.08142494],0
p8,1,0.322845,0.977387,[22 24] ; [190 152],[25.13402062 20.86597938] ; [186.86597938 155.13402062],0
v1,1,0.329471,0.950976,[23 22] ; [198 139],[26.03403141 18.96596859] ; [194.96596859 142.03403141],0
s1,1,0.331775,0.941955,[ 1 45] ; [ 19 324],[ 2.36503856 43.63496144] ; [ 17.63496144 325.36503856],0
b4,1,0.37225,0.796139,[24 22] ; [205 142],[26.80407125 19.19592875] ; [202.19592875 144.80407125],0
p1,1,0.395726,0.721275,[ 3 42] ; [ 37 307],[ 4.62724936 40.37275064] ; [ 35.37275064 308.62724936],0
p11,1,0.426216,0.633112,[39  7] ; [277  70],[36.98727735  9.01272265] ; [279.01272265  67.98727735],0
a8,1,0.428382,0.627207,[ 8 35] ; [ 45 275],[ 6.27823691 36.72176309] ; [ 46.72176309 273.27823691],0
p2,1,0.47925,0.500569,[40  5] ; [293  52],[38.42307692  6.57692308] ; [294.57692308  50.42307692],0
u4,1,0.488327,0.480211,[ 1 45] ; [ 15 332],[ 1.87277354 44.12722646] ; [ 14.12722646 332.87277354],0
n3,1,0.497243,0.460816,[8 2] ; [48 21],[7.08860759 2.91139241] ; [48.91139241 20.08860759],0
d3,1,0.512179,0.429614,[30 15] ; [247  99],[31.8797954 13.1202046] ; [245.1202046 100.8797954],0
u2,1,0.541637,0.372515,[7 8] ; [42 34],[8.07692308 6.92307692] ; [40.92307692 35.07692308],0
n4,1,0.5625,0.335394,[37  9] ; [290  56],[38.37244898  7.62755102] ; [288.62755102  57.37244898],0
b1,1,0.563833,0.333112,[16 30] ; [136 211],[17.7913486 28.2086514] ; [134.2086514 212.7913486],0
p3,1,0.603992,0.269017,[23 22] ; [191 155],[24.62915601 20.37084399] ; [189.37084399 156.62915601],0
p10,1,0.605323,0.267042,[38  7] ; [300  44],[39.10025707  5.89974293] ; [298.89974293  45.10025707],0
n1,1,0.617908,0.248819,[3 6] ; [29 40],[3.69230769 5.30769231] ; [28.30769231 40.69230769],0
p7,1,0.641537,0.216738,[32 13] ; [226 108],[30.63324538 14.36675462] ; [227.36675462 106.63324538],0
n5,1,0.665961,0.186363,[37  9] ; [288  59],[38.04071247  7.95928753] ; [286.95928753  60.04071247],0
v2,1,0.678142,0.172224,[27 17] ; [194 140],[25.72486772 18.27513228] ; [195.27513228 138.72486772],0
v3,1,0.710671,0.137608,[17 24] ; [150 187],[18.11375661 22.88624339] ; [148.88624339 188.11375661],0
r2,1,0.740227,0.109927,[43  2] ; [334  12],[43.3887468  1.6112532] ; [333.6112532  12.3887468],0
a1,1,0.900481,0.015638,[ 3 43] ; [ 21 326],[ 2.80916031 43.19083969] ; [ 21.19083969 325.80916031],0
a7,1,0.933671,0.006927,[33 12] ; [255  90],[33.23076923 11.76923077] ; [254.76923077  90.23076923],0
n2,1,0.948409,0.004187,[7 2] ; [53 16],[6.92307692 2.07692308] ; [53.07692308 15.92307692],0
a6,1,0.969019,0.001508,[30 16] ; [226 119],[30.11764706 15.88235294] ; [225.88235294 119.11764706],0
