Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,4e-05,16.869159,[37  6] ; [ 9 15],[29.52238806 13.47761194] ; [16.47761194  7.52238806],1
u3,1,0.000373,12.663726,[ 2 17] ; [7 2],[ 6.10714286 12.89285714] ; [2.89285714 6.10714286],1
d2,1,0.007243,7.211707,[21 21] ; [ 4 20],[15.90909091 26.09090909] ; [ 9.09090909 14.90909091],0
d4,1,0.024033,5.092232,[20 23] ; [18  6],[24.3880597 18.6119403] ; [13.6119403 10.3880597],0
s2,1,0.070438,3.27278,[14 29] ; [ 3 21],[10.91044776 32.08955224] ; [ 6.08955224 17.91044776],0
s3,1,0.077389,3.118908,[15 25] ; [ 4 20],[11.875 28.125] ; [ 7.125 16.875],0
r4,1,0.086936,2.930205,[11 32] ; [ 2 22],[ 8.34328358 34.65671642] ; [ 4.65671642 19.34328358],0
a1,1,0.096576,2.761195,[ 8 35] ; [ 1 23],[ 5.7761194 37.2238806] ; [ 3.2238806 20.7761194],0
n1,1,0.097298,2.749282,[12 10] ; [3 9],[ 9.70588235 12.29411765] ; [5.29411765 6.70588235],0
b2,1,0.102664,2.663657,[16 19] ; [2 9],[13.69565217 21.30434783] ; [4.30434783 6.69565217],0
b3,1,0.102664,2.663657,[16 19] ; [2 9],[13.69565217 21.30434783] ; [4.30434783 6.69565217],0
a5,1,0.10518,2.625194,[25 18] ; [ 9 15],[21.82089552 21.17910448] ; [12.17910448 11.82089552],0
s5,1,0.116854,2.458995,[10 32] ; [ 2 22],[ 7.63636364 34.36363636] ; [ 4.36363636 19.63636364],0
a4,1,0.130158,2.290616,[16 25] ; [ 5 19],[13.24615385 27.75384615] ; [ 7.75384615 16.24615385],0
d3,1,0.138959,2.189447,[17 26] ; [14 10],[19.89552239 23.10447761] ; [11.10447761 12.89552239],0
d1,1,0.16591,1.919514,[16 27] ; [ 5 19],[13.47761194 29.52238806] ; [ 7.52238806 16.47761194],0
p6,1,0.169686,1.885714,[ 9 33] ; [ 2 22],[ 7. 35.] ; [ 4. 20.],0
n6,1,0.195559,1.675232,[25 18] ; [10 14],[22.46268657 20.53731343] ; [12.53731343 11.46268657],0
s6,1,0.228188,1.452123,[15 28] ; [ 5 19],[12.8358209 30.1641791] ; [ 7.1641791 16.8358209],0
r2,1,0.242583,1.365522,[29 11] ; [14 10],[26.875 13.125] ; [16.125  7.875],0
v2,1,0.247448,1.337652,[10 31] ; [ 3 21],[ 8.2 32.8] ; [ 4.8 19.2],0
a6,1,0.28218,1.156563,[22 21] ; [ 9 15],[19.89552239 23.10447761] ; [11.10447761 12.89552239],0
p2,1,0.332717,0.938293,[18 25] ; [13 11],[19.89552239 23.10447761] ; [11.10447761 12.89552239],0
p10,1,0.346524,0.886144,[16 26] ; [12 12],[17.81818182 24.18181818] ; [10.18181818 13.81818182],0
s8,1,0.38821,0.744543,[ 9 34] ; [ 3 21],[ 7.70149254 35.29850746] ; [ 4.29850746 19.70149254],0
p3,1,0.405288,0.69258,[13 30] ; [ 5 19],[11.55223881 31.44776119] ; [ 6.44776119 17.55223881],0
b1,1,0.475337,0.509541,[23 20] ; [15  9],[24.3880597 18.6119403] ; [13.6119403 10.3880597],0
v4,1,0.492237,0.471632,[25 18] ; [16  8],[26.31343284 16.68656716] ; [14.68656716  9.31343284],0
p1,1,0.49636,0.46271,[ 6 37] ; [ 2 22],[ 5.13432836 37.86567164] ; [ 2.86567164 21.13432836],0
v1,1,0.499689,0.455596,[11 32] ; [ 8 16],[12.19402985 30.80597015] ; [ 6.80597015 17.19402985],0
p8,1,0.499689,0.455596,[11 32] ; [ 8 16],[12.19402985 30.80597015] ; [ 6.80597015 17.19402985],0
b5,1,0.547883,0.361124,[20 23] ; [13 11],[21.17910448 21.82089552] ; [11.82089552 12.17910448],0
s7,1,0.564568,0.331856,[ 9 32] ; [ 6 15],[ 9.91935484 31.08064516] ; [ 5.08064516 15.91935484],0
r1,1,0.582025,0.302972,[15 28] ; [10 14],[16.04477612 26.95522388] ; [ 8.95522388 15.04477612],0
p7,1,0.603902,0.269151,[12 30] ; [ 8 15],[12.92307692 29.07692308] ; [ 7.07692308 15.92307692],0
a7,1,0.61624,0.251188,[17 26] ; [11 13],[17.97014925 25.02985075] ; [10.02985075 13.97014925],0
d5,1,0.647217,0.209427,[24 19] ; [12 12],[23.10447761 19.89552239] ; [12.89552239 11.10447761],0
u2,1,0.700472,0.147981,[ 7 12] ; [4 5],[ 7.46428571 11.53571429] ; [3.53571429 5.46428571],0
n3,1,0.74114,0.109127,[10 11] ; [5 7],[ 9.54545455 11.45454545] ; [5.45454545 6.54545455],0
a3,1,0.75293,0.099085,[24 17] ; [15  9],[24.6 16.4] ; [14.4  9.6],0
b4,1,0.752993,0.099033,[25 18] ; [13 11],[24.3880597 18.6119403] ; [13.6119403 10.3880597],0
p9,1,0.76223,0.091539,[18 23] ; [11 12],[18.578125 22.421875] ; [10.421875 12.578125],0
p11,1,0.793062,0.068821,[13 30] ; [ 8 16],[13.47761194 29.52238806] ; [ 7.52238806 16.47761194],0
n2,1,0.799681,0.064394,[12 10] ; [6 6],[11.64705882 10.35294118] ; [6.35294118 5.64705882],0
s4,1,0.819583,0.052021,[10 33] ; [ 5 19],[ 9.62686567 33.37313433] ; [ 5.37313433 18.62686567],0
s1,1,0.839446,0.041048,[ 3 40] ; [ 2 22],[ 3.20895522 39.79104478] ; [ 1.79104478 22.20895522],0
p4,1,0.879304,0.023059,[13 29] ; [ 7 17],[12.72727273 29.27272727] ; [ 7.27272727 16.72727273],0
a2,1,0.894047,0.017738,[ 4 39] ; [ 2 22],[ 3.85074627 39.14925373] ; [ 2.14925373 21.85074627],0
v3,1,0.954623,0.003238,[ 9 33] ; [ 5 19],[ 8.90909091 33.09090909] ; [ 5.09090909 18.90909091],0
