Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,4e-06,21.327625,[20 12] ; [102 311],[ 8.77303371 23.22696629] ; [113.22696629 299.77303371],1
p3,1,0.002054,9.500834,[22 11] ; [166 257],[13.60526316 19.39473684] ; [174.39473684 248.60526316],0
p4,1,0.002908,8.864065,[24  9] ; [193 228],[15.77312775 17.22687225] ; [201.22687225 219.77312775],0
p1,1,0.015535,5.8548,[ 5 28] ; [ 21 400],[ 1.88986784 31.11013216] ; [ 24.11013216 396.88986784],0
r3,1,0.018067,5.589599,[29  4] ; [406  15],[31.61894273  1.38105727] ; [403.38105727  17.61894273],0
b3,1,0.018495,5.548636,[13 11] ; [ 78 177],[ 7.82795699 16.17204301] ; [ 83.17204301 171.82795699],0
b2,1,0.018495,5.548636,[13 11] ; [ 78 177],[ 7.82795699 16.17204301] ; [ 83.17204301 171.82795699],0
r2,1,0.020115,5.401925,[27  6] ; [389  29],[30.43902439  2.56097561] ; [385.56097561  32.43902439],0
v1,1,0.022177,5.231853,[21 10] ; [190 219],[14.86590909 16.13409091] ; [196.13409091 212.86590909],0
d1,1,0.032844,4.553906,[24  9] ; [227 197],[18.12472648 14.87527352] ; [232.87527352 191.12472648],0
d2,1,0.0341,4.489661,[21 12] ; [188 234],[15.15824176 17.84175824] ; [193.84175824 228.15824176],0
s3,1,0.057736,3.601246,[12 21] ; [221 192],[17.23991031 15.76008969] ; [215.76008969 197.23991031],0
a2,1,0.081068,3.043366,[ 3 30] ; [ 93 331],[ 6.9321663 26.0678337] ; [ 89.0678337 334.9321663],0
b1,1,0.089775,2.878411,[15 18] ; [132 292],[10.61487965 22.38512035] ; [136.38512035 287.61487965],0
v3,1,0.098051,2.736963,[16 15] ; [150 259],[11.69545455 19.30454545] ; [154.30454545 254.69545455],0
a3,1,0.101806,2.67702,[27  6] ; [289 135],[22.81838074 10.18161926] ; [293.18161926 130.81838074],0
s7,1,0.103077,2.657276,[17 14] ; [162 244],[12.6979405 18.3020595] ; [166.3020595 239.6979405],0
p8,1,0.10338,2.652604,[19 13] ; [186 232],[14.57777778 17.42222222] ; [190.42222222 227.57777778],0
p12,1,0.104016,2.642869,[ 4 28] ; [ 23 399],[ 1.9030837 30.0969163] ; [ 25.0969163 396.9030837],0
a5,1,0.108032,2.582776,[28  5] ; [305 119],[24.04595186  8.95404814] ; [308.95404814 115.04595186],0
s2,1,0.116604,2.462349,[10 23] ; [185 232],[14.3 18.7] ; [180.7 236.3],0
p9,1,0.147661,2.096253,[30  2] ; [353  66],[27.1751663  4.8248337] ; [355.8248337  63.1751663],0
b5,1,0.180048,1.797225,[16 17] ; [256 168],[19.64113786 13.35886214] ; [252.35886214 171.64113786],0
s4,1,0.184445,1.761444,[ 2 30] ; [ 62 359],[ 4.5209713 27.4790287] ; [ 59.4790287 361.5209713],0
n3,1,0.195479,1.67583,[4 3] ; [73 20],[5.39 1.61] ; [71.61 21.39],0
n2,1,0.202171,1.626619,[4 3] ; [72 20],[5.37373737 1.62626263] ; [70.62626263 21.37373737],0
s1,1,0.208702,1.580404,[ 2 31] ; [ 10 407],[ 0.88 32.12] ; [ 11.12 405.88],0
s8,1,0.219518,1.50752,[15 17] ; [152 270],[11.77092511 20.22907489] ; [155.22907489 266.77092511],0
d4,1,0.220688,1.499891,[29  4] ; [334  89],[26.26973684  6.73026316] ; [336.73026316  86.26973684],0
p10,1,0.246297,1.344187,[30  3] ; [351  71],[27.63296703  5.36703297] ; [353.36703297  68.63296703],0
p7,1,0.306197,1.047007,[20 12] ; [220 194],[17.21973094 14.78026906] ; [222.78026906 191.21973094],0
a7,1,0.329387,0.951305,[21 12] ; [303 120],[23.44736842  9.55263158] ; [300.55263158 122.44736842],0
d5,1,0.331625,0.942541,[28  5] ; [329  95],[25.77899344  7.22100656] ; [331.22100656  92.77899344],0
v4,1,0.432547,0.615976,[30  3] ; [395  24],[31.02876106  1.97123894] ; [393.97123894  25.02876106],0
a8,1,0.476097,0.507791,[ 3 28] ; [ 55 330],[ 4.32211538 26.67788462] ; [ 53.67788462 331.32211538],0
n5,1,0.488309,0.480251,[26  7] ; [307 112],[24.3119469  8.6880531] ; [308.6880531 110.3119469],0
r4,1,0.507975,0.438237,[28  5] ; [376  48],[29.17286652  3.82713348] ; [374.82713348  49.17286652],0
n6,1,0.567518,0.326853,[28  4] ; [353  69],[26.85462555  5.14537445] ; [354.14537445  67.85462555],0
a4,1,0.573234,0.317301,[12 21] ; [175 248],[13.53289474 19.46710526] ; [173.46710526 249.53289474],0
r1,1,0.578588,0.308522,[25  8] ; [336  85],[26.24008811  6.75991189] ; [334.75991189  86.24008811],0
a6,1,0.578591,0.308518,[22 11] ; [302 122],[23.39606127  9.60393873] ; [300.60393873 123.39606127],0
u3,1,0.591587,0.287873,[4 2] ; [75 60],[3.36170213 2.63829787] ; [75.63829787 59.36170213],0
v2,1,0.599003,0.276502,[19 12] ; [228 176],[17.60229885 13.39770115] ; [229.39770115 174.60229885],0
n4,1,0.601843,0.272226,[26  7] ; [316 107],[24.75  8.25] ; [317.25 105.75],0
s6,1,0.642,0.216136,[20 11] ; [252 166],[18.77951002 12.22048998] ; [253.22048998 164.77951002],0
u2,1,0.669938,0.181675,[4 2] ; [77 56],[3.49640288 2.50359712] ; [77.50359712 55.49640288],0
p2,1,0.683598,0.166104,[28  5] ; [347  76],[27.13815789  5.86184211] ; [347.86184211  75.13815789],0
n1,1,0.738674,0.111295,[2 5] ; [32 60],[2.4040404 4.5959596] ; [31.5959596 60.4040404],0
b4,1,0.832608,0.044672,[20 13] ; [249 175],[19.42450766 13.57549234] ; [249.57549234 174.42450766],0
d3,1,0.941402,0.005403,[22 11] ; [280 144],[21.80743982 11.19256018] ; [280.19256018 143.80743982],0
a1,1,0.946895,0.004436,[ 1 32] ; [ 12 412],[ 0.93873085 32.06126915] ; [ 12.06126915 411.93873085],0
u1,1,0.949514,0.004009,[ 5 28] ; [ 66 358],[ 5.12691466 27.87308534] ; [ 65.87308534 358.12691466],0
