Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2e-06,22.340614,[50  5] ; [16 19],[40.33333333 14.66666667] ; [25.66666667  9.33333333],1
p10,1,1.4e-05,18.92643,[39 16] ; [ 8 26],[29.04494382 25.95505618] ; [17.95505618 16.04494382],1
p2,1,0.000209,13.752718,[45 10] ; [16 20],[36.86813187 18.13186813] ; [24.13186813 11.86813187],1
r4,1,0.000258,13.35184,[43 13] ; [14 22],[34.69565217 21.30434783] ; [22.30434783 13.69565217],1
p9,1,0.000449,12.316281,[40 16] ; [11 22],[32.08988764 23.91011236] ; [18.91011236 14.08988764],1
v4,1,0.000491,12.151207,[50  4] ; [22 13],[43.68539326 10.31460674] ; [28.31460674  6.68539326],1
v2,1,0.000497,12.128676,[25 27] ; [ 4 30],[17.53488372 34.46511628] ; [11.46511628 22.53488372],1
r1,1,0.000767,11.320622,[33 23] ; [ 8 27],[25.23076923 30.76923077] ; [15.76923077 19.23076923],1
n3,1,0.001377,10.235712,[19  1] ; [6 7],[15.15151515  4.84848485] ; [9.84848485 3.15151515],0
p8,1,0.002657,9.02941,[28 26] ; [ 7 28],[21.23595506 32.76404494] ; [13.76404494 21.23595506],0
p3,1,0.007448,7.16156,[24 31] ; [ 6 30],[18.13186813 36.86813187] ; [11.86813187 24.13186813],0
p7,1,0.00818,6.993595,[34 20] ; [12 23],[27.91011236 26.08988764] ; [18.08988764 16.91011236],0
n2,1,0.015627,5.844381,[17  3] ; [7 8],[13.71428571  6.28571429] ; [10.28571429  4.71428571],0
n6,1,0.020987,5.327903,[42 14] ; [18 17],[36.92307692 19.07692308] ; [23.07692308 11.92307692],0
a1,1,0.021754,5.26535,[ 1 55] ; [ 5 31],[ 3.65217391 52.34782609] ; [ 2.34782609 33.65217391],0
p4,1,0.025972,4.957908,[27 29] ; [ 9 27],[21.91304348 34.08695652] ; [14.08695652 21.91304348],0
v1,1,0.056783,3.628948,[25 31] ; [ 9 27],[20.69565217 35.30434783] ; [13.30434783 22.69565217],0
d5,1,0.097953,2.738558,[24 32] ; [ 9 26],[20.30769231 35.69230769] ; [12.69230769 22.30769231],0
a4,1,0.098975,2.721989,[18 38] ; [ 6 30],[14.60869565 41.39130435] ; [ 9.39130435 26.60869565],0
s4,1,0.156366,2.009023,[ 3 53] ; [ 5 31],[ 4.86956522 51.13043478] ; [ 3.13043478 32.86956522],0
d3,1,0.173732,1.850439,[11 45] ; [11 23],[13.68888889 42.31111111] ; [ 8.31111111 25.68888889],0
s7,1,0.175965,1.831375,[10 41] ; [ 3 31],[ 7.8 43.2] ; [ 5.2 28.8],0
p1,1,0.189245,1.723485,[10 45] ; [ 3 33],[ 7.85714286 47.14285714] ; [ 5.14285714 30.85714286],0
b4,1,0.190851,1.711037,[28 28] ; [13 23],[24.95652174 31.04347826] ; [16.04347826 19.95652174],0
p6,1,0.253912,1.301653,[17 38] ; [ 7 28],[14.66666667 40.33333333] ; [ 9.33333333 25.66666667],0
r2,1,0.261243,1.262158,[47  9] ; [26  9],[44.92307692 11.07692308] ; [28.07692308  6.92307692],0
a3,1,0.273256,1.200327,[29 27] ; [14 21],[26.46153846 29.53846154] ; [16.53846154 18.46153846],0
a5,1,0.296389,1.09037,[28 28] ; [14 22],[25.56521739 30.43478261] ; [16.43478261 19.56521739],0
b2,1,0.314183,1.01301,[11 24] ; [ 9 11],[12.72727273 22.27272727] ; [ 7.27272727 12.72727273],0
b3,1,0.314183,1.01301,[11 24] ; [ 9 11],[12.72727273 22.27272727] ; [ 7.27272727 12.72727273],0
s1,1,0.319054,0.992819,[ 2 53] ; [ 3 32],[ 3.05555556 51.94444444] ; [ 1.94444444 33.05555556],0
u2,1,0.324558,0.970489,[11 16] ; [ 6 16],[ 9.36734694 17.63265306] ; [ 7.63265306 14.36734694],0
a7,1,0.352525,0.864346,[32 24] ; [16 18],[29.86666667 26.13333333] ; [18.13333333 15.86666667],0
s8,1,0.390452,0.737534,[ 8 48] ; [ 3 33],[ 6.69565217 49.30434783] ; [ 4.30434783 31.69565217],0
a6,1,0.392832,0.730159,[30 26] ; [16 20],[28. 28.] ; [18. 18.],0
u3,1,0.468475,0.525571,[10 17] ; [ 6 16],[ 8.81632653 18.18367347] ; [ 7.18367347 14.81632653],0
v3,1,0.477525,0.504511,[15 40] ; [ 7 27],[13.59550562 41.40449438] ; [ 8.40449438 25.59550562],0
b1,1,0.502044,0.450612,[24 32] ; [18 18],[25.56521739 30.43478261] ; [16.43478261 19.56521739],0
s2,1,0.50503,0.444352,[ 9 47] ; [ 4 32],[ 7.91304348 48.08695652] ; [ 5.08695652 30.91304348],0
a2,1,0.551493,0.354649,[ 5 51] ; [ 2 34],[ 4.26086957 51.73913043] ; [ 2.73913043 33.26086957],0
d1,1,0.553797,0.350559,[ 3 53] ; [ 1 35],[ 2.43478261 53.56521739] ; [ 1.56521739 34.43478261],0
p12,1,0.553797,0.350559,[ 3 53] ; [ 1 35],[ 2.43478261 53.56521739] ; [ 1.56521739 34.43478261],0
d2,1,0.621771,0.243386,[15 41] ; [ 8 28],[14. 42.] ; [ 9. 27.],0
s3,1,0.669019,0.182752,[16 39] ; [ 9 27],[15.10989011 39.89010989] ; [ 9.89010989 26.10989011],0
n4,1,0.680966,0.16904,[36 20] ; [21 14],[35.07692308 20.92307692] ; [21.92307692 13.07692308],0
b5,1,0.680994,0.169009,[32 24] ; [19 17],[31.04347826 24.95652174] ; [19.95652174 16.04347826],0
a8,1,0.71145,0.136833,[ 4 46] ; [ 2 32],[ 3.57142857 46.42857143] ; [ 2.42857143 31.57142857],0
u1,1,0.750143,0.101411,[ 1 55] ; [ 1 35],[ 1.2173913 54.7826087] ; [ 0.7826087 35.2173913],0
n1,1,0.79026,0.070742,[ 8 11] ; [7 8],[ 8.38235294 10.61764706] ; [6.61764706 8.38235294],0
n5,1,0.943285,0.005061,[38 18] ; [24 11],[38.15384615 17.84615385] ; [23.84615385 11.15384615],0
