Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000552,11.931818,[29 21] ; [ 4 21],[22. 28.] ; [11. 14.],1
r4,1,0.012727,6.206667,[39 11] ; [13 13],[34.21052632 15.78947368] ; [17.78947368  8.21052632],0
s4,1,0.0181,5.586445,[13 37] ; [ 1 25],[ 9.21052632 40.78947368] ; [ 4.78947368 21.21052632],0
p11,1,0.021569,5.280243,[33 17] ; [10 16],[28.28947368 21.71052632] ; [14.71052632 11.28947368],0
v4,1,0.022428,5.212264,[41  9] ; [15 11],[36.84210526 13.15789474] ; [19.15789474  6.84210526],0
r3,1,0.028883,4.774583,[42  8] ; [16 10],[38.15789474 11.84210526] ; [19.84210526  6.15789474],0
v3,1,0.033275,4.531567,[17 31] ; [ 3 22],[13.15068493 34.84931507] ; [ 6.84931507 18.15068493],0
n5,1,0.048398,3.896104,[32 18] ; [10 15],[28. 22.] ; [14. 11.],0
v2,1,0.048492,3.892852,[21 26] ; [ 5 19],[17.21126761 29.78873239] ; [ 8.78873239 15.21126761],0
s7,1,0.059149,3.56109,[13 34] ; [ 2 22],[ 9.92957746 37.07042254] ; [ 5.07042254 18.92957746],0
a7,1,0.076813,3.131075,[28 22] ; [ 9 17],[24.34210526 25.65789474] ; [12.65789474 13.34210526],0
a1,1,0.07728,3.121197,[ 1 49] ; [ 3 23],[ 2.63157895 47.36842105] ; [ 1.36842105 24.63157895],0
n4,1,0.134932,2.234825,[32 18] ; [12 14],[28.94736842 21.05263158] ; [15.05263158 10.94736842],0
s8,1,0.142351,2.152359,[13 37] ; [ 3 23],[10.52631579 39.47368421] ; [ 5.47368421 20.52631579],0
p3,1,0.142351,2.152359,[13 37] ; [ 3 23],[10.52631579 39.47368421] ; [ 5.47368421 20.52631579],0
b3,1,0.149996,2.072293,[ 5 21] ; [ 7 11],[ 7.09090909 18.90909091] ; [ 4.90909091 13.09090909],0
b2,1,0.149996,2.072293,[ 5 21] ; [ 7 11],[ 7.09090909 18.90909091] ; [ 4.90909091 13.09090909],0
d5,1,0.198534,1.653129,[27 23] ; [10 16],[24.34210526 25.65789474] ; [12.65789474 13.34210526],0
a8,1,0.238114,1.391723,[ 2 45] ; [ 3 23],[ 3.21917808 43.78082192] ; [ 1.78082192 24.21917808],0
b4,1,0.238716,1.388158,[32 18] ; [13 13],[29.60526316 20.39473684] ; [15.39473684 10.60526316],0
n1,1,0.320423,0.987221,[5 8] ; [7 5],[6.24 6.76] ; [5.76 6.24],0
b1,1,0.325634,0.966184,[21 29] ; [14 12],[23.02631579 26.97368421] ; [11.97368421 14.02631579],0
u2,1,0.329867,0.949418,[15 15] ; [11  6],[16.59574468 13.40425532] ; [9.40425532 7.59574468],0
v1,1,0.424274,0.638446,[18 32] ; [ 7 19],[16.44736842 33.55263158] ; [ 8.55263158 17.44736842],0
r2,1,0.47521,0.509836,[41  8] ; [20  6],[39.85333333  9.14666667] ; [21.14666667  4.85333333],0
b5,1,0.476283,0.507363,[33 17] ; [15 11],[31.57894737 18.42105263] ; [16.42105263  9.57894737],0
p7,1,0.483832,0.490213,[18 30] ; [ 7 17],[16.66666667 31.33333333] ; [ 8.33333333 15.66666667],0
n2,1,0.570632,0.321626,[9 4] ; [7 5],[8.32 4.68] ; [7.68 4.32],0
a4,1,0.576971,0.311156,[ 8 41] ; [ 3 23],[ 7.18666667 41.81333333] ; [ 3.81333333 22.18666667],0
a3,1,0.599721,0.275417,[20 29] ; [ 9 17],[18.94666667 30.05333333] ; [10.05333333 15.94666667],0
s1,1,0.654943,0.199724,[ 6 43] ; [ 4 21],[ 6.62162162 42.37837838] ; [ 3.37837838 21.62162162],0
d1,1,0.659142,0.194568,[13 37] ; [ 8 18],[13.81578947 36.18421053] ; [ 7.18421053 18.81578947],0
d2,1,0.659142,0.194568,[13 37] ; [ 8 18],[13.81578947 36.18421053] ; [ 7.18421053 18.81578947],0
p4,1,0.664101,0.188581,[12 37] ; [ 5 20],[11.25675676 37.74324324] ; [ 5.74324324 19.25675676],0
s2,1,0.731499,0.117739,[17 32] ; [ 8 18],[16.33333333 32.66666667] ; [ 8.66666667 17.33333333],0
p1,1,0.777697,0.079705,[ 3 47] ; [ 2 24],[ 3.28947368 46.71052632] ; [ 1.71052632 24.28947368],0
p6,1,0.800183,0.064065,[ 9 40] ; [ 4 21],[ 8.60810811 40.39189189] ; [ 4.39189189 20.60810811],0
p10,1,0.800442,0.063895,[24 25] ; [11 13],[23.49315068 25.50684932] ; [11.50684932 12.49315068],0
p9,1,0.867582,0.027799,[23 25] ; [12 12],[23.33333333 24.66666667] ; [11.66666667 12.33333333],0
n3,1,0.87018,0.026709,[8 5] ; [7 5],[7.8 5.2] ; [7.2 4.8],0
r1,1,0.896428,0.016945,[30 20] ; [16 10],[30.26315789 19.73684211] ; [15.73684211 10.26315789],0
a6,1,0.904757,0.014317,[18 32] ; [ 9 17],[17.76315789 32.23684211] ; [ 9.23684211 16.76315789],0
p8,1,0.936291,0.006389,[10 40] ; [ 5 21],[ 9.86842105 40.13157895] ; [ 5.13157895 20.86842105],0
d4,1,0.968655,0.001544,[31 19] ; [16 10],[30.92105263 19.07894737] ; [16.07894737  9.92105263],0
s3,1,0.97246,0.001192,[19 29] ; [10 15],[19.06849315 28.93150685] ; [ 9.93150685 15.06849315],0
u3,1,0.979346,0.00067,[16 14] ; [9 8],[15.95744681 14.04255319] ; [9.04255319 7.95744681],0
d3,1,0.979437,0.000664,[21 29] ; [11 15],[21.05263158 28.94736842] ; [10.94736842 15.05263158],0
