Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.036198,4.387755,[14  2] ; [19 14],[10.7755102  5.2244898] ; [22.2244898 10.7755102],0
a6,1,0.063914,3.432797,[32  9] ; [58 36],[27.33333333 13.66666667] ; [62.66666667 31.33333333],0
n1,1,0.106787,2.601135,[ 1 11] ; [10 21],[3.06976744 8.93023256] ; [ 7.93023256 23.06976744],0
b1,1,0.116918,2.458124,[10 31] ; [36 58],[13.97037037 27.02962963] ; [32.02962963 61.97037037],0
v2,1,0.120872,2.40598,[25 15] ; [43 47],[20.92307692 19.07692308] ; [47.07692308 42.92307692],0
b4,1,0.13085,2.282391,[30 11] ; [56 38],[26.11851852 14.88148148] ; [59.88148148 34.11851852],0
r3,1,0.142051,2.155603,[38  3] ; [92  2],[39.48148148  1.51851852] ; [90.51851852  3.48148148],0
a4,1,0.178041,1.813904,[12 29] ; [39 55],[15.48888889 25.51111111] ; [35.51111111 58.48888889],0
s7,1,0.18177,1.783093,[22 18] ; [39 53],[18.48484848 21.51515152] ; [42.51515152 49.48484848],0
p8,1,0.20921,1.576886,[22 19] ; [39 54],[18.6641791 22.3358209] ; [42.3358209 50.6641791],0
n2,1,0.210732,1.566388,[7 5] ; [24  7],[8.65116279 3.34883721] ; [22.34883721  8.65116279],0
p5,1,0.213205,1.54953,[ 4 37] ; [ 4 90],[ 2.42962963 38.57037037] ; [ 5.57037037 88.42962963],0
p12,1,0.213205,1.54953,[ 4 37] ; [ 4 90],[ 2.42962963 38.57037037] ; [ 5.57037037 88.42962963],0
p9,1,0.219944,1.504733,[29 11] ; [77 17],[31.64179104  8.35820896] ; [74.35820896 19.64179104],0
a8,1,0.262124,1.257504,[ 1 36] ; [ 7 79],[ 2.40650407 34.59349593] ; [ 5.59349593 80.40650407],0
v1,1,0.265804,1.238274,[20 21] ; [35 56],[17.08333333 23.91666667] ; [37.91666667 53.08333333],0
p2,1,0.31534,1.008176,[29 12] ; [74 20],[31.28148148  9.71851852] ; [71.71851852 22.28148148],0
a5,1,0.34791,0.881065,[32  9] ; [66 28],[29.76296296 11.23703704] ; [68.23703704 25.76296296],0
d5,1,0.399667,0.709328,[31 10] ; [77 17],[32.8  8.2] ; [75.2 18.8],0
r2,1,0.404999,0.693433,[36  5] ; [84  7],[37.27272727  3.72727273] ; [82.72727273  8.27272727],0
n3,1,0.468541,0.525415,[8 4] ; [24  7],[8.93023256 3.06976744] ; [23.06976744  7.93023256],0
p10,1,0.491448,0.473355,[29 12] ; [71 22],[30.59701493 10.40298507] ; [69.40298507 23.59701493],0
b3,1,0.512319,0.429327,[ 5 17] ; [16 37],[ 6.16 15.84] ; [14.84 38.16],0
b2,1,0.512319,0.429327,[ 5 17] ; [16 37],[ 6.16 15.84] ; [14.84 38.16],0
p4,1,0.536354,0.382339,[19 22] ; [49 45],[20.65185185 20.34814815] ; [47.34814815 46.65185185],0
b5,1,0.565457,0.330343,[27 14] ; [57 37],[25.51111111 15.48888889] ; [58.48888889 35.51111111],0
p3,1,0.57934,0.307303,[20 21] ; [41 53],[18.52592593 22.47407407] ; [42.47407407 51.52592593],0
p1,1,0.604591,0.268127,[ 2 38] ; [ 7 87],[ 2.68656716 37.31343284] ; [ 6.31343284 87.68656716],0
u1,1,0.625679,0.237966,[ 7 34] ; [13 81],[ 6.07407407 34.92592593] ; [13.92592593 80.07407407],0
r1,1,0.633127,0.227844,[32  9] ; [69 24],[30.90298507 10.09701493] ; [70.09701493 22.90298507],0
s2,1,0.642387,0.215633,[24 17] ; [59 35],[25.20740741 15.79259259] ; [57.79259259 36.20740741],0
p6,1,0.644036,0.213502,[11 29] ; [29 63],[12.12121212 27.87878788] ; [27.87878788 64.12121212],0
