Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,42.023687,[83 15] ; [ 6 22],[69.22222222 28.77777778] ; [19.77777778  8.22222222],1
p2,1,1.8e-05,18.375,[91  7] ; [17 11],[84. 14.] ; [24.  4.],1
p3,1,2.3e-05,17.898298,[73 24] ; [ 9 19],[63.632 33.368] ; [18.368  9.632],1
p6,1,3.3e-05,17.244115,[55 43] ; [ 3 24],[45.472 52.528] ; [12.528 14.472],1
p11,1,0.000535,11.990495,[85 13] ; [16 12],[78.55555556 19.44444444] ; [22.44444444  5.55555556],1
b5,1,0.000695,11.503296,[45 53] ; [23  5],[52.88888889 45.11111111] ; [15.11111111 12.88888889],1
p9,1,0.00416,8.212627,[93  5] ; [20  6],[89.30645161  8.69354839] ; [23.69354839  2.30645161],0
n5,1,0.004586,8.035819,[87 10] ; [19  9],[82.256 14.744] ; [23.744  4.256],0
v2,1,0.007273,7.204395,[84 13] ; [18 10],[79.152 17.848] ; [22.848  5.152],0
r3,1,0.008344,6.958207,[97  1] ; [24  3],[94.864  3.136] ; [26.136  0.864],0
p10,1,0.023041,5.165408,[91  7] ; [21  6],[87.808 10.192] ; [24.192  2.808],0
p4,1,0.029804,4.720549,[80 17] ; [17 10],[75.87903226 21.12096774] ; [21.12096774  5.87903226],0
p12,1,0.045401,4.003676,[15 83] ; [ 9 19],[18.66666667 79.33333333] ; [ 5.33333333 22.66666667],0
s1,1,0.056489,3.63758,[ 1 96] ; [ 2 25],[ 2.34677419 94.65322581] ; [ 0.65322581 26.34677419],0
a7,1,0.069923,3.284821,[66 32] ; [23  4],[69.776 28.224] ; [19.224  7.776],0
s8,1,0.100185,2.702596,[70 27] ; [15 12],[66.49193548 30.50806452] ; [18.50806452  8.49193548],0
n6,1,0.102823,2.661206,[92  3] ; [25  3],[90.36585366  4.63414634] ; [26.63414634  1.36585366],0
s7,1,0.1231,2.377427,[73 21] ; [17 10],[69.91735537 24.08264463] ; [20.08264463  6.91735537],0
b1,1,0.141326,2.163462,[34 64] ; [14 14],[37.33333333 60.66666667] ; [10.66666667 17.33333333],0
b4,1,0.17299,1.856842,[56 42] ; [20  8],[59.11111111 38.88888889] ; [16.88888889 11.11111111],0
r4,1,0.174452,1.844262,[96  2] ; [26  2],[94.88888889  3.11111111] ; [27.11111111  0.88888889],0
d2,1,0.176948,1.823072,[49 48] ; [17  9],[52.04878049 44.95121951] ; [13.95121951 12.04878049],0
s4,1,0.192199,1.70068,[22 76] ; [ 3 24],[19.6 78.4] ; [ 5.4 21.6],0
u2,1,0.24135,1.372689,[12  9] ; [5 1],[13.22222222  7.77777778] ; [3.77777778 2.22222222],0
s3,1,0.273153,1.200842,[73 23] ; [17  9],[70.81967213 25.18032787] ; [19.18032787  6.81967213],0
