Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.004068,8.253126,[5 2] ; [ 5 24],[1.94444444 5.05555556] ; [ 8.05555556 20.94444444],0
u3,1,0.027159,4.880672,[3 1] ; [ 4 16],[1.16666667 2.83333333] ; [ 5.83333333 14.16666667],0
s5,1,0.038301,4.291626,[3 4] ; [ 3 26],[1.16666667 5.83333333] ; [ 4.83333333 24.16666667],0
p4,1,0.049112,3.871537,[5 2] ; [ 9 20],[2.72222222 4.27777778] ; [11.27777778 17.72222222],0
d5,1,0.07515,3.166784,[5 2] ; [10 19],[2.91666667 4.08333333] ; [12.08333333 16.91666667],0
s8,1,0.081187,3.040986,[3 4] ; [ 4 25],[1.36111111 5.63888889] ; [ 5.63888889 23.36111111],0
b1,1,0.101592,2.680366,[6 1] ; [15 14],[4.08333333 2.91666667] ; [16.91666667 12.08333333],0
d4,1,0.101592,2.680366,[6 1] ; [15 14],[4.08333333 2.91666667] ; [16.91666667 12.08333333],0
p2,1,0.136826,2.213294,[6 1] ; [16 13],[4.27777778 2.72222222] ; [17.72222222 11.27777778],0
p3,1,0.143432,2.140746,[3 4] ; [ 5 24],[1.55555556 5.44444444] ; [ 6.44444444 22.55555556],0
v1,1,0.143432,2.140746,[3 4] ; [ 5 24],[1.55555556 5.44444444] ; [ 6.44444444 22.55555556],0
v4,1,0.18042,1.794158,[6 1] ; [17 12],[4.47222222 2.52777778] ; [18.52777778 10.47222222],0
s6,1,0.196789,1.666046,[4 3] ; [ 9 20],[2.52777778 4.47222222] ; [10.47222222 18.52777778],0
v3,1,0.210743,1.566312,[2 5] ; [ 3 26],[0.97222222 6.02777778] ; [ 4.02777778 24.97222222],0
s2,1,0.224114,1.477833,[3 4] ; [ 6 23],[1.75 5.25] ; [ 7.25 21.75],0
s4,1,0.224114,1.477833,[3 4] ; [ 6 23],[1.75 5.25] ; [ 7.25 21.75],0
p1,1,0.261227,1.262243,[1 6] ; [ 1 28],[0.38888889 6.61111111] ; [ 1.61111111 27.38888889],0
s1,1,0.261227,1.262243,[1 6] ; [ 1 28],[0.38888889 6.61111111] ; [ 1.61111111 27.38888889],0
b4,1,0.269685,1.218348,[3 4] ; [19 10],[4.27777778 2.72222222] ; [17.72222222 11.27777778],0
p8,1,0.320988,0.984919,[3 4] ; [ 7 22],[1.94444444 5.05555556] ; [ 8.05555556 20.94444444],0
p6,1,0.369722,0.804598,[2 5] ; [ 4 24],[1.2 5.8] ; [ 4.8 23.2],0
p10,1,0.393153,0.729167,[4 3] ; [11 17],[3. 4.] ; [12. 16.],0
s3,1,0.466479,0.530303,[3 4] ; [ 8 20],[2.2 4.8] ; [ 8.8 19.2],0
p9,1,0.497378,0.460526,[4 3] ; [12 16],[3.2 3.8] ; [12.8 15.2],0
a7,1,0.532706,0.389227,[2 5] ; [12 17],[2.72222222 4.27777778] ; [11.27777778 17.72222222],0
a3,1,0.551476,0.35468,[3 4] ; [ 9 20],[2.33333333 4.66666667] ; [ 9.66666667 19.33333333],0
r4,1,0.573611,0.316678,[1 6] ; [ 7 22],[1.55555556 5.44444444] ; [ 6.44444444 22.55555556],0
p7,1,0.643563,0.214113,[2 5] ; [11 18],[2.52777778 4.47222222] ; [10.47222222 18.52777778],0
p11,1,0.673669,0.17734,[3 4] ; [15 14],[3.5 3.5] ; [14.5 14.5],0
r3,1,0.678863,0.171409,[4 3] ; [19 10],[4.47222222 2.52777778] ; [18.52777778 10.47222222],0
n2,1,0.681777,0.168132,[2 2] ; [8 5],[2.35294118 1.64705882] ; [7.64705882 5.35294118],0
u2,1,0.711138,0.137143,[2 2] ; [ 8 12],[1.66666667 2.33333333] ; [ 8.33333333 11.66666667],0
n6,1,0.810366,0.057578,[4 3] ; [18 11],[4.27777778 2.72222222] ; [17.72222222 11.27777778],0
d1,1,0.850618,0.035468,[1 6] ; [ 5 24],[1.16666667 5.83333333] ; [ 4.83333333 24.16666667],0
n4,1,0.924978,0.008867,[4 3] ; [16 13],[3.88888889 3.11111111] ; [16.11111111 12.88888889],0
n1,1,0.936802,0.006287,[1 3] ; [ 3 10],[0.94117647 3.05882353] ; [3.05882353 9.94117647],0
n5,1,0.943253,0.005067,[4 3] ; [17 12],[4.08333333 2.91666667] ; [16.91666667 12.08333333],0
d3,1,0.943253,0.005067,[3 4] ; [12 17],[2.91666667 4.08333333] ; [12.08333333 16.91666667],0
b5,1,0.943253,0.005067,[4 3] ; [17 12],[4.08333333 2.91666667] ; [16.91666667 12.08333333],0
a6,1,0.958343,0.002728,[2 5] ; [ 8 21],[1.94444444 5.05555556] ; [ 8.05555556 20.94444444],0
v2,1,1.0,0.0,[2 5] ; [ 8 20],[2. 5.] ; [ 8. 20.],0
