Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2.7e-05,17.650387,[39  7] ; [ 8 15],[31.33333333 14.66666667] ; [15.66666667  7.33333333],1
b3,1,0.005701,7.642556,[14 11] ; [ 1 11],[10.13513514 14.86486486] ; [4.86486486 7.13513514],0
b2,1,0.005701,7.642556,[14 11] ; [ 1 11],[10.13513514 14.86486486] ; [4.86486486 7.13513514],0
s4,1,0.036343,4.380952,[22 24] ; [ 5 18],[18. 28.] ; [ 9. 14.],0
v1,1,0.060198,3.531911,[24 20] ; [ 7 16],[20.35820896 23.64179104] ; [10.64179104 12.35820896],0
s8,1,0.060422,3.52576,[25 21] ; [ 7 16],[21.33333333 24.66666667] ; [10.66666667 12.33333333],0
r2,1,0.068554,3.317308,[45  1] ; [20  3],[43.33333333  2.66666667] ; [21.66666667  1.33333333],0
s6,1,0.10357,2.649687,[41  5] ; [17  6],[38.66666667  7.33333333] ; [19.33333333  3.66666667],0
p10,1,0.124146,2.364218,[38  7] ; [15  7],[35.59701493  9.40298507] ; [17.40298507  4.59701493],0
s7,1,0.129239,2.301626,[23 20] ; [ 7 14],[20.15625 22.84375] ; [ 9.84375 11.15625],0
r1,1,0.16092,1.965561,[33 12] ; [13 10],[30.44117647 14.55882353] ; [15.55882353  7.44117647],0
p9,1,0.162287,1.952782,[39  6] ; [16  6],[36.94029851  8.05970149] ; [18.05970149  3.94029851],0
n6,1,0.165718,1.921263,[30 15] ; [19  4],[32.42647059 12.57352941] ; [16.57352941  6.42647059],0
p8,1,0.191576,1.705455,[24 21] ; [ 8 14],[21.49253731 23.50746269] ; [10.50746269 11.49253731],0
p7,1,0.207673,1.587576,[26 16] ; [10 12],[23.625 18.375] ; [12.375  9.625],0
a3,1,0.244629,1.353719,[30 15] ; [12 11],[27.79411765 17.20588235] ; [14.20588235  8.79411765],0
v3,1,0.268211,1.225876,[15 28] ; [ 5 18],[13.03030303 29.96969697] ; [ 6.96969697 16.03030303],0
a5,1,0.283549,1.15,[32 14] ; [13 10],[30. 16.] ; [15.  8.],0
d4,1,0.287531,1.131148,[42  4] ; [19  4],[40.66666667  5.33333333] ; [20.33333333  2.66666667],0
r4,1,0.352287,0.865204,[40  6] ; [18  5],[38.66666667  7.33333333] ; [19.33333333  3.66666667],0
p11,1,0.361078,0.834139,[33 13] ; [14  9],[31.33333333 14.66666667] ; [15.66666667  7.33333333],0
a1,1,0.364763,0.821429,[ 3 43] ; [ 3 20],[ 4. 42.] ; [ 2. 21.],0
n2,1,0.365416,0.819195,[13  4] ; [6 4],[11.96296296  5.03703704] ; [7.03703704 2.96296296],0
n1,1,0.383666,0.758924,[8 9] ; [3 7],[ 6.92592593 10.07407407] ; [4.07407407 5.92592593],0
u3,1,0.452651,0.564004,[11  5] ; [6 5],[10.07407407  5.92592593] ; [6.92592593 4.07407407],0
d3,1,0.464993,0.533849,[30 16] ; [17  6],[31.33333333 14.66666667] ; [15.66666667  7.33333333],0
d1,1,0.490303,0.475862,[28 18] ; [12 11],[26.66666667 19.33333333] ; [13.33333333  9.66666667],0
a2,1,0.500466,0.453947,[ 9 37] ; [ 3 20],[ 8. 38.] ; [ 4. 19.],0
n3,1,0.530236,0.393939,[10  6] ; [5 5],[9.23076923 6.76923077] ; [5.76923077 4.23076923],0
p6,1,0.535661,0.383642,[13 32] ; [ 8 14],[14.10447761 30.89552239] ; [ 6.89552239 15.10447761],0
d5,1,0.535825,0.383333,[37  9] ; [17  6],[36. 10.] ; [18.  5.],0
n5,1,0.56085,0.338235,[13 33] ; [ 5 18],[12. 34.] ; [ 6. 17.],0
b1,1,0.578888,0.308036,[13 33] ; [ 8 15],[14. 32.] ; [ 7. 16.],0
a7,1,0.578888,0.308036,[33 13] ; [15  8],[32. 14.] ; [16.  7.],0
b4,1,0.591827,0.2875,[31 15] ; [14  9],[30. 16.] ; [15.  8.],0
s1,1,0.611869,0.257463,[ 1 45] ; [ 1 22],[ 1.33333333 44.66666667] ; [ 0.66666667 22.33333333],0
p12,1,0.704141,0.1442,[ 3 43] ; [ 2 20],[ 3.38235294 42.61764706] ; [ 1.61764706 20.38235294],0
p5,1,0.722882,0.125748,[ 3 42] ; [ 2 20],[ 3.35820896 41.64179104] ; [ 1.64179104 20.35820896],0
p4,1,0.725695,0.123101,[23 23] ; [12 10],[23.67647059 22.32352941] ; [11.32352941 10.67647059],0
a6,1,0.728808,0.120209,[28 18] ; [13 10],[27.33333333 18.66666667] ; [13.66666667  9.33333333],0
v4,1,0.761674,0.091981,[42  3] ; [21  2],[41.69117647  3.30882353] ; [21.30882353  1.69117647],0
u2,1,0.816334,0.053946,[8 8] ; [5 6],[7.7037037 8.2962963] ; [5.2962963 5.7037037],0
p3,1,0.854567,0.033597,[22 24] ; [10 12],[21.64705882 24.35294118] ; [10.35294118 11.64705882],0
d2,1,0.864118,0.029287,[21 25] ; [10 13],[20.66666667 25.33333333] ; [10.33333333 12.66666667],0
