Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,121.335186,[549  11] ; [36 20],[531.81818182  28.18181818] ; [53.18181818  2.81818182],1
r2,1,0.0,114.532945,[540  17] ; [33 22],[521.50490196  35.49509804] ; [51.49509804  3.50490196],1
r1,1,0.0,106.226056,[476  82] ; [18 43],[445.31825525 112.68174475] ; [48.68174475 12.31825525],1
r3,1,0.0,78.948763,[552   8] ; [44 14],[540.06472492  19.93527508] ; [55.93527508  2.06472492],1
a7,1,0.000493,12.141795,[411 147] ; [32 29],[399.34410339 158.65589661] ; [43.65589661 17.34410339],1
p3,1,0.000711,11.460138,[291 265] ; [18 43],[278.45056726 277.54943274] ; [30.54943274 30.45056726],1
p7,1,0.000878,11.067923,[367 177] ; [27 32],[355.44941957 188.55058043] ; [38.55058043 20.44941957],1
d3,1,0.001338,10.289296,[383 175] ; [30 32],[371.7 186.3] ; [41.3 20.7],0
s6,1,0.004621,8.02212,[351 200] ; [27 33],[340.88052373 210.11947627] ; [37.11947627 22.88052373],0
n4,1,0.004941,7.900909,[455 105] ; [41 21],[446.55948553 113.44051447] ; [49.44051447 12.55948553],0
p8,1,0.008468,6.931676,[313 236] ; [24 37],[303.3 245.7] ; [33.7 27.3],0
p10,1,0.012078,6.299402,[479  77] ; [42 15],[472.55464927  83.44535073] ; [48.44535073  8.55464927],0
a6,1,0.012229,6.277377,[392 165] ; [34 28],[383.33117932 173.66882068] ; [42.66882068 19.33117932],0
p2,1,0.029765,4.722796,[482  74] ; [45 14],[476.44227642  79.55772358] ; [50.55772358  8.44227642],0
d4,1,0.030334,4.690287,[464  93] ; [44 17],[457.85760518  99.14239482] ; [50.14239482 10.85760518],0
n6,1,0.032439,4.575151,[483  75] ; [45 14],[477.51053485  80.48946515] ; [50.48946515  8.51053485],0
p4,1,0.03294,4.548919,[342 213] ; [29 32],[334.26136364 220.73863636] ; [36.73863636 24.26136364],0
s8,1,0.038853,4.267304,[250 306] ; [19 42],[242.40518639 313.59481361] ; [26.59481361 34.40518639],0
v3,1,0.039885,4.22276,[232 305] ; [18 43],[224.49832776 312.50167224] ; [25.50167224 35.49832776],0
v1,1,0.042722,4.106352,[309 233] ; [25 33],[301.71333333 240.28666667] ; [32.28666667 25.71333333],0
d1,1,0.058201,3.587919,[332 228] ; [29 33],[325.01607717 234.98392283] ; [35.98392283 26.01607717],0
n5,1,0.061967,3.483941,[429 128] ; [39 20],[423.17532468 133.82467532] ; [44.82467532 14.17532468],0
a5,1,0.065136,3.401534,[421 138] ; [40 22],[414.9742351 144.0257649] ; [46.0257649 15.9742351],0
s5,1,0.075774,3.153286,[169 375] ; [12 48],[163.01986755 380.98013245] ; [17.98013245 42.01986755],0
s2,1,0.086924,2.930432,[259 297] ; [21 39],[252.72727273 303.27272727] ; [27.27272727 32.72727273],0
u3,1,0.096813,2.757278,[94 64] ; [ 8 12],[90.53932584 67.46067416] ; [11.46067416  8.53932584],0
s3,1,0.102766,2.662079,[295 257] ; [24 33],[289.14285714 262.85714286] ; [29.85714286 27.14285714],0
a2,1,0.125538,2.346835,[129 431] ; [ 9 53],[124.24437299 435.75562701] ; [13.75562701 48.24437299],0
a8,1,0.144664,2.127636,[ 85 425] ; [ 5 50],[ 81.23893805 428.76106195] ; [ 8.76106195 46.23893805],0
b2,1,0.167338,1.906629,[152 208] ; [12 27],[147.96992481 212.03007519] ; [16.03007519 22.96992481],0
b3,1,0.167338,1.906629,[152 208] ; [12 27],[147.96992481 212.03007519] ; [16.03007519 22.96992481],0
p9,1,0.169854,1.884231,[486  67] ; [49 11],[482.63458401  70.36541599] ; [52.36541599  7.63458401],0
d5,1,0.175299,1.837037,[454 104] ; [46 16],[450. 108.] ; [50. 12.],0
p6,1,0.179933,1.798181,[197 352] ; [16 43],[192.33059211 356.66940789] ; [20.66940789 38.33059211],0
b1,1,0.192686,1.696957,[197 363] ; [27 35],[201.67202572 358.32797428] ; [22.32797428 39.67202572],0
p5,1,0.22124,1.496309,[ 69 484] ; [11 50],[ 72.05211726 480.94788274] ; [ 7.94788274 53.05211726],0
p12,1,0.243163,1.362162,[ 53 501] ; [ 3 57],[ 50.5276873 503.4723127] ; [ 5.4723127 54.5276873],0
b4,1,0.250364,1.32127,[328 232] ; [41 21],[332.21864952 227.78135048] ; [36.78135048 25.21864952],0
u1,1,0.279502,1.169509,[ 93 467] ; [ 7 55],[ 90.03215434 469.96784566] ; [ 9.96784566 52.03215434],0
u2,1,0.283437,1.150535,[98 59] ; [10 10],[95.79661017 61.20338983] ; [12.20338983  7.79661017],0
s7,1,0.311438,1.024569,[249 285] ; [23 35],[245.35135135 288.64864865] ; [26.64864865 31.35135135],0
a3,1,0.328006,0.956754,[402 156] ; [41 21],[398.7 159.3] ; [44.3 17.7],0
a4,1,0.381543,0.765725,[248 309] ; [24 38],[244.75605816 312.24394184] ; [27.24394184 34.75605816],0
v2,1,0.388492,0.743658,[325 210] ; [33 27],[321.89915966 213.10084034] ; [36.10084034 23.89915966],0
n1,1,0.430933,0.620308,[34 66] ; [11 15],[35.71428571 64.28571429] ; [ 9.28571429 16.71428571],0
n3,1,0.44408,0.585718,[77 25] ; [17  8],[75.49606299 26.50393701] ; [18.50393701  6.49606299],0
p1,1,0.462401,0.540078,[ 48 507] ; [ 7 54],[ 49.55357143 505.44642857] ; [ 5.44642857 55.55357143],0
b5,1,0.57179,0.319697,[328 232] ; [34 28],[325.91639871 234.08360129] ; [36.08360129 25.91639871],0
d2,1,0.585517,0.2974,[267 290] ; [27 34],[264.98058252 292.01941748] ; [29.01941748 31.98058252],0
s1,1,0.67547,0.17527,[ 13 538] ; [ 2 60],[ 13.48287113 537.51712887] ; [ 1.51712887 60.48287113],0
n2,1,0.902579,0.014983,[75 26] ; [19  7],[74.75590551 26.24409449] ; [19.24409449  6.75590551],0
a1,1,0.995192,3.6e-05,[ 27 533] ; [ 3 59],[ 27.0096463 532.9903537] ; [ 2.9903537 59.0096463],0
