Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.002602,9.067728,[ 7 10] ; [79 24],[12.18333333  4.81666667] ; [73.81666667 29.18333333],0
a5,1,0.002778,8.948122,[8 9] ; [83 20],[12.89166667  4.10833333] ; [78.10833333 24.89166667],0
n5,1,0.006989,7.275913,[ 7 10] ; [76 27],[11.75833333  5.24166667] ; [71.24166667 31.75833333],0
r2,1,0.008268,6.974476,[15  2] ; [102   1],[16.575  0.425] ; [100.425   2.575],0
b1,1,0.012386,6.254712,[11  6] ; [34 69],[ 6.375 10.625] ; [38.625 64.375],0
p9,1,0.016651,5.732835,[10  5] ; [92 11],[12.96610169  2.03389831] ; [89.03389831 13.96610169],0
p10,1,0.03712,4.344912,[10  5] ; [90 13],[12.71186441  2.28813559] ; [87.28813559 15.71186441],0
s6,1,0.087251,2.92437,[12  4] ; [90 10],[14.06896552  1.93103448] ; [87.93103448 12.06896552],0
r4,1,0.090613,2.863457,[15  2] ; [100   3],[16.29166667  0.70833333] ; [98.70833333  4.29166667],0
p4,1,0.09413,2.802292,[8 9] ; [70 33],[11.05  5.95] ; [66.95 36.05],0
a7,1,0.117903,2.444957,[9 8] ; [74 29],[11.75833333  5.24166667] ; [71.24166667 31.75833333],0
d1,1,0.155767,2.014849,[8 9] ; [67 36],[10.625  6.375] ; [64.375 38.625],0
b4,1,0.164176,1.935339,[ 7 10] ; [61 42],[9.63333333 7.36666667] ; [58.36666667 44.63333333],0
u2,1,0.18367,1.767677,[4 2] ; [ 8 14],[2.57142857 3.42857143] ; [ 9.42857143 12.57142857],0
a2,1,0.1973,1.662252,[ 2 15] ; [27 76],[ 4.10833333 12.89166667] ; [24.89166667 78.10833333],0
a3,1,0.208199,1.583904,[11  6] ; [81 22],[13.03333333  3.96666667] ; [78.96666667 24.03333333],0
s3,1,0.210084,1.570846,[15  2] ; [75 26],[12.96610169  4.03389831] ; [77.03389831 23.96610169],0
d2,1,0.216856,1.525057,[ 6 11] ; [53 50],[8.35833333 8.64166667] ; [50.64166667 52.35833333],0
n4,1,0.239635,1.382739,[10  7] ; [75 28],[12.04166667  4.95833333] ; [72.95833333 30.04166667],0
u1,1,0.252577,1.308991,[ 2 15] ; [25 78],[ 3.825 13.175] ; [23.175 79.825],0
s5,1,0.272321,1.205018,[6 9] ; [53 43],[7.97297297 7.02702703] ; [51.02702703 44.97297297],0
p6,1,0.276568,1.183879,[9 7] ; [43 60],[6.99159664 9.00840336] ; [45.00840336 57.99159664],0
v2,1,0.281466,1.16,[ 6 10] ; [52 48],[8. 8.] ; [50. 50.],0
u3,1,0.359809,0.838561,[5 1] ; [14  8],[4.07142857 1.92857143] ; [14.92857143  7.07142857],0
p7,1,0.385471,0.753182,[9 7] ; [68 33],[10.52991453  5.47008547] ; [66.47008547 34.52991453],0
d5,1,0.449956,0.570763,[15  2] ; [83 20],[13.88333333  3.11666667] ; [84.11666667 18.88333333],0
v4,1,0.490764,0.474851,[15  1] ; [100   3],[15.46218487  0.53781513] ; [99.53781513  3.46218487],0
p8,1,0.493962,0.467886,[7 9] ; [54 48],[8.27118644 7.72881356] ; [52.72881356 49.27118644],0
n2,1,0.504036,0.446429,[3 2] ; [15  5],[3.6 1.4] ; [14.4  5.6],0
p5,1,0.541308,0.37312,[ 1 16] ; [11 92],[ 1.7 15.3] ; [10.3 92.7],0
s2,1,0.586972,0.295097,[13  4] ; [70 30],[12.05982906  4.94017094] ; [70.94017094 29.05982906],0
p1,1,0.612478,0.256582,[ 1 16] ; [10 93],[ 1.55833333 15.44166667] ; [ 9.44166667 93.55833333],0
d4,1,0.621819,0.243319,[13  4] ; [84 19],[13.74166667  3.25833333] ; [83.25833333 19.74166667],0
a4,1,0.624305,0.239863,[ 7 10] ; [49 54],[7.93333333 9.06666667] ; [48.06666667 54.93333333],0
b2,1,0.662343,0.19069,[1 7] ; [10 43],[1.44262295 6.55737705] ; [ 9.55737705 43.44262295],0
b3,1,0.662343,0.19069,[1 7] ; [10 43],[1.44262295 6.55737705] ; [ 9.55737705 43.44262295],0
p2,1,0.664128,0.188548,[14  3] ; [80 23],[13.31666667  3.68333333] ; [80.68333333 22.31666667],0
r3,1,0.667288,0.184791,[15  1] ; [98  4],[15.3220339  0.6779661] ; [97.6779661  4.3220339],0
s1,1,0.667288,0.184791,[ 1 15] ; [ 4 98],[ 0.6779661 15.3220339] ; [ 4.3220339 97.6779661],0
n1,1,0.668108,0.183824,[2 3] ; [ 6 14],[1.6 3.4] ; [ 6.4 13.6],0
p3,1,0.677452,0.173008,[10  7] ; [55 48],[9.20833333 7.79166667] ; [55.79166667 47.20833333],0
n3,1,0.785028,0.074405,[4 1] ; [17  3],[4.2 0.8] ; [16.8  3.2],0
v1,1,0.793486,0.068532,[8 9] ; [52 51],[8.5 8.5] ; [51.5 51.5],0
a6,1,0.8292,0.046539,[12  5] ; [70 33],[11.61666667  5.38333333] ; [70.38333333 32.61666667],0
s7,1,0.834296,0.043763,[9 5] ; [62 39],[8.64347826 5.35652174] ; [62.35652174 38.64347826],0
d3,1,0.840523,0.040491,[13  4] ; [81 22],[13.31666667  3.68333333] ; [80.68333333 22.31666667],0
v3,1,0.851851,0.034878,[ 5 12] ; [32 69],[ 5.33050847 11.66949153] ; [31.66949153 69.33050847],0
b5,1,0.854609,0.033577,[10  7] ; [63 40],[10.34166667  6.65833333] ; [62.65833333 40.34166667],0
a8,1,0.871703,0.026081,[ 1 15] ; [ 5 90],[ 0.86486486 15.13513514] ; [ 5.13513514 89.86486486],0
s8,1,0.909631,0.012883,[9 8] ; [53 50],[8.78333333 8.21666667] ; [53.21666667 49.78333333],0
