Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,5e-06,20.873581,[126 102] ; [ 47 103],[104.34920635 123.65079365] ; [68.65079365 81.34920635],1
v2,1,0.000119,14.801058,[159  71] ; [72 74],[141.30319149  88.69680851] ; [89.69680851 56.30319149],1
s8,1,0.000473,12.218658,[135  95] ; [61 90],[118.32020997 111.67979003] ; [77.67979003 73.32020997],1
n5,1,0.000541,11.968846,[201  33] ; [108  43],[187.80779221  46.19220779] ; [121.19220779  29.80779221],1
b3,1,0.001295,10.34996,[69 83] ; [20 63],[57.56595745 94.43404255] ; [31.43404255 51.56595745],0
b2,1,0.001295,10.34996,[69 83] ; [20 63],[57.56595745 94.43404255] ; [31.43404255 51.56595745],0
p9,1,0.001375,10.238476,[217  16] ; [124  26],[207.44908616  25.55091384] ; [133.55091384  16.44908616],0
p6,1,0.002981,8.819265,[128 102] ; [61 91],[113.79581152 116.20418848] ; [75.20418848 76.79581152],0
a5,1,0.005372,7.749874,[198  36] ; [111  41],[187.32124352  46.67875648] ; [121.67875648  30.32124352],0
p4,1,0.008889,6.845047,[186  47] ; [102  48],[175.20626632  57.79373368] ; [112.79373368  37.20626632],0
n1,1,0.011769,6.345345,[19 12] ; [ 8 20],[14.18644068 16.81355932] ; [12.81355932 15.18644068],0
n4,1,0.013754,6.069483,[200  34] ; [114  37],[190.84675325  43.15324675] ; [123.15324675  27.84675325],0
d1,1,0.013967,6.042283,[164  70] ; [88 64],[152.76683938  81.23316062] ; [99.23316062 52.76683938],0
s5,1,0.014323,5.997938,[103 124] ; [48 99],[ 91.64973262 135.35026738] ; [59.35026738 87.64973262],0
a2,1,0.019086,5.493651,[ 66 168] ; [ 27 125],[ 56.37823834 177.62176166] ; [ 36.62176166 115.37823834],0
p10,1,0.024402,5.065823,[211  22] ; [125  26],[203.875  29.125] ; [132.125  18.875],0
n6,1,0.025407,4.995919,[209  23] ; [125  27],[201.79166667  30.20833333] ; [132.20833333  19.79166667],0
b5,1,0.028195,4.816089,[139  95] ; [73 79],[128.51813472 105.48186528] ; [83.48186528 68.51813472],0
p11,1,0.036832,4.358149,[206  28] ; [122  30],[198.83937824  35.16062176] ; [129.16062176  22.83937824],0
a3,1,0.044789,4.026567,[182  49] ; [106  46],[173.70234987  57.29765013] ; [114.29765013  37.70234987],0
a4,1,0.052078,3.773248,[115 117] ; [60 92],[105.72916667 126.27083333] ; [69.27083333 82.72916667],0
p5,1,0.053112,3.740398,[ 47 187] ; [ 19 133],[ 40.01036269 193.98963731] ; [ 25.98963731 126.01036269],0
u4,1,0.054034,3.711642,[  9 225] ; [  1 151],[  6.06217617 227.93782383] ; [  3.93782383 148.06217617],0
p12,1,0.054104,3.709481,[ 30 204] ; [ 10 140],[ 24.375 209.625] ; [ 15.625 134.375],0
p2,1,0.06619,3.375058,[220  14] ; [135  17],[215.20725389  18.79274611] ; [139.79274611  12.20725389],0
n2,1,0.073206,3.209627,[28  3] ; [21  8],[25.31666667  5.68333333] ; [23.68333333  5.31666667],0
u1,1,0.089349,2.886069,[ 50 184] ; [ 22 130],[ 43.64766839 190.35233161] ; [ 28.35233161 123.64766839],0
r4,1,0.094788,2.791119,[230   4] ; [145   7],[227.33160622   6.66839378] ; [147.66839378   4.33160622],0
s7,1,0.104831,2.630472,[130  93] ; [71 72],[122.46721311 100.53278689] ; [78.53278689 64.46721311],0
p3,1,0.120087,2.416186,[157  76] ; [90 61],[149.87239583  83.12760417] ; [97.12760417 53.87239583],0
p1,1,0.127242,2.325828,[ 32 201] ; [ 13 138],[ 27.3046875 205.6953125] ; [ 17.6953125 133.3046875],0
d4,1,0.15299,2.042179,[203  29] ; [125  27],[198.16666667  33.83333333] ; [129.83333333  22.16666667],0
r3,1,0.157779,1.995386,[228   6] ; [142   8],[225.46875   8.53125] ; [144.53125   5.46875],0
r2,1,0.169368,1.888531,[227   5] ; [143   7],[224.71204188   7.28795812] ; [145.28795812   4.71204188],0
a1,1,0.171338,1.871196,[ 13 221] ; [  4 148],[ 10.30569948 223.69430052] ; [  6.69430052 145.30569948],0
s1,1,0.171373,1.870891,[  4 229] ; [  6 144],[  6.08355091 226.91644909] ; [  3.91644909 146.08355091],0
d2,1,0.228239,1.4518,[125 108] ; [72 80],[119.22337662 113.77662338] ; [77.77662338 74.22337662],0
b4,1,0.235975,1.404482,[139  95] ; [81 71],[133.36787565 100.63212435] ; [86.63212435 65.36787565],0
d5,1,0.283806,1.148774,[196  36] ; [122  30],[192.125  39.875] ; [125.875  26.125],0
v4,1,0.290876,1.11556,[229   5] ; [145   6],[227.31428571   6.68571429] ; [146.68571429   4.31428571],0
s2,1,0.307292,1.042278,[125 105] ; [74 77],[120.1312336 109.8687664] ; [78.8687664 72.1312336],0
u3,1,0.312231,1.021216,[33 19] ; [24 21],[30.55670103 21.44329897] ; [26.44329897 18.55670103],0
d3,1,0.328272,0.955702,[176  57] ; [108  44],[171.87532468  61.12467532] ; [112.12467532  39.87532468],0
s4,1,0.387701,0.74614,[ 34 196] ; [ 27 122],[ 37.01846966 192.98153034] ; [ 23.98153034 125.01846966],0
a8,1,0.402069,0.702129,[ 36 169] ; [ 20 121],[ 33.17919075 171.82080925] ; [ 22.82080925 118.17919075],0
p7,1,0.414206,0.666695,[193  37] ; [121  29],[190.05263158  39.94736842] ; [123.94736842  26.05263158],0
u2,1,0.501135,0.452531,[27 25] ; [27 19],[28.65306122 23.34693878] ; [25.34693878 20.65306122],0
n3,1,0.519977,0.413939,[21  9] ; [18 11],[19.83050847 10.16949153] ; [19.16949153  9.83050847],0
s3,1,0.556624,0.345584,[131  99] ; [90 60],[133.76315789  96.23684211] ; [87.23684211 62.76315789],0
a7,1,0.578113,0.309295,[179  54] ; [113  39],[176.71688312  56.28311688] ; [115.28311688  36.71688312],0
s6,1,0.594723,0.283028,[165  65] ; [101  45],[162.71276596  67.28723404] ; [103.28723404  42.71276596],0
a6,1,0.804115,0.061516,[160  72] ; [103  49],[158.89583333  73.10416667] ; [104.10416667  47.89583333],0
b1,1,0.939374,0.005785,[ 93 141] ; [61 91],[ 93.35751295 140.64248705] ; [60.64248705 91.35751295],0
