Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.008628,6.898224,[35 94] ; [16 15],[41.11875 87.88125] ; [ 9.88125 21.11875],0
d3,1,0.017972,5.598891,[86 48] ; [29  5],[91.72619048 42.27380952] ; [23.27380952 10.72619048],0
s2,1,0.034815,4.454227,[64 71] ; [23 11],[69.49704142 65.50295858] ; [17.50295858 16.49704142],0
s3,1,0.037893,4.309839,[68 66] ; [24 10],[73.38095238 60.61904762] ; [18.61904762 15.38095238],0
s6,1,0.039353,4.245551,[88 46] ; [27  5],[92.8313253 41.1686747] ; [22.1686747  9.8313253],0
n5,1,0.040242,4.207649,[88 45] ; [16 18],[82.82634731 50.17365269] ; [21.17365269 12.82634731],0
n3,1,0.040598,4.192712,[34 20] ; [12  1],[37.07462687 16.92537313] ; [8.92537313 4.07462687],0
b3,1,0.049129,3.870928,[23 50] ; [ 1 14],[19.90909091 53.09090909] ; [ 4.09090909 10.90909091],0
b2,1,0.049129,3.870928,[23 50] ; [ 1 14],[19.90909091 53.09090909] ; [ 4.09090909 10.90909091],0
n4,1,0.08519,2.962995,[92 42] ; [18 16],[87.73809524 46.26190476] ; [22.26190476 11.73809524],0
d5,1,0.144891,2.125234,[108  26] ; [31  3],[110.86904762  23.13095238] ; [28.13095238  5.86904762],0
b4,1,0.193969,1.687211,[84 51] ; [17 17],[80.68047337 54.31952663] ; [20.31952663 13.68047337],0
v3,1,0.198408,1.654052,[48 77] ; [ 9 25],[44.81132075 80.18867925] ; [12.18867925 21.81132075],0
a3,1,0.229729,1.442539,[91 41] ; [27  7],[93.8313253 38.1686747] ; [24.1686747  9.8313253],0
u2,1,0.243345,1.361111,[22 20] ; [2 5],[20.57142857 21.42857143] ; [3.42857143 3.57142857],0
a5,1,0.270792,1.212733,[90 45] ; [26  8],[92.66272189 42.33727811] ; [23.33727811 10.66272189],0
a8,1,0.285835,1.139136,[ 16 103] ; [ 2 29],[ 14.28 104.72] ; [ 3.72 27.28],0
n1,1,0.335622,0.927084,[25 30] ; [4 9],[23.45588235 31.54411765] ; [5.54411765 7.45588235],0
p10,1,0.347398,0.88294,[74 57] ; [21 11],[76.34969325 54.65030675] ; [18.65030675 13.34969325],0
a2,1,0.37274,0.794509,[38 97] ; [ 7 27],[35.94674556 99.05325444] ; [ 9.05325444 24.94674556],0
s8,1,0.381258,0.766642,[52 82] ; [16 18],[54.23809524 79.76190476] ; [13.76190476 20.23809524],0
u3,1,0.476485,0.506897,[24 18] ; [5 2],[24.85714286 17.14285714] ; [4.14285714 2.85714286],0
d4,1,0.503849,0.44682,[112  21] ; [27  7],[110.7005988  22.2994012] ; [28.2994012  5.7005988],0
p1,1,0.516105,0.42167,[ 11 123] ; [ 4 30],[ 11.96428571 122.03571429] ; [ 3.03571429 30.96428571],0
p7,1,0.528397,0.397474,[59 71] ; [17 16],[60.61349693 69.38650307] ; [15.38650307 17.61349693],0
s7,1,0.5621,0.336081,[61 63] ; [16 13],[62.40522876 61.59477124] ; [14.59477124 14.40522876],0
r3,1,0.562734,0.334993,[119  16] ; [27  5],[118.0239521  16.9760479] ; [27.9760479  4.0239521],0
b1,1,0.563914,0.332972,[71 64] ; [16 18],[69.49704142 65.50295858] ; [17.50295858 16.49704142],0
s1,1,0.590947,0.288867,[ 12 122] ; [ 2 31],[ 11.23353293 122.76646707] ; [ 2.76646707 30.23353293],0
d1,1,0.617655,0.249178,[77 58] ; [21 13],[78.28402367 56.71597633] ; [19.71597633 14.28402367],0
n2,1,0.633535,0.227297,[39 18] ; [8 5],[38.27142857 18.72857143] ; [8.72857143 4.27142857],0
p5,1,0.635247,0.225012,[ 11 121] ; [ 2 32],[ 10.3373494 121.6626506] ; [ 2.6626506 31.3373494],0
p4,1,0.635547,0.224613,[60 72] ; [17 17],[61.22891566 70.77108434] ; [15.77108434 18.22891566],0
d2,1,0.647149,0.209514,[69 65] ; [19 15],[70.19047619 63.80952381] ; [17.80952381 16.19047619],0
a6,1,0.6489,0.20729,[81 53] ; [22 12],[82.1547619 51.8452381] ; [20.8452381 13.1547619],0
v1,1,0.648925,0.207258,[61 73] ; [14 20],[59.82142857 74.17857143] ; [15.17857143 18.82142857],0
p9,1,0.655596,0.198918,[81 51] ; [21 11],[82.09756098 49.90243902] ; [19.90243902 12.09756098],0
p3,1,0.701392,0.147028,[50 83] ; [14 20],[50.97005988 82.02994012] ; [13.02994012 20.97005988],0
n6,1,0.724171,0.124531,[89 43] ; [24 10],[89.85542169 42.14457831] ; [23.14457831 10.85542169],0
r4,1,0.725591,0.123198,[116  19] ; [30  4],[116.62721893  18.37278107] ; [29.37278107  4.62721893],0
a4,1,0.755607,0.096879,[63 71] ; [17 17],[63.80952381 70.19047619] ; [16.19047619 17.80952381],0
a7,1,0.7743,0.082228,[100  35] ; [26  8],[100.65088757  34.34911243] ; [25.34911243  8.65088757],0
u1,1,0.830193,0.04599,[ 26 109] ; [ 6 28],[ 25.56213018 109.43786982] ; [ 6.43786982 27.56213018],0
p6,1,0.846566,0.037443,[42 91] ; [11 22],[42.46385542 90.53614458] ; [10.53614458 22.46385542],0
v4,1,0.876226,0.02426,[121  13] ; [31  3],[121.23809524  12.76190476] ; [30.76190476  3.23809524],0
v2,1,0.876649,0.024093,[64 64] ; [17 16],[64.39751553 63.60248447] ; [16.60248447 16.39751553],0
p8,1,0.892058,0.018415,[46 87] ; [11 22],[45.6686747 87.3313253] ; [11.3313253 21.6686747],0
b5,1,0.897243,0.016678,[85 50] ; [21 13],[84.67455621 50.32544379] ; [21.32544379 12.67455621],0
p2,1,0.9356,0.006529,[89 44] ; [23 11],[89.19760479 43.80239521] ; [22.80239521 11.19760479],0
r2,1,0.984583,0.000373,[126   8] ; [32  2],[126.02380952   7.97619048] ; [31.97619048  2.02380952],0
p12,1,0.994531,4.7e-05,[  4 129] ; [ 1 32],[  4.0060241 128.9939759] ; [ 0.9939759 32.0060241],0
