Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,32.191067,[53 34] ; [24 88],[33.66331658 53.33668342] ; [43.33668342 68.66331658],1
p6,1,0.0,28.745513,[39 48] ; [12 97],[22.6377551 64.3622449] ; [28.3622449 80.6377551],1
p7,1,0.000482,12.183054,[55 32] ; [42 68],[42.83756345 44.16243655] ; [54.16243655 55.83756345],1
p2,1,0.006493,7.408041,[71 15] ; [73 39],[62.54545455 23.45454545] ; [81.45454545 30.54545455],0
p8,1,0.017957,5.600384,[44 43] ; [38 74],[35.84924623 51.15075377] ; [46.15075377 65.84924623],0
u3,1,0.021355,5.297558,[26  6] ; [18 15],[21.66153846 10.33846154] ; [22.33846154 10.66153846],0
s6,1,0.02613,4.947366,[58 29] ; [56 54],[50.34517766 36.65482234] ; [63.65482234 46.34517766],0
p1,1,0.027906,4.833884,[10 75] ; [  4 107],[ 6.07142857 78.92857143] ; [  7.92857143 103.07142857],0
v4,1,0.032838,4.554208,[83  4] ; [95 15],[78.60913706  8.39086294] ; [99.39086294 10.60913706],0
d3,1,0.034507,4.469426,[74 13] ; [82 31],[67.86 19.14] ; [88.14 24.86],0
r3,1,0.053126,3.739943,[85  2] ; [103  10],[81.78  5.22] ; [106.22   6.78],0
s8,1,0.062117,3.479951,[35 52] ; [31 81],[28.85427136 58.14572864] ; [37.14572864 74.85427136],0
a5,1,0.065602,3.38977,[66 21] ; [72 41],[60.03 26.97] ; [77.97 35.03],0
s7,1,0.085483,2.957451,[38 46] ; [35 71],[32.27368421 51.72631579] ; [40.72631579 65.27368421],0
a2,1,0.107125,2.596124,[20 67] ; [16 97],[15.66 71.34] ; [20.34 92.66],0
s2,1,0.114596,2.489661,[42 45] ; [42 71],[36.54 50.46] ; [47.46 65.54],0
d1,1,0.119999,2.417334,[63 24] ; [70 43],[57.855 29.145] ; [75.145 37.855],0
a1,1,0.129196,2.302133,[ 5 82] ; [  2 111],[ 3.045 83.955] ; [  3.955 109.045],0
