Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,9.7e-05,15.188812,[  8 107] ; [24 65],[18.03921569 96.96078431] ; [13.96078431 75.03921569],1
d3,1,0.000135,14.573473,[63 52] ; [25 64],[49.60784314 65.39215686] ; [38.39215686 50.60784314],1
d5,1,0.003236,8.669564,[79 36] ; [43 46],[68.7745098 46.2254902] ; [53.2254902 35.7745098],0
p1,1,0.007131,7.239776,[  6 108] ; [15 74],[ 11.79310345 102.20689655] ; [ 9.20689655 79.79310345],0
s2,1,0.012245,6.275095,[60 55] ; [30 57],[51.23762376 63.76237624] ; [38.76237624 48.23762376],0
p8,1,0.016091,5.792858,[78 36] ; [45 42],[69.76119403 44.23880597] ; [53.23880597 33.76119403],0
p9,1,0.031853,4.606382,[100  15] ; [67 22],[94.14215686 20.85784314] ; [72.85784314 16.14215686],0
b2,1,0.038759,4.271413,[26 36] ; [14 44],[20.66666667 41.33333333] ; [19.33333333 38.66666667],0
b3,1,0.038759,4.271413,[26 36] ; [14 44],[20.66666667 41.33333333] ; [19.33333333 38.66666667],0
u2,1,0.0435,4.075866,[29 16] ; [18 24],[24.31034483 20.68965517] ; [22.68965517 19.31034483],0
p2,1,0.082939,3.00634,[103  11] ; [73 16],[98.83743842 15.16256158] ; [77.16256158 11.83743842],0
p11,1,0.092237,2.834888,[93 22] ; [63 26],[87.94117647 27.05882353] ; [68.05882353 20.94117647],0
u3,1,0.104446,2.636315,[27 16] ; [19 23],[23.27058824 19.72941176] ; [22.72941176 19.27058824],0
s7,1,0.123009,2.378587,[59 49] ; [36 47],[53.71727749 54.28272251] ; [41.28272251 41.71727749],0
s6,1,0.126579,2.333968,[80 33] ; [52 34],[74.95477387 38.04522613] ; [57.04522613 28.95477387],0
p10,1,0.138088,2.199141,[96 18] ; [66 21],[91.88059701 22.11940299] ; [70.11940299 16.88059701],0
s5,1,0.173343,1.853793,[37 74] ; [21 65],[32.68020305 78.31979695] ; [25.31979695 60.68020305],0
b5,1,0.200216,1.640795,[71 44] ; [47 42],[66.51960784 48.48039216] ; [51.48039216 37.51960784],0
n3,1,0.228809,1.448249,[15  7] ; [20  4],[16.73913043  5.26086957] ; [18.26086957  5.73913043],0
s4,1,0.242225,1.367595,[ 14 100] ; [16 72],[16.93069307 97.06930693] ; [13.06930693 74.93069307],0
s1,1,0.262931,1.253261,[  3 111] ; [ 5 82],[  4.53731343 109.46268657] ; [ 3.46268657 83.53731343],0
u1,1,0.280748,1.163465,[  4 111] ; [ 1 88],[  2.81862745 112.18137255] ; [ 2.18137255 86.81862745],0
a3,1,0.303743,1.057687,[69 46] ; [47 42],[65.39215686 49.60784314] ; [50.60784314 38.39215686],0
a8,1,0.318728,0.994157,[17 89] ; [ 9 73],[14.65957447 91.34042553] ; [11.34042553 70.65957447],0
a7,1,0.324559,0.970488,[78 36] ; [55 34],[74.68965517 39.31034483] ; [58.31034483 30.68965517],0
r4,1,0.33028,0.947801,[100  15] ; [73 16],[97.5245098 17.4754902] ; [75.4754902 13.5245098],0
b4,1,0.348773,0.877915,[67 48] ; [46 43],[63.70098039 51.29901961] ; [49.29901961 39.70098039],0
a5,1,0.370336,0.802537,[73 42] ; [51 38],[69.90196078 45.09803922] ; [54.09803922 34.90196078],0
n6,1,0.411689,0.673918,[96 18] ; [71 18],[93.78325123 20.21674877] ; [73.21674877 15.78325123],0
r2,1,0.415146,0.664014,[98 16] ; [79  9],[99.89108911 14.10891089] ; [77.10891089 10.89108911],0
r3,1,0.430989,0.620158,[108   7] ; [81  8],[106.54411765   8.45588235] ; [82.45588235  6.54411765],0
r1,1,0.470336,0.521187,[85 30] ; [61 27],[82.70935961 32.29064039] ; [63.29064039 24.70935961],0
a4,1,0.501702,0.451334,[35 80] ; [23 65],[32.85714286 82.14285714] ; [25.14285714 62.85714286],0
s3,1,0.527277,0.399637,[62 53] ; [43 44],[59.77722772 55.22277228] ; [45.22277228 41.77722772],0
p6,1,0.540212,0.375148,[51 63] ; [36 53],[48.85714286 65.14285714] ; [38.14285714 50.85714286],0
v1,1,0.592151,0.286998,[59 53] ; [43 45],[57.12 54.88] ; [44.88 43.12],0
p7,1,0.621427,0.243866,[84 28] ; [64 25],[82.46766169 29.53233831] ; [65.53233831 23.46766169],0
p12,1,0.63036,0.231573,[  7 107] ; [ 7 82],[  7.86206897 106.13793103] ; [ 6.13793103 82.86206897],0
v2,1,0.642378,0.215645,[56 55] ; [41 46],[54.37878788 56.62121212] ; [42.62121212 44.37878788],0
n1,1,0.652171,0.203175,[10 12] ; [12 11],[10.75555556 11.24444444] ; [11.24444444 11.75555556],0
n5,1,0.655766,0.198707,[85 29] ; [68 20],[86.34653465 27.65346535] ; [66.65346535 21.34653465],0
a6,1,0.656552,0.19774,[72 43] ; [53 36],[70.46568627 44.53431373] ; [54.53431373 34.46568627],0
p5,1,0.714708,0.13362,[19 95] ; [13 75],[18.05940594 95.94059406] ; [13.94059406 74.05940594],0
v4,1,0.787642,0.072562,[107   8] ; [81  7],[106.50246305   8.49753695] ; [81.49753695  6.50246305],0
s8,1,0.794235,0.068025,[46 69] ; [34 55],[45.09803922 69.90196078] ; [34.90196078 54.09803922],0
a2,1,0.805225,0.060807,[  8 107] ; [ 7 82],[  8.45588235 106.54411765] ; [ 6.54411765 82.45588235],0
p3,1,0.805528,0.060614,[73 42] ; [55 34],[72.15686275 42.84313725] ; [55.84313725 33.15686275],0
n4,1,0.818505,0.052656,[84 31] ; [63 25],[83.27586207 31.72413793] ; [63.72413793 24.27586207],0
v3,1,0.847911,0.036781,[38 74] ; [31 57],[38.64 73.36] ; [30.36 57.64],0
u4,1,0.855094,0.033351,[  1 114] ; [ 1 88],[  1.12745098 113.87254902] ; [ 0.87254902 88.12745098],0
n2,1,0.860802,0.030749,[16  6] ; [18  6],[16.26086957  5.73913043] ; [17.73913043  6.26086957],0
b1,1,0.862439,0.030022,[49 66] ; [39 50],[49.60784314 65.39215686] ; [38.39215686 50.60784314],0
