Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.1e-05,19.414921,[49 29] ; [ 8 32],[37.6779661 40.3220339] ; [19.3220339 20.6779661],1
p9,1,3.4e-05,17.178363,[64 15] ; [18 23],[53.98333333 25.01666667] ; [28.01666667 12.98333333],1
v4,1,0.000208,13.75711,[72  8] ; [26 16],[64.26229508 15.73770492] ; [33.73770492  8.26229508],1
p4,1,0.001027,10.778959,[41 39] ; [ 8 32],[32.66666667 47.33333333] ; [16.33333333 23.66666667],0
p8,1,0.001876,9.666774,[38 40] ; [ 8 33],[30.1512605 47.8487395] ; [15.8487395 25.1512605],0
p10,1,0.002826,8.916332,[55 24] ; [17 24],[47.4 31.6] ; [24.6 16.4],0
p3,1,0.002981,8.81922,[30 50] ; [ 5 37],[22.95081967 57.04918033] ; [12.04918033 29.95081967],0
s3,1,0.003613,8.468993,[46 33] ; [12 28],[38.50420168 40.49579832] ; [19.49579832 20.50420168],0
s7,1,0.008831,6.856656,[32 45] ; [ 7 33],[25.66666667 51.33333333] ; [13.33333333 26.66666667],0
s6,1,0.010363,6.571373,[44 34] ; [13 28],[37.36134454 40.63865546] ; [19.63865546 21.36134454],0
r3,1,0.013485,6.104354,[65 14] ; [26 16],[59.41322314 19.58677686] ; [31.58677686 10.41322314],0
s2,1,0.02707,4.886364,[36 44] ; [10 31],[30.41322314 49.58677686] ; [15.58677686 25.41322314],0
v3,1,0.028981,4.768721,[ 9 71] ; [11 30],[13.2231405 66.7768595] ; [ 6.7768595 34.2231405],0
a7,1,0.031107,4.647033,[45 35] ; [15 27],[39.3442623 40.6557377] ; [20.6557377 21.3442623],0
s1,1,0.03455,4.4673,[ 4 75] ; [ 7 35],[ 7.18181818 71.81818182] ; [ 3.81818182 38.18181818],0
p6,1,0.034576,4.466006,[23 55] ; [ 5 36],[18.35294118 59.64705882] ; [ 9.64705882 31.35294118],0
s4,1,0.05629,3.643454,[19 61] ; [ 4 38],[15.08196721 64.91803279] ; [ 7.91803279 34.08196721],0
s8,1,0.068915,3.308669,[23 56] ; [ 6 36],[18.9338843 60.0661157] ; [10.0661157 31.9338843],0
p11,1,0.075008,3.169879,[55 25] ; [22 20],[50.49180328 29.50819672] ; [26.50819672 15.49180328],0
n1,1,0.090821,2.859757,[ 7 19] ; [8 7],[ 9.51219512 16.48780488] ; [5.48780488 9.51219512],0
a5,1,0.132743,2.260128,[38 42] ; [14 28],[34.09836066 45.90163934] ; [17.90163934 24.09836066],0
s5,1,0.144428,2.13014,[21 57] ; [ 6 34],[17.84745763 60.15254237] ; [ 9.15254237 30.84745763],0
r4,1,0.155573,2.016735,[56 24] ; [24 18],[52.45901639 27.54098361] ; [27.54098361 14.45901639],0
d3,1,0.165367,1.924448,[31 49] ; [11 31],[27.54098361 52.45901639] ; [14.45901639 27.54098361],0
b5,1,0.175218,1.83772,[52 28] ; [22 20],[48.52459016 31.47540984] ; [25.47540984 16.52459016],0
a4,1,0.177937,1.814769,[20 59] ; [ 6 35],[17.11666667 61.88333333] ; [ 8.88333333 32.11666667],0
n4,1,0.213157,1.549852,[44 36] ; [28 14],[47.21311475 32.78688525] ; [24.78688525 17.21311475],0
p1,1,0.286686,1.135119,[ 8 72] ; [ 7 35],[ 9.83606557 70.16393443] ; [ 5.16393443 36.83606557],0
b4,1,0.298063,1.082841,[46 34] ; [20 22],[43.27868852 36.72131148] ; [22.72131148 19.27868852],0
b3,1,0.304286,1.055317,[14 28] ; [14 17],[16.10958904 25.89041096] ; [11.89041096 19.10958904],0
b2,1,0.304286,1.055317,[14 28] ; [14 17],[16.10958904 25.89041096] ; [11.89041096 19.10958904],0
n5,1,0.371681,0.798037,[48 32] ; [28 13],[50.24793388 29.75206612] ; [25.75206612 15.24793388],0
d4,1,0.378112,0.77683,[41 39] ; [18 24],[38.68852459 41.31147541] ; [20.31147541 21.68852459],0
n6,1,0.390418,0.737639,[55 24] ; [26 16],[52.88429752 26.11570248] ; [28.11570248 13.88429752],0
a2,1,0.423322,0.641076,[ 7 73] ; [ 2 40],[ 5.90163934 74.09836066] ; [ 3.09836066 38.90163934],0
r2,1,0.433873,0.612435,[64 16] ; [31 11],[62.29508197 17.70491803] ; [32.70491803  9.29508197],0
n3,1,0.444565,0.58447,[18  8] ; [8 6],[16.9  9.1] ; [9.1 4.9],0
u3,1,0.475337,0.509541,[20 23] ; [ 9 15],[18.6119403 24.3880597] ; [10.3880597 13.6119403],0
a1,1,0.511009,0.432001,[ 5 75] ; [ 4 38],[ 5.90163934 74.09836066] ; [ 3.09836066 38.90163934],0
p5,1,0.518605,0.416667,[ 9 71] ; [ 3 37],[ 8. 72.] ; [ 4. 36.],0
d2,1,0.537525,0.380146,[17 63] ; [11 31],[18.36065574 61.63934426] ; [ 9.63934426 32.36065574],0
v1,1,0.558746,0.34188,[22 56] ; [14 28],[23.4 54.6] ; [12.6 29.4],0
r1,1,0.598939,0.276599,[44 36] ; [21 21],[42.62295082 37.37704918] ; [22.37704918 19.62295082],0
a6,1,0.617023,0.250074,[40 40] ; [19 23],[38.68852459 41.31147541] ; [20.31147541 21.68852459],0
a8,1,0.696319,0.15233,[ 9 65] ; [ 4 37],[ 8.36521739 65.63478261] ; [ 4.63478261 36.36521739],0
b1,1,0.720458,0.128054,[37 43] ; [18 24],[36.06557377 43.93442623] ; [18.93442623 23.06557377],0
u2,1,0.727166,0.12173,[18 25] ; [ 9 15],[17.32835821 25.67164179] ; [ 9.67164179 14.32835821],0
d1,1,0.788805,0.07175,[ 3 77] ; [ 2 40],[ 3.27868852 76.72131148] ; [ 1.72131148 40.27868852],0
