Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,4.9e-05,16.499401,[24 65] ; [20  9],[33.18644068 55.81355932] ; [10.81355932 18.18644068],1
s6,1,0.000278,13.212708,[36 53] ; [23  6],[44.5 44.5] ; [14.5 14.5],1
s8,1,0.010092,6.618618,[16 73] ; [12 17],[21.11864407 67.88135593] ; [ 6.88135593 22.11864407],0
p5,1,0.017945,5.601476,[ 1 87] ; [ 3 26],[ 3.00854701 84.99145299] ; [ 0.99145299 28.00854701],0
p10,1,0.024337,5.070473,[39 48] ; [20  9],[44.25 42.75] ; [14.75 14.25],0
d4,1,0.02566,4.978768,[70 19] ; [28  1],[73.91525424 15.08474576] ; [24.08474576  4.91525424],0
n4,1,0.042416,4.118526,[37 52] ; [ 6 23],[32.43220339 56.56779661] ; [10.56779661 18.43220339],0
p9,1,0.044592,4.033994,[46 40] ; [21  7],[50.54385965 35.45614035] ; [16.45614035 11.54385965],0
s7,1,0.045588,3.996768,[19 63] ; [12 16],[23.10909091 58.89090909] ; [ 7.89090909 20.10909091],0
s4,1,0.048527,3.891632,[13 76] ; [ 9 20],[16.59322034 72.40677966] ; [ 5.40677966 23.59322034],0
s3,1,0.057422,3.610313,[31 57] ; [16 13],[35.35042735 52.64957265] ; [11.64957265 17.35042735],0
p12,1,0.088757,2.896768,[ 1 87] ; [ 2 27],[ 2.25641026 85.74358974] ; [ 0.74358974 28.25641026],0
v1,1,0.136145,2.220997,[31 55] ; [15 14],[34.4 51.6] ; [11.6 17.4],0
p4,1,0.168609,1.895265,[22 67] ; [11 18],[24.88983051 64.11016949] ; [ 8.11016949 20.88983051],0
a6,1,0.199365,1.647023,[55 34] ; [14 15],[52.04237288 36.95762712] ; [16.95762712 12.04237288],0
n1,1,0.262193,1.257143,[ 9 24] ; [5 6],[10.5 22.5] ; [3.5 7.5],0
r1,1,0.262921,1.253311,[64 25] ; [17 11],[61.61538462 27.38461538] ; [19.38461538  8.61538462],0
r2,1,0.263437,1.250605,[74 13] ; [27  2],[75.75 11.25] ; [25.25  3.75],0
u2,1,0.270063,1.216427,[20 17] ; [8 3],[21.58333333 15.41666667] ; [6.41666667 4.58333333],0
b5,1,0.274089,1.196166,[48 41] ; [19 10],[50.53389831 38.46610169] ; [16.46610169 12.53389831],0
d2,1,0.279876,1.167691,[30 59] ; [13 16],[32.43220339 56.56779661] ; [10.56779661 18.43220339],0
d1,1,0.285026,1.142968,[42 47] ; [17 12],[44.5 44.5] ; [14.5 14.5],0
u3,1,0.299358,1.077054,[21 17] ; [8 3],[22.48979592 15.51020408] ; [6.51020408 4.48979592],0
p1,1,0.322679,0.978056,[ 8 80] ; [ 1 28],[ 6.76923077 81.23076923] ; [ 2.23076923 26.76923077],0
b2,1,0.324811,0.969476,[15 31] ; [7 8],[16.59016393 29.40983607] ; [5.40983607 9.59016393],0
b3,1,0.324811,0.969476,[15 31] ; [7 8],[16.59016393 29.40983607] ; [5.40983607 9.59016393],0
