Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.00011,14.951434,[ 1 58] ; [12 32],[ 7.44660194 51.55339806] ; [ 5.55339806 38.44660194],1
n4,1,0.000939,10.943238,[30 35] ; [37 11],[38.53982301 26.46017699] ; [28.46017699 19.53982301],1
d4,1,0.011246,6.426028,[57  8] ; [32 15],[51.65178571 13.34821429] ; [37.34821429  9.65178571],0
d3,1,0.025875,4.964377,[49 16] ; [26 21],[43.52678571 21.47321429] ; [31.47321429 15.52678571],0
p3,1,0.040444,4.199176,[31 32] ; [14 33],[25.77272727 37.22727273] ; [19.22727273 27.77272727],0
a3,1,0.041388,4.160048,[48 17] ; [42  5],[52.23214286 12.76785714] ; [37.76785714  9.23214286],0
n1,1,0.046511,3.962975,[ 6 16] ; [9 6],[ 8.91891892 13.08108108] ; [6.08108108 8.91891892],0
s4,1,0.055712,3.660643,[10 55] ; [ 2 46],[ 6.90265487 58.09734513] ; [ 5.09734513 42.90265487],0
r1,1,0.07776,3.111111,[52 12] ; [32 16],[48. 16.] ; [36. 12.],0
p9,1,0.115203,2.481359,[37 27] ; [34 13],[40.93693694 23.06306306] ; [30.06306306 16.93693694],0
r3,1,0.140425,2.173299,[59  6] ; [39  9],[56.37168142  8.62831858] ; [41.62831858  6.37168142],0
a6,1,0.146178,2.111686,[43 22] ; [37 10],[46.42857143 18.57142857] ; [33.57142857 13.42857143],0
s8,1,0.197263,1.662523,[17 48] ; [18 30],[20.13274336 44.86725664] ; [14.86725664 33.13274336],0
a7,1,0.206578,1.59525,[43 22] ; [37 11],[46.01769912 18.98230088] ; [33.98230088 14.01769912],0
a1,1,0.234635,1.412543,[ 3 62] ; [ 5 43],[ 4.60176991 60.39823009] ; [ 3.39823009 44.60176991],0
r4,1,0.258675,1.275833,[52 13] ; [34 14],[49.46902655 15.53097345] ; [36.53097345 11.46902655],0
n3,1,0.259653,1.270604,[12  9] ; [12  4],[13.62162162  7.37837838] ; [10.37837838  5.62162162],0
u3,1,0.262193,1.257143,[12  4] ; [3 3],[10.90909091  5.09090909] ; [4.09090909 1.90909091],0
b4,1,0.290083,1.119238,[39 26] ; [24 24],[36.23893805 28.76106195] ; [26.76106195 21.23893805],0
p7,1,0.306933,1.043826,[28 35] ; [25 21],[30.63302752 32.36697248] ; [22.36697248 23.63302752],0
b3,1,0.307332,1.042105,[14 24] ; [ 7 21],[12.09090909 25.90909091] ; [ 8.90909091 19.09090909],0
b2,1,0.307332,1.042105,[14 24] ; [ 7 21],[12.09090909 25.90909091] ; [ 8.90909091 19.09090909],0
d2,1,0.307942,1.039483,[31 34] ; [27 20],[33.66071429 31.33928571] ; [24.33928571 22.66071429],0
b1,1,0.308344,1.037755,[33 32] ; [29 19],[35.66371681 29.33628319] ; [26.33628319 21.66371681],0
n2,1,0.38917,0.741533,[14  8] ; [13  4],[15.23076923  6.76923077] ; [11.76923077  5.23076923],0
u2,1,0.393921,0.726803,[11  6] ; [5 1],[11.82608696  5.17391304] ; [4.17391304 1.82608696],0
v1,1,0.452541,0.564279,[26 38] ; [22 24],[27.92727273 36.07272727] ; [20.07272727 25.92727273],0
a2,1,0.463792,0.536727,[15 50] ; [14 34],[16.68141593 48.31858407] ; [12.31858407 35.68141593],0
v3,1,0.464426,0.535206,[19 42] ; [16 26],[20.72815534 40.27184466] ; [14.27184466 27.72815534],0
p2,1,0.49445,0.466829,[43 21] ; [28 18],[41.30909091 22.69090909] ; [29.69090909 16.30909091],0
p1,1,0.547143,0.36246,[ 6 58] ; [ 3 45],[ 5.14285714 58.85714286] ; [ 3.85714286 44.14285714],0
d1,1,0.609321,0.261166,[37 28] ; [25 23],[35.66371681 29.33628319] ; [26.33628319 21.66371681],0
s5,1,0.61324,0.255484,[13 48] ; [ 8 38],[11.97196262 49.02803738] ; [ 9.02803738 36.97196262],0
s6,1,0.644456,0.212962,[34 31] ; [23 25],[32.78761062 32.21238938] ; [24.21238938 23.78761062],0
p6,1,0.648676,0.207573,[ 9 53] ; [ 8 37],[ 9.85046729 52.14953271] ; [ 7.14953271 37.85046729],0
u1,1,0.665889,0.186448,[ 7 58] ; [ 4 44],[ 6.32743363 58.67256637] ; [ 4.67256637 43.32743363],0
p10,1,0.675865,0.174818,[35 29] ; [27 19],[36.07272727 27.92727273] ; [25.92727273 20.07272727],0
p5,1,0.690727,0.1583,[ 3 60] ; [ 3 43],[ 3.46788991 59.53211009] ; [ 2.53211009 43.46788991],0
b5,1,0.709558,0.138719,[37 28] ; [29 19],[37.96460177 27.03539823] ; [28.03539823 19.96460177],0
a4,1,0.720798,0.127729,[33 32] ; [26 22],[33.9380531 31.0619469] ; [25.0619469 22.9380531],0
p12,1,0.747642,0.103523,[ 2 61] ; [ 2 44],[ 2.31192661 60.68807339] ; [ 1.68807339 44.31192661],0
s7,1,0.753971,0.098224,[19 38] ; [14 32],[18.26213592 38.73786408] ; [14.73786408 31.26213592],0
s2,1,0.804763,0.061102,[25 40] ; [17 30],[24.375 40.625] ; [17.625 29.375],0
p8,1,0.844404,0.038519,[23 41] ; [17 28],[23.48623853 40.51376147] ; [16.51376147 28.48623853],0
p11,1,0.85852,0.031776,[39 26] ; [28 20],[38.53982301 26.46017699] ; [28.46017699 19.53982301],0
d5,1,0.926714,0.00846,[53 12] ; [38  9],[52.8125 12.1875] ; [38.1875  8.8125],0
s3,1,0.936356,0.006376,[33 32] ; [23 23],[32.79279279 32.20720721] ; [23.20720721 22.79279279],0
s1,1,0.93739,0.00617,[ 4 61] ; [ 3 43],[ 4.0990991 60.9009009] ; [ 2.9009009 43.0990991],0
v4,1,0.942063,0.005282,[53 11] ; [40  8],[53.14285714 10.85714286] ; [39.85714286  8.14285714],0
r2,1,0.966736,0.001739,[56  8] ; [41  6],[55.92792793  8.07207207] ; [41.07207207  5.92792793],0
v2,1,0.976333,0.00088,[31 30] ; [23 22],[31.0754717 29.9245283] ; [22.9245283 22.0754717],0
p4,1,0.994466,4.8e-05,[30 34] ; [22 25],[29.98198198 34.01801802] ; [22.01801802 24.98198198],0
