Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,52.464347,[102  27] ; [ 62 106],[71.23232323 57.76767677] ; [92.76767677 75.23232323],1
v1,1,0.0,26.641718,[97 35] ; [72 93],[75.11111111 56.88888889] ; [93.88888889 71.11111111],1
p12,1,0.000389,12.582753,[ 29 103] ; [ 13 156],[ 18.41860465 113.58139535] ; [ 23.58139535 145.41860465],1
p8,1,0.000535,11.990391,[100  32] ; [95 73],[85.8 46.2] ; [109.2  58.8],1
r4,1,0.007394,7.174691,[129   3] ; [153  17],[123.25827815   8.74172185] ; [158.74172185  11.25827815],0
s5,1,0.007943,7.046331,[71 58] ; [63 97],[59.81314879 69.18685121] ; [74.18685121 85.81314879],0
n6,1,0.008715,6.880396,[123   8] ; [143  27],[115.76744186  15.23255814] ; [150.23255814  19.76744186],0
n5,1,0.009203,6.782924,[117  15] ; [131  39],[108.39735099  23.60264901] ; [139.60264901  30.39735099],0
s4,1,0.009683,6.692235,[ 21 111] ; [ 48 120],[ 30.36 101.64] ; [ 38.64 129.36],0
p5,1,0.02016,5.398028,[33 99] ; [ 24 143],[ 25.1638796 106.8361204] ; [ 31.8361204 135.1638796],0
d5,1,0.023025,5.166583,[115  16] ; [132  38],[107.49833887  23.50166113] ; [139.50166113  30.49833887],0
n4,1,0.027192,4.878556,[116  16] ; [132  37],[108.75747508  23.24252492] ; [139.24252492  29.75747508],0
d3,1,0.028019,4.82687,[107  25] ; [119  51],[98.78145695 33.21854305] ; [127.21854305  42.78145695],0
r1,1,0.028914,4.772727,[117  15] ; [133  35],[110.  22.] ; [140.  28.],0
d1,1,0.038948,4.263118,[95 37] ; [103  67],[86.54304636 45.45695364] ; [111.45695364  58.54304636],0
s8,1,0.062515,3.469373,[90 41] ; [99 71],[82.25581395 48.74418605] ; [106.74418605  63.25581395],0
p3,1,0.088113,2.908513,[98 34] ; [110  59],[91.21594684 40.78405316] ; [116.78405316  52.21594684],0
n2,1,0.090998,2.856625,[19  2] ; [22  9],[16.55769231  4.44230769] ; [24.44230769  6.55769231],0
a3,1,0.11202,2.525497,[108  24] ; [126  44],[102.2781457  29.7218543] ; [131.7218543  38.2781457],0
p7,1,0.112058,2.524948,[106  25] ; [122  45],[100.22818792  30.77181208] ; [127.77181208  39.22818792],0
b3,1,0.11288,2.513431,[36 48] ; [36 77],[30.70050761 53.29949239] ; [41.29949239 71.70050761],0
b2,1,0.11288,2.513431,[36 48] ; [36 77],[30.70050761 53.29949239] ; [41.29949239 71.70050761],0
s1,1,0.117748,2.447029,[  3 129] ; [ 10 157],[  5.73913043 126.26086957] ; [  7.26086957 159.73913043],0
p11,1,0.128711,2.307977,[111  21] ; [131  39],[105.77483444  26.22516556] ; [136.22516556  33.77483444],0
u4,1,0.174655,1.842529,[  7 125] ; [  4 166],[  4.80794702 127.19205298] ; [  6.19205298 163.80794702],0
a1,1,0.198208,1.655532,[ 12 120] ; [  9 161],[  9.17880795 122.82119205] ; [ 11.82119205 158.17880795],0
p10,1,0.215793,1.532128,[116  16] ; [139  29],[112.2  19.8] ; [142.8  25.2],0
a2,1,0.219816,1.50557,[41 91] ; [ 42 128],[36.2781457 95.7218543] ; [ 46.7218543 123.2781457],0
p2,1,0.248221,1.333287,[123   9] ; [151  18],[120.15946844  11.84053156] ; [153.84053156  15.15946844],0
d4,1,0.268467,1.224564,[114  17] ; [140  30],[110.5448505  20.4551495] ; [143.4551495  26.5448505],0
s7,1,0.27393,1.196961,[94 34] ; [108  52],[89.77777778 38.22222222] ; [112.22222222  47.77777778],0
n3,1,0.281046,1.162026,[15  6] ; [26  5],[16.55769231  4.44230769] ; [24.44230769  6.55769231],0
b1,1,0.285972,1.138487,[54 78] ; [80 90],[58.56953642 73.43046358] ; [75.43046358 94.56953642],0
r3,1,0.369223,0.806278,[129   3] ; [162   7],[127.61461794   4.38538206] ; [163.38538206   5.61461794],0
r2,1,0.386808,0.748953,[127   5] ; [157  10],[125.37792642   6.62207358] ; [158.62207358   8.37792642],0
u1,1,0.390268,0.738107,[ 31 101] ; [ 33 137],[ 27.97350993 104.02649007] ; [ 36.02649007 133.97350993],0
p9,1,0.395375,0.722346,[117  15] ; [145  25],[114.51655629  17.48344371] ; [147.48344371  22.51655629],0
a5,1,0.398618,0.712492,[107  25] ; [131  39],[104.02649007  27.97350993] ; [133.97350993  36.02649007],0
s6,1,0.478009,0.503401,[114  14] ; [145  23],[112.  16.] ; [147.  21.],0
b5,1,0.589886,0.290522,[72 60] ; [98 72],[74.30463576 57.69536424] ; [95.69536424 74.30463576],0
v4,1,0.610019,0.260147,[128   4] ; [162   7],[127.17607973   4.82392027] ; [162.82392027   6.17607973],0
p6,1,0.615031,0.252913,[64 67] ; [87 81],[66.15719064 64.84280936] ; [84.84280936 83.15719064],0
u2,1,0.61624,0.251188,[13 11] ; [26 17],[13.97014925 10.02985075] ; [25.02985075 17.97014925],0
a4,1,0.666973,0.185163,[65 67] ; [79 90],[63.14950166 68.85049834] ; [80.85049834 88.14950166],0
p1,1,0.671913,0.179372,[ 16 115] ; [ 18 151],[ 14.84666667 116.15333333] ; [ 19.15333333 149.84666667],0
a6,1,0.673625,0.177391,[90 42] ; [112  58],[88.29139073 43.70860927] ; [113.70860927  56.29139073],0
n1,1,0.687865,0.161407,[11 10] ; [14 16],[10.29411765 10.70588235] ; [14.70588235 15.29411765],0
a7,1,0.708615,0.139665,[93 38] ; [124  46],[94.44186047 36.55813953] ; [122.55813953  47.44186047],0
u3,1,0.732548,0.116785,[14  9] ; [28 15],[14.63636364  8.36363636] ; [27.36363636 15.63636364],0
a8,1,0.733924,0.115539,[ 17 109] ; [ 24 137],[ 18. 108.] ; [ 23. 138.],0
b4,1,0.800729,0.063708,[78 54] ; [98 72],[76.92715232 55.07284768] ; [99.07284768 70.92715232],0
d2,1,0.917598,0.010704,[73 59] ; [93 77],[72.55629139 59.44370861] ; [93.44370861 76.55629139],0
s2,1,0.928104,0.008142,[110  22] ; [141  29],[109.70860927  22.29139073] ; [141.29139073  28.70860927],0
