Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,72.481305,[274  70] ; [59 87],[233.77959184 110.22040816] ; [99.22040816 46.77959184],1
a4,1,0.0,46.377313,[176 166] ; [ 27 120],[141.97546012 200.02453988] ; [61.02453988 85.97546012],1
d2,1,0.0,45.510401,[195 147] ; [ 35 112],[160.85889571 181.14110429] ; [69.14110429 77.85889571],1
d1,1,0.0,43.886408,[223 121] ; [ 48 100],[189.4796748 154.5203252] ; [81.5203252 66.4796748],1
a6,1,0.0,36.602696,[259  85] ; [70 78],[230.03252033 113.96747967] ; [98.96747967 49.03252033],1
d5,1,0.0,30.928428,[295  49] ; [94 54],[271.98373984  72.01626016] ; [117.01626016  30.98373984],1
d4,1,0.0,30.788783,[296  48] ; [94 53],[273.23828921  70.76171079] ; [116.76171079  30.23828921],1
u1,1,0.0,28.006427,[ 75 269] ; [  4 144],[ 55.23577236 288.76422764] ; [ 23.76422764 124.23577236],1
r1,1,4e-06,21.364518,[284  58] ; [94 53],[264.36809816  77.63190184] ; [113.63190184  33.36809816],1
s7,1,0.000162,14.226301,[154 175] ; [ 40 102],[135.51167728 193.48832272] ; [58.48832272 83.51167728],1
n4,1,0.000185,13.97838,[274  69] ; [94 53],[257.6  85.4] ; [110.4  36.6],1
n5,1,0.000227,13.589337,[279  64] ; [97 50],[263.2  79.8] ; [112.8  34.2],1
r4,1,0.000254,13.381979,[313  31] ; [117  31],[300.6504065  43.3495935] ; [129.3495935  18.6504065],1
r2,1,0.001001,10.825734,[323  17] ; [127  20],[314.16837782  25.83162218] ; [135.83162218  11.16837782],0
p10,1,0.001077,10.689481,[284  57] ; [101  43],[270.69072165  70.30927835] ; [114.30927835  29.69072165],0
v2,1,0.001612,9.946295,[192 139] ; [59 81],[176.39278132 154.60721868] ; [74.60721868 65.39278132],0
b3,1,0.00194,9.604992,[ 82 130] ; [14 60],[ 71.16083916 140.83916084] ; [24.83916084 49.16083916],0
b2,1,0.00194,9.604992,[ 82 130] ; [14 60],[ 71.16083916 140.83916084] ; [24.83916084 49.16083916],0
