Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.002284,9.306394,[11  4] ; [ 5 17],[6.48648649 8.51351351] ; [ 9.51351351 12.48648649],0
v4,1,0.005701,7.642556,[14  1] ; [11 11],[10.13513514  4.86486486] ; [14.86486486  7.13513514],0
p10,1,0.04044,4.199313,[13  2] ; [12 10],[10.13513514  4.86486486] ; [14.86486486  7.13513514],0
v3,1,0.062719,3.463997,[7 8] ; [ 4 18],[ 4.45945946 10.54054054] ; [ 6.54054054 15.45945946],0
d1,1,0.064527,3.417027,[ 5 10] ; [ 2 20],[ 2.83783784 12.16216216] ; [ 4.16216216 17.83783784],0
d3,1,0.070197,3.278398,[10  5] ; [ 8 14],[7.2972973 7.7027027] ; [10.7027027 11.2972973],0
p5,1,0.07515,3.166784,[ 5 10] ; [ 2 19],[ 2.91666667 12.08333333] ; [ 4.08333333 16.91666667],0
s3,1,0.092842,2.824387,[ 4 11] ; [12 10],[6.48648649 8.51351351] ; [ 9.51351351 12.48648649],0
d5,1,0.092842,2.824387,[11  4] ; [10 12],[8.51351351 6.48648649] ; [12.48648649  9.51351351],0
n2,1,0.124283,2.3625,[1 3] ; [7 3],[2.28571429 1.71428571] ; [5.71428571 4.28571429],0
d2,1,0.126699,2.332495,[7 8] ; [ 5 17],[ 4.86486486 10.13513514] ; [ 7.13513514 14.86486486],0
s5,1,0.153022,2.041863,[ 5 10] ; [ 3 19],[ 3.24324324 11.75675676] ; [ 4.75675676 17.24324324],0
u3,1,0.167938,1.90125,[5 3] ; [3 7],[3.55555556 4.44444444] ; [4.44444444 5.55555556],0
u2,1,0.195539,1.675385,[7 1] ; [6 4],[5.77777778 2.22222222] ; [7.22222222 2.77777778],0
p11,1,0.198203,1.655568,[13  2] ; [15  7],[11.35135135  3.64864865] ; [16.64864865  5.35135135],0
s4,1,0.198203,1.655568,[ 2 13] ; [ 7 15],[ 3.64864865 11.35135135] ; [ 5.35135135 16.64864865],0
n3,1,0.261651,1.26,[2 2] ; [8 2],[2.85714286 1.14285714] ; [7.14285714 2.85714286],0
p9,1,0.284984,1.143166,[12  3] ; [14  8],[10.54054054  4.45945946] ; [15.45945946  6.54054054],0
a8,1,0.324127,0.972222,[ 3 11] ; [ 2 19],[ 2. 12.] ; [ 3. 18.],0
d4,1,0.372944,0.793833,[11  4] ; [13  9],[9.72972973 5.27027027] ; [14.27027027  7.72972973],0
s2,1,0.372944,0.793833,[ 4 11] ; [ 9 13],[5.27027027 9.72972973] ; [ 7.72972973 14.27027027],0
n6,1,0.38479,0.755343,[9 6] ; [10 12],[7.7027027 7.2972973] ; [11.2972973 10.7027027],0
p3,1,0.38479,0.755343,[6 9] ; [12 10],[7.2972973 7.7027027] ; [10.7027027 11.2972973],0
p8,1,0.391366,0.734694,[10  5] ; [11 10],[8.75 6.25] ; [12.25  8.75],0
p4,1,0.416817,0.659273,[9 6] ; [16  6],[10.13513514  4.86486486] ; [14.86486486  7.13513514],0
v2,1,0.418492,0.654545,[7 7] ; [ 8 14],[5.83333333 8.16666667] ; [ 9.16666667 12.83333333],0
a7,1,0.45655,0.55434,[8 7] ; [ 9 13],[6.89189189 8.10810811] ; [10.10810811 11.89189189],0
v1,1,0.460937,0.543618,[ 5 10] ; [10 12],[6.08108108 8.91891892] ; [ 8.91891892 13.08108108],0
p12,1,0.502651,0.449334,[ 1 14] ; [ 3 19],[ 1.62162162 13.37837838] ; [ 2.37837838 19.62162162],0
b4,1,0.53085,0.392764,[7 8] ; [ 8 14],[6.08108108 8.91891892] ; [ 8.91891892 13.08108108],0
a4,1,0.536158,0.382707,[ 4 11] ; [ 8 14],[ 4.86486486 10.13513514] ; [ 7.13513514 14.86486486],0
s6,1,0.548997,0.359118,[9 6] ; [11 11],[8.10810811 6.89189189] ; [11.89189189 10.10810811],0
b1,1,0.608766,0.261976,[9 6] ; [15  7],[9.72972973 5.27027027] ; [14.27027027  7.72972973],0
a3,1,0.637809,0.22162,[7 8] ; [12 10],[7.7027027 7.2972973] ; [11.2972973 10.7027027],0
a6,1,0.637809,0.22162,[7 8] ; [12 10],[7.7027027 7.2972973] ; [11.2972973 10.7027027],0
b2,1,0.668108,0.183824,[2 6] ; [ 3 14],[1.6 6.4] ; [ 3.4 13.6],0
b3,1,0.668108,0.183824,[2 6] ; [ 3 14],[1.6 6.4] ; [ 3.4 13.6],0
