Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.03095,4.655754,[13 15] ; [15 48],[ 8.61538462 19.38461538] ; [19.38461538 43.61538462],0
s1,1,0.039134,4.255049,[ 5 23] ; [ 3 61],[ 2.43478261 25.56521739] ; [ 5.56521739 58.43478261],0
d4,1,0.042091,4.131535,[22  5] ; [38 26],[17.8021978  9.1978022] ; [42.1978022 21.8021978],0
s3,1,0.07141,3.2503,[14 13] ; [20 43],[10.2 16.8] ; [23.8 39.2],0
d1,1,0.086456,2.939148,[14 14] ; [20 44],[10.34782609 17.65217391] ; [23.65217391 40.34782609],0
d5,1,0.100875,2.69166,[20  8] ; [34 30],[16.43478261 11.56521739] ; [37.56521739 26.43478261],0
p8,1,0.109373,2.563255,[ 2 26] ; [13 50],[ 4.61538462 23.38461538] ; [10.38461538 52.61538462],0
n1,1,0.141391,2.162759,[ 8 12] ; [ 6 23],[ 5.71428571 14.28571429] ; [ 8.28571429 20.71428571],0
p10,1,0.202601,1.623523,[16 12] ; [26 35],[13.21348315 14.78651685] ; [28.78651685 32.21348315],0
b4,1,0.215798,1.532098,[20  8] ; [37 27],[17.34782609 10.65217391] ; [39.65217391 24.34782609],0
s2,1,0.220932,1.498307,[ 9 19] ; [13 51],[ 6.69565217 21.30434783] ; [15.30434783 48.69565217],0
u3,1,0.227844,1.454269,[4 6] ; [ 6 23],[2.56410256 7.43589744] ; [ 7.43589744 21.56410256],0
s8,1,0.248583,1.331249,[ 5 23] ; [ 6 58],[ 3.34782609 24.65217391] ; [ 7.65217391 56.34782609],0
v1,1,0.251786,1.313368,[11 17] ; [16 43],[ 8.68965517 19.31034483] ; [18.31034483 40.68965517],0
s7,1,0.258753,1.275416,[ 9 17] ; [14 47],[ 6.87356322 19.12643678] ; [16.12643678 44.87356322],0
n5,1,0.276518,1.184125,[14 13] ; [41 23],[16.31868132 10.68131868] ; [38.68131868 25.31868132],0
p3,1,0.278958,1.172161,[ 2 25] ; [10 53],[ 3.6 23.4] ; [ 8.4 54.6],0
s6,1,0.289056,1.124013,[11 17] ; [18 46],[ 8.82608696 19.17391304] ; [20.17391304 43.82608696],0
u2,1,0.29158,1.112314,[5 4] ; [10 18],[3.64864865 5.35135135] ; [11.35135135 16.64864865],0
s5,1,0.301563,1.067271,[ 6 22] ; [ 8 54],[ 4.35555556 23.64444444] ; [ 9.64444444 52.35555556],0
a5,1,0.313137,1.017398,[15 13] ; [27 37],[12.7826087 15.2173913] ; [29.2173913 34.7826087],0
a3,1,0.326233,0.963794,[18  9] ; [35 28],[15.9 11.1] ; [37.1 25.9],0
s4,1,0.337027,0.921707,[ 3 25] ; [12 52],[ 4.56521739 23.43478261] ; [10.43478261 53.56521739],0
r2,1,0.33987,0.910923,[18  8] ; [35 25],[16.02325581  9.97674419] ; [36.97674419 23.02325581],0
v2,1,0.341595,0.904438,[11 15] ; [20 43],[ 9.05617978 16.94382022] ; [21.94382022 41.05617978],0
p9,1,0.359942,0.838095,[12 16] ; [32 28],[14. 14.] ; [30. 30.],0
p5,1,0.371889,0.797342,[ 2 25] ; [ 2 61],[ 1.2 25.8] ; [ 2.8 60.2],0
p11,1,0.391333,0.734795,[10 18] ; [29 35],[11.86956522 16.13043478] ; [27.13043478 36.86956522],0
v3,1,0.406903,0.687831,[ 8 20] ; [13 50],[ 6.46153846 21.53846154] ; [14.53846154 48.46153846],0
d3,1,0.420877,0.647866,[15 13] ; [28 35],[13.23076923 14.76923077] ; [29.76923077 33.23076923],0
p1,1,0.434164,0.61166,[ 2 26] ; [ 8 55],[ 3.07692308 24.92307692] ; [ 6.92307692 56.07692308],0
a7,1,0.501083,0.452643,[16 11] ; [33 31],[14.53846154 12.46153846] ; [34.46153846 29.53846154],0
d2,1,0.514403,0.425101,[10 17] ; [28 35],[11.4 15.6] ; [26.6 36.4],0
p6,1,0.529002,0.396308,[ 2 26] ; [ 7 54],[ 2.83146067 25.16853933] ; [ 6.16853933 54.83146067],0
b3,1,0.578622,0.308468,[ 5 10] ; [15 21],[5.88235294 9.11764706] ; [14.11764706 21.88235294],0
b2,1,0.578622,0.308468,[ 5 10] ; [15 21],[5.88235294 9.11764706] ; [14.11764706 21.88235294],0
n3,1,0.596616,0.280129,[ 9 10] ; [16 13],[9.89583333 9.10416667] ; [15.10416667 13.89583333],0
u1,1,0.602046,0.271921,[ 1 27] ; [ 4 60],[ 1.52173913 26.47826087] ; [ 3.47826087 60.52173913],0
v4,1,0.603828,0.269262,[16 10] ; [35 28],[14.8988764 11.1011236] ; [36.1011236 26.8988764],0
a2,1,0.648788,0.207431,[ 4 24] ; [ 7 57],[ 3.34782609 24.65217391] ; [ 7.65217391 56.34782609],0
a6,1,0.650431,0.205357,[15 13] ; [31 33],[14. 14.] ; [32. 32.],0
n4,1,0.656984,0.197208,[18 10] ; [38 26],[17.04347826 10.95652174] ; [38.95652174 25.04347826],0
p7,1,0.787321,0.072787,[ 7 19] ; [15 47],[ 6.5 19.5] ; [15.5 46.5],0
a1,1,0.814975,0.054762,[ 4 24] ; [ 8 56],[ 3.65217391 24.34782609] ; [ 8.34782609 55.65217391],0
n2,1,0.821331,0.051,[11  9] ; [15 14],[10.6122449  9.3877551] ; [15.3877551 13.6122449],0
r3,1,0.838038,0.041781,[13 13] ; [33 30],[13.43820225 12.56179775] ; [32.56179775 30.43820225],0
b5,1,0.859121,0.031504,[15 13] ; [33 31],[14.60869565 13.39130435] ; [33.39130435 30.60869565],0
b1,1,0.859121,0.031504,[13 15] ; [31 33],[13.39130435 14.60869565] ; [30.60869565 33.39130435],0
a8,1,0.883217,0.021577,[ 2 25] ; [ 5 55],[ 2.17241379 24.82758621] ; [ 4.82758621 55.17241379],0
p2,1,0.96327,0.002121,[13 14] ; [30 33],[12.9 14.1] ; [30.1 32.9],0
n6,1,1.0,0.0,[13 13] ; [32 32],[13. 13.] ; [32. 32.],0
