Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.001219,10.460895,[ 5 20] ; [34 24],[11.74698795 13.25301205] ; [27.25301205 30.74698795],0
u2,1,0.010727,6.510068,[11  3] ; [ 9 16],[7.17948718 6.82051282] ; [12.82051282 12.17948718],0
n4,1,0.012795,6.197225,[ 9 16] ; [38 20],[14.15662651 10.84337349] ; [32.84337349 25.15662651],0
p3,1,0.022601,5.198899,[ 5 20] ; [27 31],[ 9.63855422 15.36144578] ; [22.36144578 35.63855422],0
p7,1,0.026517,4.921956,[17  7] ; [25 32],[12.44444444 11.55555556] ; [29.55555556 27.44444444],0
r3,1,0.052143,3.771175,[13 12] ; [40 14],[16.7721519  8.2278481] ; [36.2278481 17.7721519],0
b1,1,0.052582,3.757164,[17  8] ; [26 32],[12.95180723 12.04819277] ; [30.04819277 27.95180723],0
a4,1,0.065631,3.389045,[ 4 21] ; [21 37],[ 7.53012048 17.46987952] ; [17.46987952 40.53012048],0
p4,1,0.080646,3.051843,[ 9 16] ; [33 25],[12.65060241 12.34939759] ; [29.34939759 28.65060241],0
v3,1,0.081486,3.035003,[ 2 23] ; [14 43],[ 4.87804878 20.12195122] ; [11.12195122 45.87804878],0
d2,1,0.107738,2.587099,[ 4 21] ; [19 38],[ 7.01219512 17.98780488] ; [15.98780488 41.01219512],0
s5,1,0.133783,2.248051,[ 8 17] ; [ 9 44],[ 5.44871795 19.55128205] ; [11.55128205 41.44871795],0
s4,1,0.145412,2.119732,[ 8 17] ; [10 47],[ 5.48780488 19.51219512] ; [12.51219512 44.48780488],0
n5,1,0.150526,2.066917,[12 13] ; [37 20],[14.93902439 10.06097561] ; [34.06097561 22.93902439],0
d5,1,0.18786,1.734321,[13 12] ; [39 19],[15.6626506  9.3373494] ; [36.3373494 21.6626506],0
p5,1,0.188021,1.733056,[ 1 24] ; [ 8 50],[ 2.71084337 22.28915663] ; [ 6.28915663 51.71084337],0
a8,1,0.188936,1.725899,[ 2 22] ; [ 1 50],[ 0.96 23.04] ; [ 2.04 48.96],0
p11,1,0.197737,1.659013,[15 10] ; [43 15],[17.46987952  7.53012048] ; [40.53012048 17.46987952],0
d4,1,0.212704,1.552923,[14 11] ; [40 17],[16.46341463  8.53658537] ; [37.53658537 19.46341463],0
d1,1,0.218124,1.516674,[ 6 19] ; [22 36],[ 8.43373494 16.56626506] ; [19.56626506 38.43373494],0
b3,1,0.271315,1.210084,[ 2 12] ; [10 24],[ 3.5 10.5] ; [ 8.5 25.5],0
b2,1,0.271315,1.210084,[ 2 12] ; [10 24],[ 3.5 10.5] ; [ 8.5 25.5],0
r1,1,0.282613,1.154482,[ 5 20] ; [18 39],[ 7.01219512 17.98780488] ; [15.98780488 41.01219512],0
a3,1,0.310871,1.026971,[11 14] ; [32 25],[13.1097561 11.8902439] ; [29.8902439 27.1097561],0
a6,1,0.326737,0.961788,[10 15] ; [30 28],[12.04819277 12.95180723] ; [27.95180723 30.04819277],0
s3,1,0.384665,0.755739,[13 12] ; [22 31],[11.21794872 13.78205128] ; [23.78205128 29.21794872],0
p10,1,0.425424,0.635284,[15 10] ; [38 17],[16.5625  8.4375] ; [36.4375 18.5625],0
v1,1,0.463748,0.536834,[11 13] ; [20 34],[ 9.53846154 14.46153846] ; [21.46153846 32.53846154],0
d3,1,0.474169,0.512244,[12 12] ; [34 24],[13.46341463 10.53658537] ; [32.53658537 25.46341463],0
b4,1,0.480005,0.498852,[13 12] ; [35 23],[14.45783133 10.54216867] ; [33.54216867 24.45783133],0
p9,1,0.484007,0.48982,[17  8] ; [43 14],[18.29268293  6.70731707] ; [41.70731707 15.29268293],0
u3,1,0.497754,0.459722,[6 8] ; [ 8 17],[5.02564103 8.97435897] ; [ 8.97435897 16.02564103],0
s6,1,0.517363,0.419147,[14 11] ; [27 29],[12.65432099 12.34567901] ; [28.34567901 27.65432099],0
n1,1,0.523579,0.406838,[ 3 10] ; [ 7 14],[3.82352941 9.17647059] ; [ 6.17647059 14.82352941],0
n2,1,0.549141,0.358859,[8 5] ; [15  6],[8.79411765 4.20588235] ; [14.20588235  6.79411765],0
a7,1,0.593994,0.284151,[12 13] ; [31 26],[13.1097561 11.8902439] ; [29.8902439 27.1097561],0
r2,1,0.609776,0.260501,[12 11] ; [31 22],[13.01315789  9.98684211] ; [29.98684211 23.01315789],0
v4,1,0.618952,0.247343,[18  6] ; [44 11],[18.83544304  5.16455696] ; [43.16455696 11.83544304],0
b5,1,0.645934,0.211065,[16  9] ; [34 24],[15.06024096  9.93975904] ; [34.93975904 23.06024096],0
n3,1,0.761069,0.092463,[8 5] ; [14  7],[8.41176471 4.58823529] ; [13.58823529  7.41176471],0
p8,1,0.855557,0.033136,[ 9 15] ; [23 35],[ 9.36585366 14.63414634] ; [22.63414634 35.36585366],0
s8,1,0.867238,0.027945,[ 7 18] ; [17 40],[ 7.31707317 17.68292683] ; [16.68292683 40.31707317],0
s2,1,0.87704,0.023939,[10 15] ; [21 34],[ 9.6875 15.3125] ; [21.3125 33.6875],0
v2,1,0.878305,0.023445,[10 15] ; [23 32],[10.3125 14.6875] ; [22.6875 32.3125],0
a1,1,0.901672,0.015264,[ 1 24] ; [ 2 56],[ 0.90361446 24.09638554] ; [ 2.09638554 55.90361446],0
p12,1,0.913143,0.011897,[ 1 24] ; [ 2 55],[ 0.91463415 24.08536585] ; [ 2.08536585 54.91463415],0
s7,1,0.967831,0.001626,[ 9 14] ; [21 32],[ 9.07894737 13.92105263] ; [20.92105263 32.07894737],0
p6,1,0.969911,0.001423,[ 8 17] ; [18 39],[ 7.92682927 17.07317073] ; [18.07317073 38.92682927],0
