Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.000556,11.918234,[79  6] ; [10  6],[74.9009901 10.0990099] ; [14.0990099  1.9009901],1
p9,1,0.000556,11.918234,[79  6] ; [10  6],[74.9009901 10.0990099] ; [14.0990099  1.9009901],1
r2,1,0.000629,11.688709,[81  4] ; [11  5],[77.42574257  7.57425743] ; [14.57425743  1.42574257],1
a5,1,0.001751,9.793876,[65 20] ; [ 6 10],[59.75247525 25.24752475] ; [11.24752475  4.75247525],0
r4,1,0.002856,8.897375,[77  8] ; [10  6],[73.21782178 11.78217822] ; [13.78217822  2.21782178],0
u2,1,0.011338,6.41161,[ 8 17] ; [6 1],[10.9375 14.0625] ; [3.0625 3.9375],0
b1,1,0.020985,5.328031,[32 53] ; [11  5],[36.18811881 48.81188119] ; [6.81188119 9.18811881],0
n5,1,0.021885,5.254878,[66 19] ; [8 8],[62.27722772 22.72277228] ; [11.72277228  4.27722772],0
r1,1,0.0406,4.19262,[68 17] ; [9 7],[64.8019802 20.1980198] ; [12.1980198  3.8019802],0
p11,1,0.0406,4.19262,[68 17] ; [9 7],[64.8019802 20.1980198] ; [12.1980198  3.8019802],0
v1,1,0.09328,2.816846,[46 39] ; [ 5 11],[42.92079208 42.07920792] ; [8.07920792 7.92079208],0
p8,1,0.228913,1.447606,[60 24] ; [9 7],[57.96 26.04] ; [11.04  4.96],0
a7,1,0.239936,1.380973,[55 29] ; [8 8],[52.92 31.08] ; [10.08  5.92],0
n3,1,0.25798,1.279563,[17  2] ; [5 2],[16.07692308  2.92307692] ; [5.92307692 1.07692308],0
s2,1,0.258095,1.278947,[60 25] ; [9 7],[58.06930693 26.93069307] ; [10.93069307  5.06930693],0
n4,1,0.258095,1.278947,[60 25] ; [9 7],[58.06930693 26.93069307] ; [10.93069307  5.06930693],0
a3,1,0.258095,1.278947,[60 25] ; [9 7],[58.06930693 26.93069307] ; [10.93069307  5.06930693],0
p6,1,0.278861,1.17263,[46 39] ; [11  5],[47.97029703 37.02970297] ; [9.02970297 6.97029703],0
p4,1,0.288771,1.125344,[64 21] ; [10  6],[62.27722772 22.72277228] ; [11.72277228  4.27722772],0
s8,1,0.304886,1.052702,[49 36] ; [7 9],[47.12871287 37.87128713] ; [8.87128713 7.12871287],0
d4,1,0.326828,0.961425,[65 20] ; [14  2],[66.48514851 18.51485149] ; [12.51485149  3.48514851],0
d1,1,0.354009,0.859036,[53 32] ; [8 8],[51.33663366 33.66336634] ; [9.66336634 6.33663366],0
p2,1,0.354648,0.856756,[76  9] ; [13  3],[74.9009901 10.0990099] ; [14.0990099  1.9009901],0
a4,1,0.360594,0.835823,[37 48] ; [ 5 11],[35.34653465 49.65346535] ; [6.65346535 9.34653465],0
a2,1,0.372969,0.793748,[19 66] ; [ 2 14],[17.67326733 67.32673267] ; [ 3.32673267 12.67326733],0
p5,1,0.447952,0.57583,[11 74] ; [ 1 15],[10.0990099 74.9009901] ; [ 1.9009901 14.0990099],0
p1,1,0.447952,0.57583,[11 74] ; [ 1 15],[10.0990099 74.9009901] ; [ 1.9009901 14.0990099],0
u3,1,0.462562,0.539688,[14 11] ; [5 2],[14.84375 10.15625] ; [4.15625 2.84375],0
u1,1,0.481296,0.495924,[17 68] ; [ 2 14],[15.99009901 69.00990099] ; [ 3.00990099 12.99009901],0
s7,1,0.509682,0.434721,[57 26] ; [9 6],[55.89795918 27.10204082] ; [10.10204082  4.89795918],0
v3,1,0.552098,0.353571,[29 55] ; [ 4 11],[28. 56.] ; [ 5. 10.],0
b2,1,0.638318,0.220949,[11 37] ; [ 2 10],[10.4 37.6] ; [2.6 9.4],0
b3,1,0.638318,0.220949,[11 37] ; [ 2 10],[10.4 37.6] ; [2.6 9.4],0
a8,1,0.647792,0.208696,[ 3 77] ; [ 1 15],[ 3.33333333 76.66666667] ; [ 0.66666667 15.33333333],0
d3,1,0.676095,0.174555,[62 22] ; [11  5],[61.32 22.68] ; [11.68  4.32],0
n1,1,0.694176,0.154602,[ 7 12] ; [2 5],[ 6.57692308 12.42307692] ; [2.42307692 4.57692308],0
b5,1,0.696471,0.152169,[47 38] ; [8 8],[46.28712871 38.71287129] ; [8.71287129 7.28712871],0
b4,1,0.761948,0.091763,[46 39] ; [8 8],[45.44554455 39.55445545] ; [8.55445545 7.44554455],0
s5,1,0.76495,0.089393,[46 34] ; [8 7],[45.47368421 34.52631579] ; [8.52631579 6.47368421],0
s3,1,0.790841,0.070341,[61 24] ; [12  4],[61.43564356 23.56435644] ; [11.56435644  4.43564356],0
v4,1,0.793931,0.068231,[81  4] ; [15  1],[80.79207921  4.20792079] ; [15.20792079  0.79207921],0
r3,1,0.802345,0.062657,[80  4] ; [15  1],[79.8  4.2] ; [15.2  0.8],0
p3,1,0.823785,0.049586,[56 29] ; [11  5],[56.38613861 28.61386139] ; [10.61386139  5.38613861],0
d5,1,0.83888,0.041342,[70 14] ; [13  3],[69.72 14.28] ; [13.28  2.72],0
v2,1,0.845615,0.037914,[41 42] ; [7 8],[40.65306122 42.34693878] ; [7.34693878 7.65306122],0
s6,1,0.921407,0.009734,[71 11] ; [14  2],[71.12244898 10.87755102] ; [13.87755102  2.12244898],0
a6,1,0.937508,0.006147,[54 31] ; [10  6],[53.86138614 31.13861386] ; [10.13861386  5.86138614],0
d2,1,0.965564,0.001864,[42 43] ; [8 8],[42.07920792 42.92079208] ; [7.92079208 8.07920792],0
