Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.788497,0.071965,[11  7] ; [27 20],[10.52307692  7.47692308] ; [27.47692308 19.52307692],0
n4,1,0.839129,0.041212,[12  6] ; [32 18],[11.64705882  6.35294118] ; [32.35294118 17.64705882],0
r4,1,0.85917,0.031481,[ 5 13] ; [15 35],[ 5.29411765 12.70588235] ; [14.70588235 35.29411765],0
a2,1,0.894177,0.017695,[ 2 16] ; [ 5 45],[ 1.85294118 16.14705882] ; [ 5.14705882 44.85294118],0
d2,1,0.907466,0.013511,[ 8 10] ; [21 28],[ 7.79104478 10.20895522] ; [21.20895522 27.79104478],0
u1,1,0.945214,0.004722,[ 1 17] ; [ 3 47],[ 1.05882353 16.94117647] ; [ 2.94117647 47.05882353],0
d1,1,0.946944,0.004428,[ 7 11] ; [19 31],[ 6.88235294 11.11764706] ; [19.11764706 30.88235294],0
b4,1,0.946944,0.004428,[11  7] ; [31 19],[11.11764706  6.88235294] ; [30.88235294 19.11764706],0
d4,1,0.959115,0.002628,[12  6] ; [33 17],[11.91176471  6.08823529] ; [33.08823529 16.91176471],0
u3,1,0.965387,0.001883,[1 6] ; [ 3 19],[0.96551724 6.03448276] ; [ 3.03448276 18.96551724],0
b1,1,0.974022,0.00106,[10  8] ; [28 22],[10.05882353  7.94117647] ; [27.94117647 22.05882353],0
p11,1,0.974022,0.00106,[ 8 10] ; [22 28],[ 7.94117647 10.05882353] ; [22.05882353 27.94117647],0
b5,1,1.0,0.0,[9 9] ; [25 25],[9. 9.] ; [25. 25.],0
