Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.000721,11.435118,[10 18] ; [12  1],[15.02439024 12.97560976] ; [6.97560976 6.02439024],1
b3,1,0.000721,11.435118,[10 18] ; [12  1],[15.02439024 12.97560976] ; [6.97560976 6.02439024],1
p12,1,0.000874,11.077247,[ 2 60] ; [4 9],[ 4.96 57.04] ; [ 1.04 11.96],1
s8,1,0.000957,10.909202,[26 36] ; [12  1],[31.41333333 30.58666667] ; [6.58666667 6.41333333],1
p3,1,0.001838,9.704833,[19 43] ; [10  3],[23.97333333 38.02666667] ; [5.02666667 7.97333333],0
p5,1,0.004354,8.129793,[ 6 56] ; [5 7],[ 9.21621622 52.78378378] ; [ 1.78378378 10.21621622],0
s3,1,0.005044,7.863512,[31 31] ; [12  1],[35.54666667 26.45333333] ; [7.45333333 5.54666667],0
v3,1,0.005349,7.757645,[24 37] ; [8 1],[27.88571429 33.11428571] ; [4.11428571 4.88571429],0
s7,1,0.005672,7.651822,[24 33] ; [11  2],[28.5 28.5] ; [6.5 6.5],0
p4,1,0.005972,7.558638,[26 35] ; [11  2],[30.5 30.5] ; [6.5 6.5],0
v1,1,0.008474,6.930437,[28 34] ; [9 1],[31.86111111 30.13888889] ; [5.13888889 4.86111111],0
a2,1,0.012035,6.305649,[16 46] ; [8 5],[19.84 42.16] ; [4.16 8.84],0
d2,1,0.017047,5.691532,[30 32] ; [11  2],[33.89333333 28.10666667] ; [7.10666667 5.89333333],0
s2,1,0.028711,4.78488,[32 30] ; [11  2],[35.54666667 26.45333333] ; [7.45333333 5.54666667],0
a4,1,0.037286,4.337314,[28 34] ; [10  3],[31.41333333 30.58666667] ; [6.58666667 6.41333333],0
d1,1,0.048176,3.903832,[40 22] ; [12  1],[42.98666667 19.01333333] ; [9.01333333 3.98666667],0
s6,1,0.051733,3.784379,[39 21] ; [12  1],[41.91780822 18.08219178] ; [9.08219178 3.91780822],0
p8,1,0.056955,3.623892,[25 37] ; [9 4],[28.10666667 33.89333333] ; [5.89333333 7.10666667],0
a5,1,0.059439,3.552979,[41 21] ; [12  1],[43.81333333 18.18666667] ; [9.18666667 3.81333333],0
a8,1,0.078239,3.101104,[ 5 47] ; [3 7],[ 6.70967742 45.29032258] ; [1.29032258 8.70967742],0
s4,1,0.107726,2.587268,[18 44] ; [ 1 12],[15.70666667 46.29333333] ; [3.29333333 9.70666667],0
u1,1,0.17934,1.803089,[13 49] ; [5 8],[14.88 47.12] ; [3.12 9.88],0
v2,1,0.180084,1.796933,[34 25] ; [8 2],[35.91304348 23.08695652] ; [6.08695652 3.91304348],0
p6,1,0.216428,1.527896,[22 40] ; [7 6],[23.97333333 38.02666667] ; [5.02666667 7.97333333],0
n4,1,0.224391,1.476065,[42 20] ; [11  2],[43.81333333 18.18666667] ; [9.18666667 3.81333333],0
p7,1,0.294964,1.096826,[32 28] ; [9 4],[33.69863014 26.30136986] ; [7.30136986 5.69863014],0
p2,1,0.364344,0.822864,[45 17] ; [11  2],[46.29333333 15.70666667] ; [9.70666667 3.29333333],0
a7,1,0.442812,0.588984,[49 13] ; [9 4],[47.94666667 14.05333333] ; [10.05333333  2.94666667],0
d3,1,0.56472,0.331597,[48 14] ; [11  2],[48.77333333 13.22666667] ; [10.22666667  2.77333333],0
a6,1,0.585799,0.296953,[43 19] ; [10  3],[43.81333333 18.18666667] ; [9.18666667 3.81333333],0
r1,1,0.647264,0.209367,[49 13] ; [11  2],[49.6 12.4] ; [10.4  2.6],0
b5,1,0.666179,0.186104,[42 20] ; [8 5],[41.33333333 20.66666667] ; [8.66666667 4.33333333],0
p1,1,0.677173,0.173326,[ 3 59] ; [ 1 12],[ 3.30666667 58.69333333] ; [ 0.69333333 12.30666667],0
b4,1,0.863384,0.029607,[35 27] ; [7 6],[34.72 27.28] ; [7.28 5.72],0
s1,1,0.870477,0.026586,[ 4 58] ; [ 1 12],[ 4.13333333 57.86666667] ; [ 0.86666667 12.13333333],0
s5,1,0.935384,0.006573,[20 37] ; [4 7],[20.11764706 36.88235294] ; [3.88235294 7.11764706],0
d5,1,0.946927,0.004431,[52 10] ; [11  2],[52.08  9.92] ; [10.92  2.08],0
