Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,7.5e-05,15.685825,[10 37] ; [11  3],[16.18032787 30.81967213] ; [4.81967213 9.18032787],1
s6,1,0.004606,8.027871,[ 9 39] ; [8 6],[13.16129032 34.83870968] ; [ 3.83870968 10.16129032],0
p3,1,0.018712,5.528193,[ 9 39] ; [7 7],[12.38709677 35.61290323] ; [ 3.61290323 10.38709677],0
s1,1,0.02023,5.391929,[ 3 45] ; [ 4 10],[ 5.41935484 42.58064516] ; [ 1.58064516 12.41935484],0
n6,1,0.033252,4.532737,[17 30] ; [9 4],[20.36666667 26.63333333] ; [5.63333333 7.36666667],0
p2,1,0.087333,2.922865,[15 32] ; [8 6],[17.72131148 29.27868852] ; [5.27868852 8.72131148],0
a4,1,0.092963,2.822307,[18 29] ; [ 2 12],[15.40983607 31.59016393] ; [4.59016393 9.40983607],0
r3,1,0.10541,2.621718,[22 25] ; [10  4],[24.6557377 22.3442623] ; [7.3442623 6.6557377],0
v2,1,0.11805,2.443007,[13 34] ; [7 7],[15.40983607 31.59016393] ; [4.59016393 9.40983607],0
p8,1,0.123179,2.376432,[ 6 41] ; [4 9],[ 7.83333333 39.16666667] ; [ 2.16666667 10.83333333],0
s4,1,0.15027,2.069505,[ 6 42] ; [ 4 10],[ 7.74193548 40.25806452] ; [ 2.25806452 11.74193548],0
p6,1,0.19379,1.68857,[ 4 42] ; [ 3 11],[ 5.36666667 40.63333333] ; [ 1.63333333 12.36666667],0
u2,1,0.2113,1.5625,[ 3 17] ; [2 3],[ 4. 16.] ; [1. 4.],0
p10,1,0.216102,1.530067,[15 32] ; [7 7],[16.95081967 30.04918033] ; [5.04918033 8.95081967],0
d3,1,0.224372,1.47619,[22 26] ; [9 5],[24. 24.] ; [7. 7.],0
s7,1,0.224706,1.47406,[ 8 38] ; [4 8],[ 9.51724138 36.48275862] ; [2.48275862 9.51724138],0
p4,1,0.259982,1.268855,[13 35] ; [6 8],[14.70967742 33.29032258] ; [4.29032258 9.70967742],0
v3,1,0.293787,1.102186,[ 5 42] ; [ 3 11],[ 6.16393443 40.83606557] ; [ 1.83606557 12.16393443],0
b1,1,0.305918,1.048219,[28 20] ; [6 8],[26.32258065 21.67741935] ; [7.67741935 6.32258065],0
r1,1,0.324286,0.971583,[17 31] ; [7 7],[18.58064516 29.41935484] ; [5.41935484 8.58064516],0
v1,1,0.455733,0.556355,[12 35] ; [5 9],[13.09836066 33.90163934] ; [ 3.90163934 10.09836066],0
p1,1,0.464962,0.533923,[ 7 41] ; [ 1 13],[ 6.19354839 41.80645161] ; [ 1.80645161 12.19354839],0
d5,1,0.487069,0.482995,[29 19] ; [7 7],[27.87096774 20.12903226] ; [8.12903226 5.87096774],0
s5,1,0.562088,0.336102,[ 7 40] ; [ 3 11],[ 7.70491803 39.29508197] ; [ 2.29508197 11.70491803],0
p9,1,0.565357,0.330513,[19 27] ; [7 7],[19.93333333 26.06666667] ; [6.06666667 7.93333333],0
a1,1,0.577327,0.310575,[ 6 42] ; [ 1 13],[ 5.41935484 42.58064516] ; [ 1.58064516 12.41935484],0
b3,1,0.628818,0.233667,[13 21] ; [2 5],[12.43902439 21.56097561] ; [2.56097561 4.43902439],0
b2,1,0.628818,0.233667,[13 21] ; [2 5],[12.43902439 21.56097561] ; [2.56097561 4.43902439],0
b5,1,0.637954,0.221429,[24 24] ; [6 8],[23.22580645 24.77419355] ; [6.77419355 7.22580645],0
u1,1,0.647944,0.208501,[ 2 46] ; [ 1 13],[ 2.32258065 45.67741935] ; [ 0.67741935 13.32258065],0
d2,1,0.689307,0.159836,[23 24] ; [6 8],[22.3442623 24.6557377] ; [6.6557377 7.3442623],0
p11,1,0.717285,0.131109,[18 30] ; [6 8],[18.58064516 29.41935484] ; [5.41935484 8.58064516],0
d4,1,0.737348,0.112472,[32 16] ; [10  4],[32.51612903 15.48387097] ; [9.48387097 4.51612903],0
a7,1,0.738503,0.111447,[23 25] ; [6 8],[22.4516129 25.5483871] ; [6.5483871 7.4516129],0
a3,1,0.751439,0.100326,[28 19] ; [9 5],[28.50819672 18.49180328] ; [8.49180328 5.50819672],0
n3,1,0.758742,0.094331,[10 11] ; [2 3],[ 9.69230769 11.30769231] ; [2.30769231 2.69230769],0
r4,1,0.783659,0.07538,[12 36] ; [ 3 11],[11.61290323 36.38709677] ; [ 3.38709677 10.61290323],0
n2,1,0.824653,0.049091,[10 12] ; [2 3],[ 9.77777778 12.22222222] ; [2.22222222 2.77777778],0
n1,1,0.824653,0.049091,[10 12] ; [2 3],[ 9.77777778 12.22222222] ; [2.22222222 2.77777778],0
d1,1,0.826092,0.048275,[19 29] ; [6 8],[19.35483871 28.64516129] ; [5.64516129 8.35483871],0
a6,1,0.843914,0.038766,[22 26] ; [6 8],[21.67741935 26.32258065] ; [6.32258065 7.67741935],0
r2,1,0.849263,0.036122,[27 18] ; [8 6],[26.69491525 18.30508475] ; [8.30508475 5.69491525],0
n4,1,0.903135,0.014811,[30 18] ; [9 5],[30.19354839 17.80645161] ; [8.80645161 5.19354839],0
b4,1,0.903135,0.014811,[30 18] ; [9 5],[30.19354839 17.80645161] ; [8.80645161 5.19354839],0
p7,1,0.912552,0.01206,[13 35] ; [ 4 10],[13.16129032 34.83870968] ; [ 3.83870968 10.16129032],0
n5,1,0.936694,0.006309,[28 20] ; [8 6],[27.87096774 20.12903226] ; [8.12903226 5.87096774],0
a5,1,0.952725,0.003515,[27 21] ; [8 6],[27.09677419 20.90322581] ; [7.90322581 6.09677419],0
