Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1.4e-05,18.816396,[58 16] ; [17 27],[47.03389831 26.96610169] ; [27.96610169 16.03389831],1
d3,1,0.000113,14.902017,[50 23] ; [14 30],[39.93162393 33.06837607] ; [24.06837607 19.93162393],1
d5,1,0.000391,12.573097,[60 14] ; [22 22],[51.42372881 22.57627119] ; [30.57627119 13.42372881],1
a5,1,0.00592,7.574367,[51 23] ; [19 25],[43.89830508 30.10169492] ; [26.10169492 17.89830508],0
s4,1,0.010695,6.515336,[ 3 71] ; [ 8 36],[ 6.89830508 67.10169492] ; [ 4.10169492 39.89830508],0
a2,1,0.034371,4.476132,[16 58] ; [ 3 41],[11.91525424 62.08474576] ; [ 7.08474576 36.91525424],0
b1,1,0.035541,4.41897,[34 40] ; [29 15],[39.50847458 34.49152542] ; [23.49152542 20.50847458],0
a3,1,0.038365,4.288786,[52 21] ; [23 21],[46.79487179 26.20512821] ; [28.20512821 15.79487179],0
n2,1,0.048868,3.879892,[12 14] ; [15  5],[15.26086957 10.73913043] ; [11.73913043  8.26086957],0
d4,1,0.057662,3.603394,[54 20] ; [24 19],[49.33333333 24.66666667] ; [28.66666667 14.33333333],0
r1,1,0.059591,3.548727,[53 21] ; [24 20],[48.28813559 25.71186441] ; [28.71186441 15.28813559],0
p10,1,0.066904,3.35739,[39 34] ; [15 27],[34.27826087 38.72173913] ; [19.72173913 22.27826087],0
r3,1,0.081531,3.034112,[58 16] ; [28 16],[53.93220339 20.06779661] ; [32.06779661 11.93220339],0
p9,1,0.083019,3.004777,[46 27] ; [20 23],[41.53448276 31.46551724] ; [24.46551724 18.53448276],0
d1,1,0.105044,2.627238,[33 41] ; [13 31],[28.84745763 45.15254237] ; [17.15254237 26.84745763],0
p8,1,0.10937,2.563294,[29 43] ; [11 32],[25.04347826 46.95652174] ; [14.95652174 28.04347826],0
s8,1,0.110101,2.552769,[15 59] ; [ 4 40],[11.91525424 62.08474576] ; [ 7.08474576 36.91525424],0
s3,1,0.127463,2.323137,[16 57] ; [15 28],[19.50862069 53.49137931] ; [11.49137931 31.50862069],0
u1,1,0.133183,2.255001,[ 7 67] ; [ 1 43],[ 5.01694915 68.98305085] ; [ 2.98305085 41.01694915],0
v4,1,0.166218,1.916726,[58 16] ; [28 14],[54.86206897 19.13793103] ; [31.13793103 10.86206897],0
p2,1,0.169944,1.88344,[50 24] ; [23 19],[46.56896552 27.43103448] ; [26.43103448 15.56896552],0
a4,1,0.170398,1.879438,[33 41] ; [14 30],[29.47457627 44.52542373] ; [17.52542373 26.47457627],0
v2,1,0.19102,1.709732,[31 39] ; [13 28],[27.74774775 42.25225225] ; [16.25225225 24.74774775],0
s6,1,0.196593,1.667505,[27 47] ; [11 33],[23.83050847 50.16949153] ; [14.16949153 29.83050847],0
b3,1,0.205609,1.602077,[11 31] ; [11 16],[13.39130435 28.60869565] ; [ 8.60869565 18.39130435],0
b2,1,0.205609,1.602077,[11 31] ; [11 16],[13.39130435 28.60869565] ; [ 8.60869565 18.39130435],0
p6,1,0.244649,1.353606,[10 62] ; [ 9 31],[12.21428571 59.78571429] ; [ 6.78571429 33.21428571],0
v3,1,0.268719,1.223274,[19 52] ; [ 7 33],[16.63063063 54.36936937] ; [ 9.36936937 30.63063063],0
r4,1,0.307308,1.042212,[49 25] ; [25 19],[46.40677966 27.59322034] ; [27.59322034 16.40677966],0
a8,1,0.313616,1.015386,[ 7 62] ; [ 2 40],[ 5.59459459 63.40540541] ; [ 3.40540541 38.59459459],0
