Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,41.049903,[14 87] ; [22  8],[27.75572519 73.24427481] ; [ 8.24427481 21.75572519],1
s2,1,1e-06,24.58959,[22 84] ; [21 10],[33.27007299 72.72992701] ; [ 9.72992701 21.27007299],1
s3,1,6e-06,20.575734,[27 76] ; [22  9],[37.6641791 65.3358209] ; [11.3358209 19.6641791],1
p4,1,0.000185,13.97512,[32 73] ; [21 10],[40.91911765 64.08088235] ; [12.08088235 18.91911765],1
s6,1,0.000788,11.269668,[33 73] ; [20 11],[41.00729927 64.99270073] ; [11.99270073 19.00729927],1
p11,1,0.001084,10.678592,[58 48] ; [27  4],[65.76642336 40.23357664] ; [19.23357664 11.76642336],0
p6,1,0.002065,9.490886,[22 81] ; [15 15],[28.65413534 74.34586466] ; [ 8.34586466 21.65413534],0
p8,1,0.003218,8.679808,[30 73] ; [18 13],[36.89552239 66.10447761] ; [11.10447761 19.89552239],0
p7,1,0.003529,8.511506,[41 62] ; [21  9],[48.01503759 54.98496241] ; [13.98496241 16.01503759],0
p10,1,0.015368,5.873736,[54 48] ; [24  7],[59.81954887 42.18045113] ; [18.18045113 12.81954887],0
p2,1,0.02542,4.995014,[61 43] ; [25  6],[66.25185185 37.74814815] ; [19.74814815 11.25185185],0
n1,1,0.026243,4.93996,[12 31] ; [6 3],[14.88461538 28.11538462] ; [3.11538462 5.88461538],0
u2,1,0.033262,4.532222,[20 33] ; [8 3],[23.1875 29.8125] ; [4.8125 6.1875],0
v3,1,0.03431,4.479183,[14 90] ; [ 9 21],[17.85074627 86.14925373] ; [ 5.14925373 24.85074627],0
p3,1,0.035228,4.43411,[27 79] ; [14 17],[31.72262774 74.27737226] ; [ 9.27737226 21.72262774],0
v4,1,0.038522,4.281839,[76 29] ; [28  3],[80.29411765 24.70588235] ; [23.70588235  7.29411765],0
p12,1,0.041884,4.139892,[  2 104] ; [ 3 28],[  3.86861314 102.13138686] ; [ 1.13138686 29.86861314],0
r4,1,0.04376,4.065782,[50 56] ; [21 10],[54.93430657 51.06569343] ; [16.06569343 14.93430657],0
p9,1,0.072556,3.224237,[64 37] ; [25  6],[68.09848485 32.90151515] ; [20.90151515 10.09848485],0
a5,1,0.116814,2.459527,[48 58] ; [19 12],[51.83941606 54.16058394] ; [15.16058394 15.83941606],0
r3,1,0.141264,2.164141,[79 27] ; [27  4],[82.01459854 23.98540146] ; [23.98540146  7.01459854],0
a3,1,0.154177,2.030425,[53 53] ; [20 11],[56.48175182 49.51824818] ; [16.51824818 14.48175182],0
d1,1,0.179169,1.804507,[34 72] ; [14 17],[37.13868613 68.86131387] ; [10.86131387 20.13868613],0
a2,1,0.216813,1.525342,[ 9 97] ; [ 5 26],[10.83211679 95.16788321] ; [ 3.16788321 27.83211679],0
p1,1,0.223717,1.48037,[ 9 96] ; [ 5 26],[10.80882353 94.19117647] ; [ 3.19117647 27.80882353],0
n3,1,0.232245,1.427061,[27 16] ; [9 2],[28.66666667 14.33333333] ; [7.33333333 3.66666667],0
b1,1,0.267166,1.231238,[46 60] ; [10 21],[43.32846715 62.67153285] ; [12.67153285 18.32846715],0
s4,1,0.27484,1.192431,[21 85] ; [ 9 22],[23.21167883 82.78832117] ; [ 6.78832117 24.21167883],0
u3,1,0.282332,1.155828,[15 37] ; [5 6],[16.50793651 35.49206349] ; [3.49206349 7.50793651],0
s5,1,0.302821,1.061728,[17 86] ; [ 7 21],[18.87022901 84.12977099] ; [ 5.12977099 22.87022901],0
s1,1,0.324224,0.97183,[  3 103] ; [ 2 28],[  3.89705882 102.10294118] ; [ 1.10294118 28.89705882],0
b5,1,0.383843,0.758356,[64 42] ; [16 15],[61.89781022 44.10218978] ; [18.10218978 12.89781022],0
d4,1,0.403474,0.697948,[63 43] ; [21 10],[64.99270073 41.00729927] ; [19.00729927 11.99270073],0
r2,1,0.427278,0.63021,[75 28] ; [24  6],[76.66917293 26.33082707] ; [22.33082707  7.66917293],0
n6,1,0.449048,0.573053,[74 31] ; [24  7],[75.66176471 29.33823529] ; [22.33823529  8.66176471],0
d3,1,0.508678,0.436785,[54 50] ; [14 17],[52.38518519 51.61481481] ; [15.61481481 15.38518519],0
d5,1,0.561543,0.33704,[67 38] ; [18 13],[65.625 39.375] ; [19.375 11.625],0
a1,1,0.605392,0.26694,[10 96] ; [ 2 29],[ 9.28467153 96.71532847] ; [ 2.71532847 28.28467153],0
d2,1,0.623826,0.240527,[42 62] ; [11 20],[40.82962963 63.17037037] ; [12.17037037 18.82962963],0
n2,1,0.632765,0.22833,[28 15] ; [8 3],[28.66666667 14.33333333] ; [7.33333333 3.66666667],0
a6,1,0.642264,0.215794,[60 46] ; [19 12],[61.12408759 44.87591241] ; [17.87591241 13.12408759],0
n4,1,0.709953,0.138324,[61 45] ; [19 12],[61.89781022 44.10218978] ; [18.10218978 12.89781022],0
p5,1,0.717114,0.131275,[ 5 99] ; [ 2 29],[ 5.39259259 98.60740741] ; [ 1.60740741 29.39259259],0
n5,1,0.719771,0.128713,[64 41] ; [20 11],[64.85294118 40.14705882] ; [19.14705882 11.85294118],0
b3,1,0.719803,0.128682,[23 38] ; [ 7 14],[22.31707317 38.68292683] ; [ 7.68292683 13.31707317],0
b2,1,0.719803,0.128682,[23 38] ; [ 7 14],[22.31707317 38.68292683] ; [ 7.68292683 13.31707317],0
u1,1,0.721188,0.127357,[  5 101] ; [ 1 30],[  4.64233577 101.35766423] ; [ 1.35766423 29.64233577],0
a7,1,0.809637,0.05803,[55 50] ; [17 14],[55.58823529 49.41176471] ; [16.41176471 14.58823529],0
b4,1,0.812409,0.05632,[59 47] ; [18 13],[59.57664234 46.42335766] ; [17.42335766 13.57664234],0
a4,1,0.850341,0.035601,[32 73] ; [10 21],[32.42647059 72.57352941] ; [ 9.57352941 21.42647059],0
v2,1,0.904877,0.014281,[24 80] ; [ 7 22],[24.2406015 79.7593985] ; [ 6.7593985 22.2406015],0
a8,1,0.974725,0.001004,[10 92] ; [ 3 27],[10.04545455 91.95454545] ; [ 2.95454545 27.04545455],0
