Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,8.6e-05,15.428571,[ 3 60] ; [15 30],[10.5 52.5] ; [ 7.5 37.5],1
p7,1,0.001996,9.553541,[23 40] ; [30 15],[30.91666667 32.08333333] ; [22.08333333 22.91666667],0
p2,1,0.005092,7.846522,[35 29] ; [37  9],[41.89090909 22.10909091] ; [30.10909091 15.89090909],0
p4,1,0.006646,7.36631,[24 41] ; [29 17],[31.03603604 33.96396396] ; [21.96396396 24.03603604],0
r4,1,0.01342,6.1129,[45 20] ; [41  5],[50.36036036 14.63963964] ; [35.63963964 10.36036036],0
p8,1,0.013806,6.062765,[17 46] ; [23 23],[23.11926606 39.88073394] ; [16.88073394 29.11926606],0
n5,1,0.040444,4.199176,[33 32] ; [14 31],[27.77272727 37.22727273] ; [19.22727273 25.77272727],0
s5,1,0.054191,3.706809,[ 8 54] ; [12 31],[11.80952381 50.19047619] ; [ 8.19047619 34.80952381],0
s4,1,0.060345,3.527881,[ 4 61] ; [ 8 38],[ 7.02702703 57.97297297] ; [ 4.97297297 41.02702703],0
p10,1,0.068946,3.307931,[32 32] ; [31 15],[36.65454545 27.34545455] ; [26.34545455 19.65454545],0
r3,1,0.069887,3.285684,[53 12] ; [43  3],[56.21621622  8.78378378] ; [39.78378378  6.21621622],0
v2,1,0.073118,3.21159,[26 35] ; [26 17],[30.5 30.5] ; [21.5 21.5],0
n3,1,0.076075,3.146827,[16 11] ; [9 1],[18.24324324  8.75675676] ; [6.75675676 3.24324324],0
a1,1,0.084523,2.975712,[ 7 58] ; [ 1 45],[ 4.68468468 60.31531532] ; [ 3.31531532 42.68468468],0
r2,1,0.13682,2.21336,[53 10] ; [43  3],[55.48623853  7.51376147] ; [40.51376147  5.48623853],0
s8,1,0.147199,2.101037,[17 48] ; [18 28],[20.4954955 44.5045045] ; [14.5045045 31.4954955],0
b1,1,0.14962,2.076118,[32 33] ; [29 17],[35.72072072 29.27927928] ; [25.27927928 20.72072072],0
d4,1,0.155293,2.019473,[47 17] ; [39  7],[50.03636364 13.96363636] ; [35.96363636 10.03636364],0
a8,1,0.168244,1.898523,[10 50] ; [ 3 38],[ 7.72277228 52.27722772] ; [ 5.27722772 35.72277228],0
d1,1,0.170516,1.878403,[31 34] ; [28 18],[34.54954955 30.45045045] ; [24.45045045 21.54954955],0
s2,1,0.171555,1.869305,[21 43] ; [21 25],[24.43636364 39.56363636] ; [17.56363636 28.43636364],0
p9,1,0.181187,1.787865,[38 26] ; [33 13],[41.30909091 22.69090909] ; [29.69090909 16.30909091],0
s1,1,0.192634,1.697355,[ 5 58] ; [ 1 45],[ 3.46788991 59.53211009] ; [ 2.53211009 43.46788991],0
p1,1,0.218115,1.516727,[ 3 61] ; [ 5 41],[ 4.65454545 59.34545455] ; [ 3.34545455 42.65454545],0
r1,1,0.228827,1.448139,[47 18] ; [37  8],[49.63636364 15.36363636] ; [34.36363636 10.63636364],0
s6,1,0.252904,1.307193,[31 34] ; [27 19],[33.96396396 31.03603604] ; [24.03603604 21.96396396],0
b2,1,0.261504,1.260776,[ 9 27] ; [11 18],[11.07692308 24.92307692] ; [ 8.92307692 20.07692308],0
b3,1,0.261504,1.260776,[ 9 27] ; [11 18],[11.07692308 24.92307692] ; [ 8.92307692 20.07692308],0
v1,1,0.263413,1.250731,[24 39] ; [22 23],[26.83333333 36.16666667] ; [19.16666667 25.83333333],0
s3,1,0.279328,1.170358,[29 34] ; [26 20],[31.78899083 31.21100917] ; [23.21100917 22.78899083],0
p11,1,0.298605,1.080413,[36 29] ; [30 16],[38.64864865 26.35135135] ; [27.35135135 18.64864865],0
v4,1,0.319825,0.989663,[51 13] ; [40  6],[52.94545455 11.05454545] ; [38.05454545  7.94545455],0
u2,1,0.340144,0.90989,[8 5] ; [8 2],[9.04347826 3.95652174] ; [6.95652174 3.04347826],0
b5,1,0.419718,0.651106,[36 29] ; [29 17],[38.06306306 26.93693694] ; [26.93693694 19.06306306],0
n1,1,0.475703,0.508698,[10 17] ; [5 5],[10.94594595 16.05405405] ; [4.05405405 5.94594595],0
p12,1,0.477864,0.503734,[ 3 60] ; [ 1 45],[ 2.31192661 60.68807339] ; [ 1.68807339 44.31192661],0
d2,1,0.540785,0.374086,[31 33] ; [25 21],[32.58181818 31.41818182] ; [23.41818182 22.58181818],0
d5,1,0.54908,0.358968,[53 11] ; [36 10],[51.78181818 12.21818182] ; [37.21818182  8.78181818],0
u1,1,0.564645,0.331725,[ 5 60] ; [ 5 41],[ 5.85585586 59.14414414] ; [ 4.14414414 41.85585586],0
s7,1,0.669538,0.182143,[19 41] ; [15 27],[20. 40.] ; [14. 28.],0
a4,1,0.68942,0.159714,[35 30] ; [23 23],[33.96396396 31.03603604] ; [24.03603604 21.96396396],0
a3,1,0.699055,0.149457,[52 12] ; [36 10],[51.2 12.8] ; [36.8  9.2],0
p5,1,0.705747,0.142562,[ 3 59] ; [ 3 43],[ 3.44444444 58.55555556] ; [ 2.55555556 43.44444444],0
b4,1,0.787801,0.072451,[37 28] ; [25 21],[36.30630631 28.69369369] ; [25.69369369 20.30630631],0
d3,1,0.846642,0.037406,[42 22] ; [31 15],[42.47272727 21.52727273] ; [30.52727273 15.47272727],0
u3,1,0.867258,0.027937,[8 4] ; [7 3],[8.18181818 3.81818182] ; [6.81818182 3.18181818],0
n4,1,0.890332,0.019012,[39 26] ; [27 19],[38.64864865 26.35135135] ; [27.35135135 18.64864865],0
v3,1,0.905012,0.01424,[19 40] ; [14 28],[19.27722772 39.72277228] ; [13.72277228 28.27722772],0
