Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.025347,5.0,[2 4] ; [8 1],[4. 2.] ; [6. 3.],0
p3,1,0.132026,2.268519,[1 5] ; [5 4],[2.4 3.6] ; [3.6 5.4],0
n3,1,0.196706,1.666667,[1 4] ; [3 2],[2. 3.] ; [2. 3.],0
s5,1,0.197703,1.659259,[1 5] ; [4 4],[2.14285714 3.85714286] ; [2.85714286 5.14285714],0
b1,1,0.204894,1.607143,[4 2] ; [3 6],[2.8 3.2] ; [4.2 4.8],0
p11,1,0.204894,1.607143,[2 4] ; [6 3],[3.2 2.8] ; [4.8 4.2],0
r4,1,0.204894,1.607143,[2 4] ; [6 3],[3.2 2.8] ; [4.8 4.2],0
r1,1,0.263552,1.25,[5 1] ; [5 4],[4. 2.] ; [6. 3.],0
a3,1,0.263552,1.25,[3 3] ; [7 2],[4. 2.] ; [6. 3.],0
a7,1,0.263552,1.25,[3 3] ; [7 2],[4. 2.] ; [6. 3.],0
a5,1,0.263552,1.25,[3 3] ; [7 2],[4. 2.] ; [6. 3.],0
d5,1,0.263552,1.25,[3 3] ; [7 2],[4. 2.] ; [6. 3.],0
b4,1,0.263552,1.25,[5 1] ; [5 4],[4. 2.] ; [6. 3.],0
n4,1,0.291841,1.111111,[4 2] ; [8 1],[4.8 1.2] ; [7.2 1.8],0
n6,1,0.291841,1.111111,[4 2] ; [8 1],[4.8 1.2] ; [7.2 1.8],0
s7,1,0.291841,1.111111,[4 2] ; [8 1],[4.8 1.2] ; [7.2 1.8],0
p5,1,0.291841,1.111111,[2 4] ; [1 8],[1.2 4.8] ; [1.8 7.2],0
n1,1,0.303052,1.060714,[3 3] ; [4 1],[3.81818182 2.18181818] ; [3.18181818 1.81818182],0
d1,1,0.398025,0.714286,[2 4] ; [5 4],[2.8 3.2] ; [4.2 4.8],0
s6,1,0.518605,0.416667,[3 3] ; [6 3],[3.6 2.4] ; [5.4 3.6],0
d2,1,0.518605,0.416667,[3 3] ; [6 3],[3.6 2.4] ; [5.4 3.6],0
p4,1,0.518605,0.416667,[3 3] ; [6 3],[3.6 2.4] ; [5.4 3.6],0
d4,1,0.633553,0.227273,[4 2] ; [7 2],[4.4 1.6] ; [6.6 2.4],0
p9,1,0.756495,0.096154,[5 1] ; [8 1],[5.2 0.8] ; [7.8 1.2],0
p12,1,0.756495,0.096154,[1 5] ; [1 8],[0.8 5.2] ; [1.2 7.8],0
n5,1,0.756495,0.096154,[5 1] ; [8 1],[5.2 0.8] ; [7.8 1.2],0
p10,1,0.792147,0.069444,[5 1] ; [7 2],[4.8 1.2] ; [7.2 1.8],0
a2,1,0.792147,0.069444,[1 5] ; [2 7],[1.2 4.8] ; [1.8 7.2],0
v3,1,0.803017,0.062222,[2 3] ; [3 6],[1.78571429 3.21428571] ; [3.21428571 5.78571429],0
p8,1,0.832662,0.044643,[3 3] ; [5 4],[3.2 2.8] ; [4.8 4.2],0
a4,1,1.0,0.0,[2 4] ; [3 6],[2. 4.] ; [3. 6.],0
v1,1,1.0,0.0,[2 4] ; [3 6],[2. 4.] ; [3. 6.],0
d3,1,1.0,0.0,[4 2] ; [6 3],[4. 2.] ; [6. 3.],0
a6,1,1.0,0.0,[4 2] ; [6 3],[4. 2.] ; [6. 3.],0
