Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.9e-05,18.330155,[11 46] ; [17  8],[19.46341463 37.53658537] ; [ 8.53658537 16.46341463],1
s7,1,0.000235,13.529983,[18 37] ; [18  5],[25.38461538 29.61538462] ; [10.61538462 12.38461538],1
p5,1,0.000759,11.338893,[ 3 54] ; [ 8 16],[ 7.74074074 49.25925926] ; [ 3.25925926 20.74074074],1
r1,1,0.007574,7.131602,[33 24] ; [22  3],[38.23170732 18.76829268] ; [16.76829268  8.23170732],0
s6,1,0.00834,6.959076,[27 30] ; [19  5],[32.37037037 24.62962963] ; [13.62962963 10.37037037],0
s8,1,0.009647,6.698936,[15 42] ; [14 11],[20.15853659 36.84146341] ; [ 8.84146341 16.15853659],0
p6,1,0.009916,6.649912,[17 40] ; [15 10],[22.24390244 34.75609756] ; [ 9.75609756 15.24390244],0
v3,1,0.011743,6.349206,[16 40] ; [14 10],[21. 35.] ; [ 9. 15.],0
b5,1,0.015155,5.898385,[37 20] ; [ 9 16],[31.97560976 25.02439024] ; [14.02439024 10.97560976],0
s3,1,0.021008,5.326163,[19 36] ; [15  9],[23.67088608 31.32911392] ; [10.32911392 13.67088608],0
v2,1,0.034491,4.470175,[22 32] ; [16  8],[26.30769231 27.69230769] ; [11.69230769 12.30769231],0
u1,1,0.047392,3.931426,[ 1 56] ; [ 3 22],[ 2.7804878 54.2195122] ; [ 1.2195122 23.7804878],0
p7,1,0.06956,3.293368,[42 15] ; [22  2],[45.03703704 11.96296296] ; [18.96296296  5.03703704],0
r4,1,0.081486,3.035003,[43 14] ; [23  2],[45.87804878 11.12195122] ; [20.12195122  4.87804878],0
s4,1,0.088332,2.904515,[ 7 49] ; [ 7 18],[ 9.67901235 46.32098765] ; [ 4.32098765 20.67901235],0
n6,1,0.112338,2.521017,[41 16] ; [22  3],[43.79268293 13.20731707] ; [19.20731707  5.79268293],0
p10,1,0.125707,2.344737,[44 13] ; [22  2],[46.44444444 10.55555556] ; [19.55555556  4.44444444],0
n5,1,0.142711,2.148478,[39 18] ; [21  4],[41.70731707 15.29268293] ; [18.29268293  6.70731707],0
b3,1,0.146527,2.108037,[ 6 27] ; [5 8],[ 7.89130435 25.10869565] ; [3.10869565 9.89130435],0
b2,1,0.146527,2.108037,[ 6 27] ; [5 8],[ 7.89130435 25.10869565] ; [3.10869565 9.89130435],0
r3,1,0.180799,1.791042,[49  8] ; [24  1],[50.74390244  6.25609756] ; [22.25609756  2.74390244],0
p9,1,0.197216,1.66287,[46 11] ; [23  2],[47.96341463  9.03658537] ; [21.03658537  3.96341463],0
p12,1,0.20696,1.592565,[ 4 53] ; [ 4 21],[ 5.56097561 51.43902439] ; [ 2.43902439 22.56097561],0
p1,1,0.240813,1.375828,[10 47] ; [ 7 17],[11.96296296 45.03703704] ; [ 5.03703704 18.96296296],0
n1,1,0.2524,1.309972,[5 8] ; [4 2],[6.15789474 6.84210526] ; [2.84210526 3.15789474],0
p11,1,0.255617,1.292339,[44 13] ; [22  3],[45.87804878 11.12195122] ; [20.12195122  4.87804878],0
n4,1,0.282613,1.154482,[39 18] ; [20  5],[41.01219512 15.98780488] ; [17.98780488  7.01219512],0
a8,1,0.296246,1.091019,[ 3 48] ; [ 3 20],[ 4.13513514 46.86486486] ; [ 1.86486486 21.13513514],0
s1,1,0.39546,0.722087,[ 2 54] ; [ 2 23],[ 2.7654321 53.2345679] ; [ 1.2345679 23.7654321],0
u3,1,0.408106,0.68431,[13 22] ; [7 7],[14.28571429 20.71428571] ; [5.71428571 8.28571429],0
b4,1,0.471741,0.517895,[27 30] ; [14 11],[28.5 28.5] ; [12.5 12.5],0
b1,1,0.537051,0.381034,[27 30] ; [10 15],[25.7195122 31.2804878] ; [11.2804878 13.7195122],0
p3,1,0.539942,0.375647,[31 25] ; [12 13],[29.72839506 26.27160494] ; [13.27160494 11.72839506],0
p4,1,0.620485,0.245187,[33 24] ; [13 12],[31.97560976 25.02439024] ; [14.02439024 10.97560976],0
