Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,9e-06,19.742488,[20 26] ; [ 4 55],[10.51428571 35.48571429] ; [13.48571429 45.51428571],1
v1,1,0.001448,10.143442,[25 22] ; [14 46],[17.13084112 29.86915888] ; [21.86915888 38.13084112],0
r1,1,0.006271,7.470756,[35 11] ; [30 30],[28.20754717 17.79245283] ; [36.79245283 23.20754717],0
a5,1,0.029013,4.766835,[28 19] ; [23 37],[22.40186916 24.59813084] ; [28.59813084 31.40186916],0
r3,1,0.044058,4.05432,[44  3] ; [48 12],[40.41121495  6.58878505] ; [51.58878505  8.41121495],0
p4,1,0.061817,3.487962,[17 30] ; [12 48],[12.73831776 34.26168224] ; [16.26168224 43.73831776],0
s6,1,0.062671,3.46524,[26 20] ; [23 37],[21.26415094 24.73584906] ; [27.73584906 32.26415094],0
r2,1,0.064668,3.41343,[43  4] ; [47 13],[39.53271028  7.46728972] ; [50.46728972  9.53271028],0
b1,1,0.069372,3.297812,[11 36] ; [24 36],[15.37383178 31.62616822] ; [19.62616822 40.37383178],0
n5,1,0.099749,2.709549,[11 36] ; [23 37],[14.93457944 32.06542056] ; [19.06542056 40.93457944],0
a3,1,0.109695,2.558611,[30 17] ; [29 31],[25.91588785 21.08411215] ; [33.08411215 26.91588785],0
d5,1,0.120297,2.413451,[39  8] ; [42 18],[35.57943925 11.42056075] ; [45.42056075 14.57943925],0
p1,1,0.166131,1.917512,[ 1 46] ; [ 5 55],[ 2.63551402 44.36448598] ; [ 3.36448598 56.63551402],0
a7,1,0.193533,1.690515,[36 11] ; [39 21],[32.94392523 14.05607477] ; [42.05607477 17.94392523],0
d1,1,0.218277,1.515661,[26 21] ; [26 34],[22.8411215 24.1588785] ; [29.1588785 30.8411215],0
d4,1,0.361734,0.831864,[38  9] ; [44 16],[36.01869159 10.98130841] ; [45.98130841 14.01869159],0
n1,1,0.365656,0.818374,[ 4 18] ; [ 9 22],[ 5.39622642 16.60377358] ; [ 7.60377358 23.39622642],0
n6,1,0.425105,0.63616,[27 20] ; [39 21],[28.99065421 18.00934579] ; [37.00934579 22.99065421],0
s3,1,0.449348,0.572297,[19 28] ; [20 40],[17.13084112 29.86915888] ; [21.86915888 38.13084112],0
b5,1,0.507809,0.438579,[26 21] ; [37 23],[27.6728972 19.3271028] ; [35.3271028 24.6728972],0
d3,1,0.527299,0.399594,[31 16] ; [36 24],[29.42990654 17.57009346] ; [37.57009346 22.42990654],0
r4,1,0.528245,0.397767,[34 13] ; [40 20],[32.5046729 14.4953271] ; [41.4953271 18.5046729],0
p3,1,0.534976,0.384931,[ 9 37] ; [ 9 51],[ 7.81132075 38.18867925] ; [10.18867925 49.81132075],0
n3,1,0.535218,0.384475,[12  9] ; [15 16],[10.90384615 10.09615385] ; [16.09615385 14.90384615],0
p11,1,0.584559,0.298923,[26 21] ; [30 30],[24.59813084 22.40186916] ; [31.40186916 28.59813084],0
s1,1,0.590528,0.289521,[ 2 45] ; [ 4 56],[ 2.63551402 44.36448598] ; [ 3.36448598 56.63551402],0
s7,1,0.592576,0.28634,[10 36] ; [10 47],[ 8.93203883 37.06796117] ; [11.06796117 45.93203883],0
p8,1,0.595206,0.282287,[12 34] ; [13 47],[10.8490566 35.1509434] ; [14.1509434 45.8490566],0
s4,1,0.601021,0.273459,[ 9 38] ; [14 46],[10.10280374 36.89719626] ; [12.89719626 47.10280374],0
u2,1,0.605842,0.266275,[9 8] ; [14 17],[8.14583333 8.85416667] ; [14.85416667 16.14583333],0
a2,1,0.671936,0.179346,[ 5 42] ; [ 8 52],[ 5.71028037 41.28971963] ; [ 7.28971963 52.71028037],0
b4,1,0.691422,0.15755,[28 19] ; [38 22],[28.99065421 18.00934579] ; [37.00934579 22.99065421],0
p6,1,0.695097,0.153623,[ 4 42] ; [ 4 56],[ 3.47169811 42.52830189] ; [ 4.52830189 55.47169811],0
u3,1,0.696819,0.151803,[10  7] ; [20 11],[10.625  6.375] ; [19.375 11.625],0
a1,1,0.7077,0.140585,[ 1 46] ; [ 2 58],[ 1.31775701 45.68224299] ; [ 1.68224299 58.31775701],0
b3,1,0.71041,0.137868,[ 7 13] ; [ 9 21],[ 6.4 13.6] ; [ 9.6 20.4],0
b2,1,0.71041,0.137868,[ 7 13] ; [ 9 21],[ 6.4 13.6] ; [ 9.6 20.4],0
v4,1,0.741139,0.109128,[41  6] ; [51  9],[40.41121495  6.58878505] ; [51.58878505  8.41121495],0
s8,1,0.749105,0.102284,[ 9 38] ; [13 47],[ 9.6635514 37.3364486] ; [12.3364486 47.6635514],0
p2,1,0.75461,0.097698,[26 21] ; [35 25],[26.79439252 20.20560748] ; [34.20560748 25.79439252],0
