Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.002925,8.853766,[17 18] ; [20  3],[22.32758621 12.67241379] ; [14.67241379  8.32758621],0
v2,1,0.008762,6.870661,[ 7 27] ; [12 10],[11.53571429 22.46428571] ; [ 7.46428571 14.53571429],0
u3,1,0.009823,6.666667,[ 2 14] ; [3 1],[ 4. 12.] ; [1. 3.],0
p10,1,0.013073,6.159207,[ 7 27] ; [12 11],[11.33333333 22.66666667] ; [ 7.66666667 15.33333333],0
a3,1,0.035732,4.409847,[19 15] ; [19  4],[22.66666667 11.33333333] ; [15.33333333  7.66666667],0
d3,1,0.036342,4.380964,[13 22] ; [15  8],[16.89655172 18.10344828] ; [11.10344828 11.89655172],0
d4,1,0.068663,3.314686,[21 14] ; [19  4],[24.13793103 10.86206897] ; [15.86206897  7.13793103],0
n2,1,0.07077,3.265079,[ 8 12] ; [10  4],[10.58823529  9.41176471] ; [7.41176471 6.58823529],0
a6,1,0.073983,3.192355,[16 19] ; [16  7],[19.31034483 15.68965517] ; [12.68965517 10.31034483],0
r2,1,0.074162,3.188406,[16 17] ; [16  6],[19.2 13.8] ; [12.8  9.2],0
d1,1,0.076379,3.140316,[13 22] ; [14  9],[16.29310345 18.70689655] ; [10.70689655 12.29310345],0
p6,1,0.129076,2.303579,[ 1 33] ; [ 3 19],[ 2.42857143 31.57142857] ; [ 1.57142857 20.42857143],0
a4,1,0.134536,2.239364,[11 23] ; [12 11],[13.71929825 20.28070175] ; [ 9.28070175 13.71929825],0
p9,1,0.151059,2.061528,[ 8 25] ; [ 9 12],[10.38888889 22.61111111] ; [ 6.61111111 14.38888889],0
u2,1,0.196706,1.666667,[ 3 13] ; [2 2],[ 4. 12.] ; [1. 3.],0
n6,1,0.205397,1.603581,[12 22] ; [12 11],[14.31578947 19.68421053] ; [ 9.68421053 13.31578947],0
n4,1,0.208029,1.585093,[24 11] ; [12 11],[21.72413793 13.27586207] ; [14.27586207  8.72413793],0
n1,1,0.211486,1.561224,[10 10] ; [ 4 10],[ 8.23529412 11.76470588] ; [5.76470588 8.23529412],0
p1,1,0.244766,1.352933,[ 7 28] ; [ 2 21],[ 5.43103448 29.56896552] ; [ 3.56896552 19.43103448],0
s1,1,0.244766,1.352933,[ 7 28] ; [ 2 21],[ 5.43103448 29.56896552] ; [ 3.56896552 19.43103448],0
s2,1,0.26208,1.257734,[ 5 30] ; [ 6 17],[ 6.63793103 28.36206897] ; [ 4.36206897 18.63793103],0
p8,1,0.285434,1.141031,[ 5 29] ; [ 6 17],[ 6.56140351 27.43859649] ; [ 4.43859649 18.56140351],0
a2,1,0.288735,1.125511,[ 4 31] ; [ 5 18],[ 5.43103448 29.56896552] ; [ 3.56896552 19.43103448],0
r3,1,0.302445,1.063382,[12 23] ; [11 12],[13.87931034 21.12068966] ; [ 9.12068966 13.87931034],0
s8,1,0.330629,0.946434,[ 2 33] ; [ 3 20],[ 3.01724138 31.98275862] ; [ 1.98275862 21.01724138],0
p5,1,0.339816,0.911125,[ 1 33] ; [ 2 21],[ 1.78947368 32.21052632] ; [ 1.21052632 21.78947368],0
