Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,44.855948,[471  54] ; [33 24],[454.63917526  70.36082474] ; [49.36082474  7.63917526],1
p10,1,0.000532,12.000476,[464  56] ; [41 15],[455.90277778  64.09722222] ; [49.09722222  6.90277778],1
p3,1,0.00274,8.972766,[297 227] ; [20 36],[286.39310345 237.60689655] ; [30.60689655 25.39310345],0
s5,1,0.004188,8.200505,[179 324] ; [ 9 46],[169.46953405 333.53046595] ; [18.53046595 36.46953405],0
p6,1,0.004996,7.88105,[217 301] ; [12 42],[207.38111888 310.61888112] ; [21.61888112 32.38111888],0
s2,1,0.005429,7.730787,[277 241] ; [19 37],[267.12195122 250.87804878] ; [28.87804878 27.12195122],0
r4,1,0.005532,7.696694,[490  37] ; [47 10],[484.58732877  42.41267123] ; [52.41267123  4.58732877],0
p9,1,0.010137,6.610682,[467  51] ; [45 12],[461.24521739  56.75478261] ; [50.75478261  6.24521739],0
s7,1,0.015922,5.811453,[273 230] ; [20 34],[264.59425494 238.40574506] ; [28.40574506 25.59425494],0
s6,1,0.016265,5.773979,[359 154] ; [31 26],[351. 162.] ; [39. 18.],0
p5,1,0.018683,5.530941,[ 77 444] ; [ 2 55],[ 71.20934256 449.79065744] ; [ 7.79065744 49.20934256],0
d1,1,0.019634,5.444145,[333 194] ; [27 30],[324.8630137 202.1369863] ; [35.1369863 21.8630137],0
s8,1,0.020928,5.332794,[258 264] ; [19 38],[249.73056995 272.26943005] ; [27.26943005 29.73056995],0
p8,1,0.022419,5.213007,[302 212] ; [24 32],[293.97192982 220.02807018] ; [32.02807018 23.97192982],0
b1,1,0.02404,5.091709,[188 339] ; [29 28],[195.82020548 331.17979452] ; [21.17979452 35.82020548],0
b2,1,0.025147,5.013715,[146 209] ; [ 7 26],[139.9871134 215.0128866] ; [13.0128866 19.9871134],0
b3,1,0.025147,5.013715,[146 209] ; [ 7 26],[139.9871134 215.0128866] ; [13.0128866 19.9871134],0
p4,1,0.026954,4.893782,[349 175] ; [29 27],[341.50344828 182.49655172] ; [36.49655172 19.50344828],0
u1,1,0.03114,4.64521,[109 418] ; [ 5 52],[102.87328767 424.12671233] ; [11.12671233 45.87328767],0
b5,1,0.040226,4.20834,[305 222] ; [41 16],[312.22945205 214.77054795] ; [33.77054795 23.22945205],0
v3,1,0.04089,4.180568,[229 282] ; [16 37],[221.97695035 289.02304965] ; [23.02304965 29.97695035],0
u2,1,0.055049,3.680603,[76 59] ; [13  3],[79.56953642 55.43046358] ; [9.43046358 6.56953642],0
n3,1,0.067946,3.331962,[69 16] ; [9 6],[66.3 18.7] ; [11.7  3.3],0
d2,1,0.081857,3.027638,[275 249] ; [23 34],[268.76419966 255.23580034] ; [29.23580034 27.76419966],0
n2,1,0.088208,2.906777,[62 23] ; [14  1],[64.6 20.4] ; [11.4  3.6],0
a4,1,0.140909,2.168004,[256 268] ; [22 35],[250.72633391 273.27366609] ; [27.27366609 29.72633391],0
a2,1,0.146226,2.111185,[139 388] ; [10 47],[134.45719178 392.54280822] ; [14.54280822 42.45719178],0
r2,1,0.149208,2.080325,[496  24] ; [50  5],[493.77391304  26.22608696] ; [52.22608696  2.77391304],0
d3,1,0.149743,2.074863,[363 163] ; [34 23],[358.18524871 167.81475129] ; [38.81475129 18.18524871],0
a5,1,0.161347,1.961556,[412 114] ; [40 17],[407.80789022 118.19210978] ; [44.19210978 12.80789022],0
v1,1,0.211609,1.560384,[300 210] ; [27 27],[295.69148936 214.30851064] ; [31.30851064 22.69148936],0
d4,1,0.222659,1.487149,[438  86] ; [44 13],[434.71256454  89.28743546] ; [47.28743546  9.71256454],0
p12,1,0.231752,1.430076,[ 55 466] ; [ 3 52],[ 52.46180556 468.53819444] ; [ 5.53819444 49.46180556],0
v2,1,0.246845,1.341072,[303 202] ; [28 26],[299.02504472 205.97495528] ; [31.97495528 22.02504472],0
a7,1,0.279132,1.171312,[376 148] ; [37 20],[372.48192771 151.51807229] ; [40.51807229 16.48192771],0
