Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000136,14.555861,[ 6 39] ; [7 3],[10.63636364 34.36363636] ; [2.36363636 7.63636364],1
a3,1,0.001455,10.134351,[30 16] ; [1 9],[25.46428571 20.53571429] ; [5.53571429 4.46428571],0
b5,1,0.004406,8.108356,[19 28] ; [9 1],[23.0877193 23.9122807] ; [4.9122807 5.0877193],0
u2,1,0.009108,6.801432,[ 6 11] ; [8 1],[9.15384615 7.84615385] ; [4.84615385 4.15384615],0
p2,1,0.011201,6.433117,[17 30] ; [8 2],[20.61403509 26.38596491] ; [4.38596491 5.61403509],0
s2,1,0.013338,6.123729,[10 37] ; [6 4],[13.19298246 33.80701754] ; [2.80701754 7.19298246],0
p3,1,0.020767,5.346277,[ 5 42] ; [4 6],[ 7.42105263 39.57894737] ; [1.57894737 8.42105263],0
r3,1,0.035325,4.429387,[16 31] ; [7 3],[18.96491228 28.03508772] ; [4.03508772 5.96491228],0
p11,1,0.04884,3.880851,[13 34] ; [6 4],[15.66666667 31.33333333] ; [3.33333333 6.66666667],0
s4,1,0.067727,3.337263,[ 7 40] ; [4 6],[ 9.07017544 37.92982456] ; [1.92982456 8.07017544],0
d1,1,0.105947,2.613666,[17 30] ; [1 9],[14.84210526 32.15789474] ; [3.15789474 6.84210526],0
a4,1,0.105947,2.613666,[17 30] ; [1 9],[14.84210526 32.15789474] ; [3.15789474 6.84210526],0
a5,1,0.118954,2.431044,[22 25] ; [2 8],[19.78947368 27.21052632] ; [4.21052632 5.78947368],0
p4,1,0.153587,2.036259,[ 9 38] ; [4 6],[10.71929825 36.28070175] ; [2.28070175 7.71929825],0
v4,1,0.162821,1.947826,[21 25] ; [7 3],[23. 23.] ; [5. 5.],0
s7,1,0.178155,1.812946,[10 34] ; [4 5],[11.62264151 32.37735849] ; [2.37735849 6.62264151],0
b4,1,0.182827,1.774492,[25 22] ; [3 7],[23.0877193 23.9122807] ; [4.9122807 5.0877193],0
n4,1,0.182827,1.774492,[25 22] ; [3 7],[23.0877193 23.9122807] ; [4.9122807 5.0877193],0
a6,1,0.182827,1.774492,[22 25] ; [7 3],[23.9122807 23.0877193] ; [5.0877193 4.9122807],0
d2,1,0.18342,1.769693,[20 27] ; [2 8],[18.14035088 28.85964912] ; [3.85964912 6.14035088],0
d4,1,0.206879,1.593133,[29 18] ; [4 6],[27.21052632 19.78947368] ; [5.78947368 4.21052632],0
s3,1,0.226792,1.46087,[18 28] ; [6 4],[19.71428571 26.28571429] ; [4.28571429 5.71428571],0
p10,1,0.226792,1.46087,[18 28] ; [6 4],[19.71428571 26.28571429] ; [4.28571429 5.71428571],0
p5,1,0.226792,1.46087,[ 1 45] ; [1 9],[ 1.64285714 44.35714286] ; [0.35714286 9.64285714],0
v1,1,0.304686,1.053572,[17 29] ; [2 8],[15.60714286 30.39285714] ; [3.39285714 6.60714286],0
d3,1,0.329449,0.951061,[24 23] ; [3 6],[22.66071429 24.33928571] ; [4.33928571 4.66071429],0
n2,1,0.368042,0.810264,[12 11] ; [5 2],[13.03333333  9.96666667] ; [3.96666667 3.03333333],0
p9,1,0.410531,0.677261,[21 25] ; [6 4],[22.17857143 23.82142857] ; [4.82142857 5.17857143],0
b2,1,0.522618,0.408723,[10 19] ; [1 4],[ 9.38235294 19.61764706] ; [1.61764706 3.38235294],0
b3,1,0.522618,0.408723,[10 19] ; [1 4],[ 9.38235294 19.61764706] ; [1.61764706 3.38235294],0
n3,1,0.525741,0.402618,[10 13] ; [4 3],[10.73333333 12.26666667] ; [3.26666667 3.73333333],0
r1,1,0.531674,0.391191,[14 33] ; [2 8],[13.19298246 33.80701754] ; [2.80701754 7.19298246],0
s8,1,0.549819,0.357642,[ 6 41] ; [2 8],[ 6.59649123 40.40350877] ; [1.40350877 8.59649123],0
n1,1,0.611732,0.25766,[ 9 14] ; [2 5],[ 8.43333333 14.56666667] ; [2.56666667 4.43333333],0
s6,1,0.622368,0.242553,[15 32] ; [4 6],[15.66666667 31.33333333] ; [3.33333333 6.66666667],0
s1,1,0.6843,0.165325,[ 3 44] ; [1 9],[ 3.29824561 43.70175439] ; [0.70175439 9.29824561],0
a8,1,0.698695,0.149833,[ 3 43] ; [1 9],[ 3.28571429 42.71428571] ; [0.71428571 9.28571429],0
s5,1,0.708983,0.139295,[ 8 39] ; [2 7],[ 8.39285714 38.60714286] ; [1.60714286 7.39285714],0
b1,1,0.710449,0.137829,[30 17] ; [7 3],[30.50877193 16.49122807] ; [6.49122807 3.50877193],0
a7,1,0.7591,0.094042,[26 21] ; [5 5],[25.56140351 21.43859649] ; [5.43859649 4.56140351],0
d5,1,0.786488,0.073372,[26 21] ; [6 4],[26.38596491 20.61403509] ; [5.61403509 4.38596491],0
u3,1,0.836701,0.042484,[ 5 12] ; [3 6],[ 5.23076923 11.76923077] ; [2.76923077 6.23076923],0
r2,1,0.854267,0.033737,[25 19] ; [6 4],[25.25925926 18.74074074] ; [5.74074074 4.25925926],0
n5,1,0.951275,0.003734,[24 23] ; [5 5],[23.9122807 23.0877193] ; [5.0877193 4.9122807],0
v2,1,0.978379,0.000734,[14 32] ; [3 7],[13.96428571 32.03571429] ; [3.03571429 6.96428571],0
