Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.001986,9.562042,[ 2 32] ; [14 25],[ 7.45205479 26.54794521] ; [ 8.54794521 30.45205479],0
a6,1,0.008089,7.013771,[17 17] ; [31  8],[22.35616438 11.64383562] ; [25.64383562 13.35616438],0
a5,1,0.008377,6.951013,[16 18] ; [30  9],[21.42465753 12.57534247] ; [24.57534247 14.42465753],0
p9,1,0.014891,5.929282,[23 10] ; [35  3],[26.95774648  6.04225352] ; [31.04225352  6.95774648],0
v3,1,0.059659,3.546834,[ 6 25] ; [15 22],[ 9.57352941 21.42647059] ; [11.42647059 25.57352941],0
v2,1,0.068793,3.311597,[13 19] ; [22 13],[16.71641791 15.28358209] ; [18.28358209 16.71641791],0
u1,1,0.069752,3.288836,[ 2 32] ; [ 8 31],[ 4.65753425 29.34246575] ; [ 5.34246575 33.65753425],0
s4,1,0.093942,2.805492,[17 17] ; [12 27],[13.50684932 20.49315068] ; [15.49315068 23.50684932],0
r2,1,0.125271,2.350152,[33  1] ; [34  5],[31.20547945  2.79452055] ; [35.79452055  3.20547945],0
a4,1,0.127601,2.321453,[ 9 25] ; [17 22],[12.10958904 21.89041096] ; [13.89041096 25.10958904],0
s6,1,0.139495,2.183516,[25  9] ; [34  5],[27.47945205  6.52054795] ; [31.52054795  7.47945205],0
a7,1,0.148423,2.088384,[24 10] ; [33  6],[26.54794521  7.45205479] ; [30.45205479  8.54794521],0
p3,1,0.169666,1.885894,[12 22] ; [20 19],[14.90410959 19.09589041] ; [17.09589041 21.90410959],0
u3,1,0.236724,1.4,[8 4] ; [8 1],[9.14285714 2.85714286] ; [6.85714286 2.14285714],0
n6,1,0.242617,1.365325,[25  9] ; [23 15],[22.66666667 11.33333333] ; [25.33333333 12.66666667],0
d3,1,0.2479,1.335102,[21 13] ; [29 10],[23.28767123 10.71232877] ; [26.71232877 12.28767123],0
a3,1,0.25004,1.323082,[22 12] ; [30  9],[24.21917808  9.78082192] ; [27.78082192 11.21917808],0
p10,1,0.253371,1.304621,[26  8] ; [33  5],[27.86111111  6.13888889] ; [31.13888889  6.86111111],0
s5,1,0.267783,1.22807,[16 16] ; [14 24],[13.71428571 18.28571429] ; [16.28571429 21.71428571],0
s3,1,0.301298,1.068439,[24 10] ; [23 16],[21.89041096 12.10958904] ; [25.10958904 13.89041096],0
n3,1,0.305507,1.05,[9 3] ; [9 7],[7.71428571 4.28571429] ; [10.28571429  5.71428571],0
b5,1,0.32164,0.982264,[17 17] ; [24 15],[19.09589041 14.90410959] ; [21.90410959 17.09589041],0
d2,1,0.367905,0.810728,[13 21] ; [19 20],[14.90410959 19.09589041] ; [17.09589041 21.90410959],0
r1,1,0.369927,0.803908,[22 12] ; [29 10],[23.75342466 10.24657534] ; [27.24657534 11.75342466],0
d4,1,0.37997,0.770799,[25  9] ; [32  7],[26.54794521  7.45205479] ; [30.45205479  8.54794521],0
n2,1,0.451917,0.56584,[9 4] ; [13  3],[9.86206897 3.13793103] ; [12.13793103  3.86206897],0
b3,1,0.507122,0.44,[ 8 12] ; [12 12],[ 9.09090909 10.90909091] ; [10.90909091 13.09090909],0
b2,1,0.507122,0.44,[ 8 12] ; [12 12],[ 9.09090909 10.90909091] ; [10.90909091 13.09090909],0
n1,1,0.508332,0.4375,[6 6] ; [ 6 10],[5.14285714 6.85714286] ; [6.85714286 9.14285714],0
p5,1,0.552984,0.351999,[ 3 31] ; [ 2 36],[ 2.36111111 31.63888889] ; [ 2.63888889 35.36111111],0
v4,1,0.555545,0.347476,[30  4] ; [36  3],[30.73972603  3.26027397] ; [35.26027397  3.73972603],0
p1,1,0.559062,0.341331,[ 3 31] ; [ 5 33],[ 3.77777778 30.22222222] ; [ 4.22222222 33.77777778],0
r4,1,0.562128,0.336034,[27  7] ; [33  6],[27.94520548  6.05479452] ; [32.05479452  6.94520548],0
p7,1,0.566665,0.328294,[22 10] ; [23 14],[20.86956522 11.13043478] ; [24.13043478 12.86956522],0
