Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2.6e-05,17.715053,[4 1] ; [ 5 49],[0.76271186 4.23728814] ; [ 8.23728814 45.76271186],1
r4,1,0.000532,12.001471,[4 1] ; [ 8 46],[1.01694915 3.98305085] ; [10.98305085 43.01694915],1
p3,1,0.068202,3.325774,[3 2] ; [12 41],[1.29310345 3.70689655] ; [13.70689655 39.29310345],0
a5,1,0.090716,2.861625,[4 1] ; [22 32],[2.20338983 2.79661017] ; [23.79661017 30.20338983],0
a6,1,0.108223,2.579985,[4 1] ; [23 31],[2.28813559 2.71186441] ; [24.71186441 29.28813559],0
p12,1,0.112541,2.518166,[1 4] ; [ 2 52],[0.25423729 4.74576271] ; [ 2.74576271 51.25423729],0
p8,1,0.164396,1.933314,[3 2] ; [16 38],[1.61016949 3.38983051] ; [17.38983051 36.61016949],0
p1,1,0.219024,1.510758,[1 4] ; [ 3 51],[0.33898305 4.66101695] ; [ 3.66101695 50.33898305],0
d1,1,0.2536,1.303362,[2 3] ; [10 44],[1.01694915 3.98305085] ; [10.98305085 43.01694915],0
p4,1,0.313833,1.014475,[3 2] ; [20 34],[1.94915254 3.05084746] ; [21.05084746 32.94915254],0
u3,1,0.320372,0.987429,[1 1] ; [ 6 24],[0.4375 1.5625] ; [ 6.5625 23.4375],0
b1,1,0.357914,0.845198,[2 3] ; [33 21],[2.96610169 2.03389831] ; [32.03389831 21.96610169],0
d4,1,0.36296,0.827626,[4 1] ; [32 22],[3.05084746 1.94915254] ; [32.94915254 21.05084746],0
d2,1,0.371347,0.799153,[2 3] ; [12 42],[1.18644068 3.81355932] ; [12.81355932 41.18644068],0
p2,1,0.403376,0.698239,[4 1] ; [33 21],[3.13559322 1.86440678] ; [33.86440678 20.13559322],0
b3,1,0.41835,0.654947,[1 1] ; [ 8 25],[0.51428571 1.48571429] ; [ 8.48571429 24.51428571],0
b2,1,0.41835,0.654947,[1 1] ; [ 8 25],[0.51428571 1.48571429] ; [ 8.48571429 24.51428571],0
a1,1,0.447134,0.577906,[1 4] ; [ 5 49],[0.50847458 4.49152542] ; [ 5.49152542 48.50847458],0
d3,1,0.453216,0.562596,[3 2] ; [23 31],[2.20338983 2.79661017] ; [23.79661017 30.20338983],0
r3,1,0.524847,0.404359,[4 1] ; [35 18],[3.36206897 1.63793103] ; [35.63793103 17.36206897],0
a3,1,0.528265,0.397728,[3 2] ; [24 29],[2.32758621 2.67241379] ; [24.67241379 28.32758621],0
v2,1,0.576897,0.311279,[1 4] ; [17 36],[1.55172414 3.44827586] ; [16.44827586 36.55172414],0
a7,1,0.612051,0.257199,[3 2] ; [26 28],[2.45762712 2.54237288] ; [26.54237288 27.45762712],0
d5,1,0.612051,0.257199,[3 2] ; [26 28],[2.45762712 2.54237288] ; [26.54237288 27.45762712],0
r1,1,0.629942,0.232139,[2 3] ; [16 38],[1.52542373 3.47457627] ; [16.47457627 37.52542373],0
a8,1,0.701995,0.146405,[1 4] ; [ 7 44],[0.71428571 4.28571429] ; [ 7.28571429 43.71428571],0
v1,1,0.708214,0.140068,[1 4] ; [15 39],[1.3559322 3.6440678] ; [14.6440678 39.3559322],0
s7,1,0.728739,0.120273,[1 3] ; [ 9 41],[0.74074074 3.25925926] ; [ 9.25925926 40.74074074],0
s8,1,0.757696,0.095177,[1 4] ; [ 8 46],[0.76271186 4.23728814] ; [ 8.23728814 45.76271186],0
n4,1,0.786886,0.073092,[3 2] ; [29 25],[2.71186441 2.28813559] ; [29.28813559 24.71186441],0
s2,1,0.837678,0.041969,[1 4] ; [13 41],[1.18644068 3.81355932] ; [12.81355932 41.18644068],0
a4,1,0.837678,0.041969,[1 4] ; [13 41],[1.18644068 3.81355932] ; [12.81355932 41.18644068],0
p6,1,0.879832,0.022856,[1 4] ; [ 9 43],[0.87719298 4.12280702] ; [ 9.12280702 42.87719298],0
v4,1,0.910636,0.012597,[3 2] ; [31 23],[2.88135593 2.11864407] ; [31.11864407 22.88135593],0
b5,1,0.910636,0.012597,[3 2] ; [31 23],[2.88135593 2.11864407] ; [31.11864407 22.88135593],0
p7,1,0.910636,0.012597,[2 3] ; [23 31],[2.11864407 2.88135593] ; [22.88135593 31.11864407],0
n5,1,0.974266,0.001041,[3 2] ; [32 22],[2.96610169 2.03389831] ; [32.03389831 21.96610169],0
