Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,75.421289,[141  41] ; [115 196],[94.50709939 87.49290061] ; [161.49290061 149.50709939],1
v1,1,0.0,33.486797,[115  69] ; [111 200],[84.00808081 99.99191919] ; [141.99191919 169.00808081],1
s8,1,6e-06,20.494478,[ 84 101] ; [ 83 239],[ 60.93688363 124.06311637] ; [106.06311637 215.93688363],1
r1,1,1.7e-05,18.459897,[161  25] ; [222  97],[141.06534653  44.93465347] ; [241.93465347  77.06534653],1
s2,1,2.5e-05,17.774124,[93 92] ; [101 221],[ 70.78895464 114.21104536] ; [123.21104536 198.78895464],1
n5,1,0.000639,11.658384,[148  38] ; [208 111],[131.12079208  54.87920792] ; [224.87920792  94.12079208],1
s6,1,0.000797,11.247569,[119  66] ; [157 164],[100.90909091  84.09090909] ; [175.09090909 145.90909091],1
p3,1,0.001174,10.530293,[87 99] ; [104 218],[ 69.93307087 116.06692913] ; [121.06692913 200.93307087],0
s7,1,0.002342,9.259812,[80 95] ; [ 98 210],[ 64.49275362 110.50724638] ; [113.50724638 194.49275362],0
r4,1,0.003133,8.728626,[165  22] ; [251  72],[152.53333333  34.46666667] ; [263.46666667  59.53333333],0
n4,1,0.003438,8.559012,[149  38] ; [217 104],[134.72834646  52.27165354] ; [231.27165354  89.72834646],0
d1,1,0.003789,8.382194,[114  73] ; [154 169],[98.26666667 88.73333333] ; [169.73333333 153.26666667],0
n6,1,0.010126,6.61257,[155  31] ; [234  85],[143.27524752  42.72475248] ; [245.72475248  73.27524752],0
p10,1,0.011442,6.39532,[148  37] ; [223  97],[135.91089109  49.08910891] ; [235.08910891  84.91089109],0
p4,1,0.013824,6.06051,[97 88] ; [132 189],[ 83.72529644 101.27470356] ; [145.27470356 175.72529644],0
a2,1,0.015107,5.903915,[ 50 137] ; [ 57 266],[ 39.23333333 147.76666667] ; [ 67.76666667 255.23333333],0
p1,1,0.016986,5.697797,[ 19 168] ; [ 15 306],[ 12.51574803 174.48425197] ; [ 21.48425197 299.51574803],0
d2,1,0.017136,5.682345,[98 88] ; [134 187],[ 85.11242604 100.88757396] ; [146.88757396 174.11242604],0
v4,1,0.017157,5.680255,[175  11] ; [279  40],[167.21584158  18.78415842] ; [286.78415842  32.21584158],0
a5,1,0.018415,5.556261,[143  44] ; [215 108],[131.26666667  55.73333333] ; [226.73333333  96.26666667],0
p12,1,0.023425,5.136712,[ 15 172] ; [ 11 310],[  9.57086614 177.42913386] ; [ 16.42913386 304.57086614],0
r3,1,0.024963,5.026458,[174  12] ; [280  41],[166.55621302  19.44378698] ; [287.44378698  33.55621302],0
d3,1,0.025791,4.970004,[128  59] ; [189 134],[116.23333333  70.76666667] ; [200.76666667 122.23333333],0
d5,1,0.030291,4.692676,[153  34] ; [237  86],[143.  44.] ; [247.  76.],0
a4,1,0.033989,4.49525,[88 98] ; [121 200],[ 76.67455621 109.32544379] ; [132.32544379 188.67455621],0
r2,1,0.037446,4.330015,[173  12] ; [278  39],[166.20517928  18.79482072] ; [284.79482072  32.20517928],0
s5,1,0.039324,4.246826,[ 55 130] ; [ 68 248],[ 45.41916168 139.58083832] ; [ 77.58083832 238.41916168],0
s3,1,0.043472,4.076942,[98 85] ; [141 178],[87.12549801 95.87450199] ; [151.87450199 167.12549801],0
a3,1,0.044859,4.023939,[136  51] ; [205 115],[125.77317554  61.22682446] ; [215.22682446 104.77317554],0
p7,1,0.060631,3.520047,[100  82] ; [147 171],[89.908 92.092] ; [157.092 160.908],0
d4,1,0.064758,3.411141,[155  31] ; [246  76],[146.82283465  39.17716535] ; [254.17716535  67.82283465],0
p8,1,0.070056,3.28171,[86 99] ; [122 197],[ 76.34920635 108.65079365] ; [131.65079365 187.34920635],0
p5,1,0.087321,2.923088,[ 18 168] ; [ 18 302],[ 13.23320158 172.76679842] ; [ 22.76679842 297.23320158],0
u4,1,0.125039,2.353042,[  4 183] ; [  2 321],[  2.2 184.8] ; [  3.8 319.2],0
u1,1,0.125692,2.344922,[ 31 156] ; [ 38 285],[ 25.3 161.7] ; [ 43.7 279.3],0
p11,1,0.136411,2.217986,[145  42] ; [231  92],[137.86666667  49.13333333] ; [238.13333333  84.86666667],0
a7,1,0.184125,1.764009,[136  50] ; [218 105],[129.35952849  56.64047151] ; [224.64047151  98.35952849],0
n1,1,0.185326,1.754387,[11 27] ; [40 57],[14.35555556 23.64444444] ; [36.64444444 60.35555556],0
u2,1,0.229602,1.443323,[29 21] ; [55 60],[25.45454545 24.54545455] ; [58.54545455 56.45454545],0
b3,1,0.239391,1.384176,[47 76] ; [ 59 127],[42.19417476 80.80582524] ; [ 63.80582524 122.19417476],0
b2,1,0.239391,1.384176,[47 76] ; [ 59 127],[42.19417476 80.80582524] ; [ 63.80582524 122.19417476],0
a1,1,0.255742,1.291661,[ 11 176] ; [ 12 311],[  8.43333333 178.56666667] ; [ 14.56666667 308.43333333],0
n2,1,0.268242,1.225714,[31  9] ; [66 31],[28.32116788 11.67883212] ; [68.67883212 28.32116788],0
p9,1,0.339933,0.910685,[145  40] ; [235  80],[140.6  44.4] ; [239.4  75.6],0
a6,1,0.368472,0.80881,[130  57] ; [212 111],[125.4  61.6] ; [216.6 106.4],0
n3,1,0.371308,0.799284,[29 11] ; [62 34],[26.76470588 13.23529412] ; [64.23529412 31.76470588],0
u3,1,0.407825,0.685132,[27 23] ; [55 62],[24.5508982 25.4491018] ; [57.4491018 59.5508982],0
b1,1,0.414748,0.665149,[ 69 118] ; [131 192],[ 73.33333333 113.66666667] ; [126.66666667 196.33333333],0
p2,1,0.675488,0.17525,[143  43] ; [243  80],[141.05304519  44.94695481] ; [244.94695481  78.05304519],0
s1,1,0.762846,0.091051,[  6 177] ; [  9 312],[  5.44642857 177.55357143] ; [  9.55357143 311.44642857],0
a8,1,0.870853,0.026431,[ 24 146] ; [ 44 256],[ 24.59574468 145.40425532] ; [ 43.40425532 256.59574468],0
