Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.006072,7.528889,[ 2 23] ; [2 1],[ 3.57142857 21.42857143] ; [0.42857143 2.57142857],0
d4,1,0.096378,2.764487,[32 16] ; [1 3],[30.46153846 17.53846154] ; [2.53846154 1.46153846],0
b4,1,0.168361,1.897475,[29 19] ; [1 3],[27.69230769 20.30769231] ; [2.30769231 1.69230769],0
d5,1,0.197176,1.663168,[28 20] ; [1 3],[26.76923077 21.23076923] ; [2.23076923 1.76923077],0
s1,1,0.277327,1.180142,[ 4 44] ; [1 3],[ 4.61538462 43.38461538] ; [0.38461538 3.61538462],0
a5,1,0.297953,1.083333,[25 23] ; [1 3],[24. 24.] ; [2. 2.],0
n2,1,0.314065,1.013503,[9 8] ; [1 3],[8.0952381 8.9047619] ; [1.9047619 2.0952381],0
a3,1,0.357193,0.847739,[23 24] ; [1 3],[22.11764706 24.88235294] ; [1.88235294 2.11764706],0
p9,1,0.357193,0.847739,[23 24] ; [1 3],[22.11764706 24.88235294] ; [1.88235294 2.11764706],0
s8,1,0.380426,0.769324,[ 5 43] ; [1 3],[ 5.53846154 42.46153846] ; [0.46153846 3.53846154],0
n4,1,0.385744,0.752315,[34 14] ; [2 2],[33.23076923 14.76923077] ; [2.76923077 1.23076923],0
a4,1,0.40295,0.699506,[14 33] ; [2 2],[14.74509804 32.25490196] ; [1.25490196 2.74509804],0
n1,1,0.422489,0.643382,[8 9] ; [1 3],[7.28571429 9.71428571] ; [1.71428571 2.28571429],0
r2,1,0.458825,0.54876,[26 21] ; [1 2],[25.38 21.62] ; [1.62 1.38],0
d3,1,0.465843,0.531818,[21 27] ; [1 3],[20.30769231 27.69230769] ; [1.69230769 2.30769231],0
p2,1,0.493484,0.468921,[20 27] ; [1 3],[19.35294118 27.64705882] ; [1.64705882 2.35294118],0
p10,1,0.544111,0.367974,[19 28] ; [1 3],[18.43137255 28.56862745] ; [1.56862745 2.43137255],0
b2,1,0.60594,0.266129,[10 21] ; [1 1],[10.33333333 20.66666667] ; [0.66666667 1.33333333],0
b3,1,0.60594,0.266129,[10 21] ; [1 1],[10.33333333 20.66666667] ; [0.66666667 1.33333333],0
d1,1,0.673951,0.177015,[17 31] ; [1 3],[16.61538462 31.38461538] ; [1.38461538 2.61538462],0
n5,1,0.732833,0.116527,[32 16] ; [3 1],[32.30769231 15.69230769] ; [2.69230769 1.30769231],0
p4,1,0.732833,0.116527,[16 32] ; [1 3],[15.69230769 32.30769231] ; [1.30769231 2.69230769],0
p11,1,0.745851,0.105051,[20 28] ; [2 2],[20.30769231 27.69230769] ; [1.69230769 2.30769231],0
n3,1,0.748328,0.102941,[ 7 10] ; [2 2],[7.28571429 9.71428571] ; [1.71428571 2.28571429],0
v2,1,0.774783,0.081867,[15 32] ; [1 3],[14.74509804 32.25490196] ; [1.25490196 2.74509804],0
p7,1,0.794703,0.067708,[15 33] ; [1 3],[14.76923077 33.23076923] ; [1.23076923 2.76923077],0
r3,1,0.837384,0.042124,[26 21] ; [2 2],[25.80392157 21.19607843] ; [2.19607843 1.80392157],0
n6,1,0.837384,0.042124,[21 26] ; [2 2],[21.19607843 25.80392157] ; [1.80392157 2.19607843],0
d2,1,0.837384,0.042124,[21 26] ; [2 2],[21.19607843 25.80392157] ; [1.80392157 2.19607843],0
s6,1,0.908903,0.013092,[13 34] ; [1 3],[12.90196078 34.09803922] ; [1.09803922 2.90196078],0
v1,1,0.924303,0.009028,[11 37] ; [1 3],[11.07692308 36.92307692] ; [0.92307692 3.07692308],0
b5,1,0.936139,0.00642,[25 23] ; [2 2],[24.92307692 23.07692308] ; [2.07692308 1.92307692],0
b1,1,0.936139,0.00642,[23 25] ; [2 2],[23.07692308 24.92307692] ; [1.92307692 2.07692308],0
p8,1,0.981304,0.000549,[12 35] ; [1 3],[11.98039216 35.01960784] ; [1.01960784 2.98039216],0
p3,1,1.0,0.0,[12 36] ; [1 3],[12. 36.] ; [1. 3.],0
