Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,4e-06,21.464092,[34 70] ; [19  3],[43.74603175 60.25396825] ; [ 9.25396825 12.74603175],1
s4,1,0.000455,12.289557,[ 9 97] ; [ 8 14],[14.078125 91.921875] ; [ 2.921875 19.078125],1
p4,1,0.00117,10.536361,[29 76] ; [14  8],[35.5511811 69.4488189] ; [ 7.4488189 14.5511811],0
p3,1,0.002455,9.17354,[24 82] ; [12 10],[29.8125 76.1875] ; [ 6.1875 15.8125],0
p8,1,0.006083,7.525609,[26 78] ; [12 10],[31.36507937 72.63492063] ; [ 6.63492063 15.36507937],0
s5,1,0.007835,7.070841,[ 9 94] ; [ 6 14],[12.56097561 90.43902439] ; [ 2.43902439 17.56097561],0
p2,1,0.015089,5.906086,[57 49] ; [18  4],[62.109375 43.890625] ; [12.890625  9.109375],0
b1,1,0.023662,5.119228,[49 57] ; [16  6],[53.828125 52.171875] ; [11.171875 10.828125],0
s7,1,0.027606,4.852535,[16 80] ; [ 8 13],[19.69230769 76.30769231] ; [ 4.30769231 16.69230769],0
r3,1,0.058267,3.586049,[76 30] ; [20  2],[79.5 26.5] ; [16.5  5.5],0
s6,1,0.073397,3.205369,[32 74] ; [11 11],[35.609375 70.390625] ; [ 7.390625 14.609375],0
a5,1,0.093225,2.817783,[64 42] ; [ 9 13],[60.453125 45.546875] ; [12.546875  9.453125],0
v2,1,0.101998,2.674015,[35 63] ; [12 10],[38.38333333 59.61666667] ; [ 8.61666667 13.38333333],0
b5,1,0.102205,2.670794,[57 49] ; [16  6],[60.453125 45.546875] ; [12.546875  9.453125],0
v3,1,0.103617,2.648972,[26 74] ; [ 2 19],[23.14049587 76.85950413] ; [ 4.85950413 16.14049587],0
b3,1,0.148106,2.091651,[13 46] ; [4 5],[14.75 44.25] ; [2.25 6.75],0
b2,1,0.148106,2.091651,[13 46] ; [4 5],[14.75 44.25] ; [2.25 6.75],0
u3,1,0.178374,1.811115,[21 18] ; [3 7],[19.10204082 19.89795918] ; [4.89795918 5.10204082],0
p11,1,0.178976,1.806103,[46 60] ; [13  9],[48.859375 57.140625] ; [10.140625 11.859375],0
p1,1,0.187941,1.733682,[ 6 99] ; [ 3 19],[ 7.44094488 97.55905512] ; [ 1.55905512 20.44094488],0
p5,1,0.21838,1.514984,[  1 104] ; [ 1 21],[  1.65354331 103.34645669] ; [ 0.34645669 21.65354331],0
n2,1,0.220616,1.50036,[22 16] ; [10  3],[23.84313725 14.15686275] ; [8.15686275 4.84313725],0
a4,1,0.28496,1.14328,[40 66] ; [11 11],[42.234375 63.765625] ; [ 8.765625 13.234375],0
s2,1,0.296932,1.087922,[27 79] ; [ 8 14],[28.984375 77.015625] ; [ 6.015625 15.984375],0
v4,1,0.347013,0.884349,[75 29] ; [18  4],[76.76190476 27.23809524] ; [16.23809524  5.76190476],0
v1,1,0.356404,0.850526,[32 72] ; [ 9 13],[33.84126984 70.15873016] ; [ 7.15873016 14.84126984],0
p10,1,0.357992,0.844925,[46 59] ; [12 10],[47.95275591 57.04724409] ; [10.04724409 11.95275591],0
p9,1,0.376988,0.7805,[56 49] ; [14  8],[57.87401575 47.12598425] ; [12.12598425  9.87401575],0
u2,1,0.390008,0.738916,[22 18] ; [7 3],[23.2 16.8] ; [5.8 4.2],0
d5,1,0.424129,0.638845,[67 38] ; [16  6],[68.62204724 36.37795276] ; [14.37795276  7.62204724],0
a3,1,0.46649,0.530278,[66 39] ; [12 10],[64.48818898 40.51181102] ; [13.51181102  8.48818898],0
a6,1,0.473483,0.513836,[63 42] ; [15  7],[64.48818898 40.51181102] ; [13.51181102  8.48818898],0
d4,1,0.48518,0.487198,[74 30] ; [14  8],[72.63492063 31.36507937] ; [15.36507937  6.63492063],0
d1,1,0.600281,0.274572,[40 66] ; [ 7 15],[38.921875 67.078125] ; [ 8.078125 13.921875],0
r2,1,0.613833,0.254631,[86 19] ; [17  5],[85.15748031 19.84251969] ; [17.84251969  4.15748031],0
n5,1,0.629063,0.233333,[44 61] ; [10 11],[45. 60.] ; [ 9. 12.],0
a8,1,0.649239,0.20686,[ 8 93] ; [ 1 19],[ 7.51239669 93.48760331] ; [ 1.48760331 18.51239669],0
a7,1,0.654114,0.200753,[68 38] ; [13  9],[67.078125 38.921875] ; [13.921875  8.078125],0
s1,1,0.716643,0.131732,[ 7 99] ; [ 1 21],[ 6.625 99.375] ; [ 1.375 20.625],0
a2,1,0.716643,0.131732,[16 90] ; [ 4 18],[16.5625 89.4375] ; [ 3.4375 18.5625],0
n3,1,0.72872,0.120291,[23 13] ; [9 4],[23.51020408 12.48979592] ; [8.48979592 4.51020408],0
d2,1,0.740441,0.109739,[39 66] ; [ 9 13],[39.68503937 65.31496063] ; [ 8.31496063 13.68503937],0
n4,1,0.746869,0.104181,[57 49] ; [11 11],[56.3125 49.6875] ; [11.6875 10.3125],0
d3,1,0.748428,0.102857,[59 46] ; [11 10],[58.33333333 46.66666667] ; [11.66666667  9.33333333],0
s3,1,0.823098,0.04998,[45 60] ; [10 12],[45.47244094 59.52755906] ; [ 9.52755906 12.47244094],0
r4,1,0.838869,0.041347,[65 41] ; [14  8],[65.421875 40.578125] ; [13.578125  8.421875],0
r1,1,0.852257,0.034685,[69 36] ; [14  8],[68.62204724 36.37795276] ; [14.37795276  7.62204724],0
n1,1,0.948556,0.004163,[15 23] ; [5 8],[14.90196078 23.09803922] ; [5.09803922 7.90196078],0
b4,1,0.988266,0.000216,[58 48] ; [12 10],[57.96875 48.03125] ; [12.03125  9.96875],0
