Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,3e-06,21.937515,[115  36] ; [26 35],[100.42924528  50.57075472] ; [40.57075472 20.42924528],1
a6,1,6e-06,20.445607,[108  44] ; [23 38],[93.48356808 58.51643192] ; [37.51643192 23.48356808],1
r1,1,0.000166,14.185503,[124  27] ; [35 26],[113.25  37.75] ; [45.75 15.25],1
a2,1,0.000524,12.026509,[ 47 106] ; [ 5 56],[ 37.17757009 115.82242991] ; [14.82242991 46.17757009],1
d5,1,0.00115,10.569333,[128  24] ; [39 22],[119.17370892  32.82629108] ; [47.82629108 13.17370892],0
b5,1,0.002929,8.851069,[106  47] ; [29 32],[96.51869159 56.48130841] ; [38.48130841 22.51869159],0
u1,1,0.003287,8.64116,[ 33 120] ; [ 3 58],[ 25.73831776 127.26168224] ; [10.26168224 50.73831776],0
r3,1,0.019467,5.459099,[135  16] ; [47 14],[129.63207547  21.36792453] ; [52.36792453  8.63207547],0
r4,1,0.021018,5.325266,[131  22] ; [44 17],[125.11682243  27.88317757] ; [49.88317757 11.11682243],0
p2,1,0.052718,3.752842,[105  47] ; [33 27],[98.94339623 53.05660377] ; [39.05660377 20.94339623],0
p10,1,0.083509,2.995259,[85 61] ; [27 33],[79.37864078 66.62135922] ; [32.62135922 27.37864078],0
v4,1,0.083956,2.986607,[140  13] ; [50 10],[136.47887324  16.52112676] ; [53.52112676  6.47887324],0
p9,1,0.101531,2.681335,[97 49] ; [32 27],[91.87317073 54.12682927] ; [37.12682927 21.87317073],0
s6,1,0.122648,2.383178,[100  50] ; [32 26],[95.19230769 54.80769231] ; [36.80769231 21.19230769],0
a5,1,0.125684,2.34502,[107  46] ; [36 25],[102.23831776  50.76168224] ; [40.76168224 20.23831776],0
b1,1,0.135364,2.229881,[73 80] ; [36 25],[77.92990654 75.07009346] ; [31.07009346 29.92990654],0
a1,1,0.145813,2.115515,[  7 146] ; [ 6 55],[  9.29439252 143.70560748] ; [ 3.70560748 57.29439252],0
d1,1,0.146559,2.107709,[87 66] ; [28 33],[82.21962617 70.78037383] ; [32.78037383 28.21962617],0
