Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,43.948528,[19 44] ; [96 24],[39.59016393 23.40983607] ; [75.40983607 44.59016393],1
p10,1,0.002318,9.278584,[35 26] ; [94 25],[43.71666667 17.28333333] ; [85.28333333 33.71666667],0
p9,1,0.002351,9.252835,[41 20] ; [102  16],[48.73184358 12.26815642] ; [94.26815642 23.73184358],0
p11,1,0.005211,7.804607,[37 26] ; [94 26],[45.09836066 17.90163934] ; [85.90163934 34.09836066],0
a5,1,0.015786,5.826541,[26 37] ; [72 48],[33.73770492 29.26229508] ; [64.26229508 55.73770492],0
u3,1,0.019824,5.427287,[19 11] ; [17 30],[14.02597403 15.97402597] ; [21.97402597 25.02597403],0
n6,1,0.02321,5.152697,[44 19] ; [101  19],[49.91803279 13.08196721] ; [95.08196721 24.91803279],0
v1,1,0.05858,3.577152,[20 42] ; [54 61],[25.92090395 36.07909605] ; [48.07909605 66.92090395],0
a4,1,0.077053,3.125994,[15 48] ; [44 76],[20.31147541 42.68852459] ; [38.68852459 81.31147541],0
s7,1,0.091259,2.852019,[18 44] ; [47 65],[23.16091954 38.83908046] ; [41.83908046 70.16091954],0
s1,1,0.09332,2.816152,[ 4 59] ; [  2 117],[ 2.07692308 60.92307692] ; [  3.92307692 115.07692308],0
n1,1,0.098729,2.725962,[ 5 19] ; [16 23],[ 8. 16.] ; [13. 26.],0
d3,1,0.109366,2.563363,[39 23] ; [60 59],[33.91160221 28.08839779] ; [65.08839779 53.91160221],0
p4,1,0.159867,1.975487,[26 36] ; [63 56],[30.48618785 31.51381215] ; [58.51381215 60.48618785],0
v3,1,0.181831,1.782595,[14 49] ; [37 80],[17.85 45.15] ; [33.15 83.85],0
u2,1,0.184929,1.75756,[19 11] ; [22 24],[16.18421053 13.81578947] ; [24.81578947 21.18421053],0
p5,1,0.189153,1.724203,[ 4 59] ; [ 15 104],[ 6.57692308 56.42307692] ; [ 12.42307692 106.57692308],0
b4,1,0.197435,1.661246,[31 32] ; [71 49],[35.1147541 27.8852459] ; [66.8852459 53.1147541],0
s3,1,0.209986,1.571524,[24 37] ; [59 61],[27.97237569 33.02762431] ; [55.02762431 64.97237569],0
n2,1,0.211899,1.558404,[16  8] ; [33  8],[18.09230769  5.90769231] ; [30.90769231 10.09230769],0
n3,1,0.217033,1.523884,[14 10] ; [30 11],[16.24615385  7.75384615] ; [27.75384615 13.24615385],0
a7,1,0.217063,1.523682,[41 21] ; [68 52],[37.13186813 24.86813187] ; [71.86813187 48.13186813],0
p8,1,0.220974,1.498037,[23 39] ; [55 63],[26.86666667 35.13333333] ; [51.13333333 66.86666667],0
v2,1,0.221405,1.49524,[22 41] ; [51 64],[25.83707865 37.16292135] ; [47.16292135 67.83707865],0
a6,1,0.238147,1.391529,[31 32] ; [70 50],[34.7704918 28.2295082] ; [66.2295082 53.7704918],0
s6,1,0.256666,1.286654,[30 32] ; [67 50],[33.59776536 28.40223464] ; [63.40223464 53.59776536],0
r4,1,0.278202,1.175852,[38 25] ; [82 38],[41.31147541 21.68852459] ; [78.68852459 41.31147541],0
a2,1,0.320781,0.985761,[ 4 59] ; [ 13 107],[ 5.85245902 57.14754098] ; [ 11.14754098 108.85245902],0
a3,1,0.323989,0.972774,[33 29] ; [73 47],[36.10989011 25.89010989] ; [69.89010989 50.10989011],0
a8,1,0.360638,0.835669,[ 3 57] ; [ 10 103],[ 4.50867052 55.49132948] ; [  8.49132948 104.50867052],0
p6,1,0.36707,0.813559,[17 42] ; [42 76],[19.66666667 39.33333333] ; [39.33333333 78.66666667],0
b2,1,0.368026,0.810318,[10 24] ; [28 45],[12.07476636 21.92523364] ; [25.92523364 47.07476636],0
b3,1,0.368026,0.810318,[10 24] ; [28 45],[12.07476636 21.92523364] ; [25.92523364 47.07476636],0
b1,1,0.370555,0.801801,[29 34] ; [47 73],[26.16393443 36.83606557] ; [49.83606557 70.16393443],0
b5,1,0.376624,0.781693,[42 21] ; [72 48],[39.24590164 23.75409836] ; [74.75409836 45.24590164],0
