Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,23.333333,[14 18] ; [70 10],[24.  8.] ; [60. 20.],1
p11,1,0.000429,12.401817,[11 21] ; [57 24],[19.25663717 12.74336283] ; [48.74336283 32.25663717],1
v4,1,0.002102,9.458424,[17 15] ; [66 15],[23.50442478  8.49557522] ; [59.49557522 21.50442478],0
s6,1,0.006864,7.308123,[ 6 26] ; [37 43],[12.28571429 19.71428571] ; [30.71428571 49.28571429],0
b5,1,0.008333,6.960397,[14 18] ; [57 24],[20.10619469 11.89380531] ; [50.89380531 30.10619469],0
r4,1,0.011935,6.320565,[ 9 23] ; [44 37],[15.00884956 16.99115044] ; [37.99115044 43.00884956],0
p4,1,0.026565,4.918886,[ 5 27] ; [30 51],[ 9.91150442 22.08849558] ; [25.08849558 55.91150442],0
n4,1,0.02737,4.867292,[15 17] ; [56 25],[20.10619469 11.89380531] ; [50.89380531 30.10619469],0
p1,1,0.029885,4.715879,[ 7 25] ; [ 6 75],[ 3.68141593 28.31858407] ; [ 9.31858407 71.68141593],0
p9,1,0.040945,4.178288,[18 13] ; [59 17],[22.30841121  8.69158879] ; [54.69158879 21.30841121],0
p2,1,0.041856,4.141022,[13 19] ; [50 31],[17.84070796 14.15929204] ; [45.15929204 35.84070796],0
n5,1,0.044217,4.048274,[17 15] ; [59 22],[21.52212389 10.47787611] ; [54.47787611 26.52212389],0
p10,1,0.056139,3.647918,[14 17] ; [52 28],[18.43243243 12.56756757] ; [47.56756757 32.43243243],0
a1,1,0.058699,3.573774,[ 5 27] ; [ 4 77],[ 2.54867257 29.45132743] ; [ 6.45132743 74.54867257],0
d4,1,0.064861,3.408511,[18 14] ; [60 21],[22.08849558  9.91150442] ; [55.91150442 25.08849558],0
s2,1,0.096469,2.762972,[ 7 25] ; [31 50],[10.76106195 21.23893805] ; [27.23893805 53.76106195],0
n1,1,0.123197,2.3762,[7 7] ; [ 7 20],[4.7804878 9.2195122] ; [ 9.2195122 17.7804878],0
p8,1,0.128052,2.315964,[ 3 28] ; [18 63],[ 5.8125 25.1875] ; [15.1875 65.8125],0
b4,1,0.12958,2.297532,[16 16] ; [53 28],[19.53982301 12.46017699] ; [49.46017699 31.53982301],0
b2,1,0.14787,2.094086,[11  7] ; [18 26],[8.41935484 9.58064516] ; [20.58064516 23.41935484],0
b3,1,0.14787,2.094086,[11  7] ; [18 26],[8.41935484 9.58064516] ; [20.58064516 23.41935484],0
d2,1,0.16562,1.922147,[18 14] ; [33 46],[14.7027027 17.2972973] ; [36.2972973 42.7027027],0
a2,1,0.184272,1.762827,[ 5 27] ; [ 6 75],[ 3.11504425 28.88495575] ; [ 7.88495575 73.11504425],0
u2,1,0.184393,1.761858,[ 3 10] ; [15 19],[4.9787234 8.0212766] ; [13.0212766 20.9787234],0
v2,1,0.258176,1.278513,[ 7 23] ; [27 51],[ 9.44444444 20.55555556] ; [24.55555556 53.44444444],0
d5,1,0.26179,1.259267,[19 13] ; [57 24],[21.52212389 10.47787611] ; [54.47787611 26.52212389],0
p3,1,0.271893,1.207174,[ 5 26] ; [21 60],[ 7.19642857 23.80357143] ; [18.80357143 62.19642857],0
a6,1,0.28203,1.157281,[19 13] ; [39 42],[16.42477876 15.57522124] ; [41.57522124 39.42477876],0
