Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,33.517459,[75 12] ; [113 111],[52.59163987 34.40836013] ; [135.40836013  88.59163987],1
p5,1,3e-06,21.631187,[18 71] ; [  9 218],[ 7.60443038 81.39556962] ; [ 19.39556962 207.60443038],1
s7,1,2.8e-05,17.543129,[54 32] ; [ 80 140],[37.66013072 48.33986928] ; [ 96.33986928 123.66013072],1
s2,1,0.000221,13.640223,[54 36] ; [ 84 142],[39.30379747 50.69620253] ; [ 98.69620253 127.30379747],1
s3,1,0.006798,7.325683,[57 32] ; [106 119],[46.20063694 42.79936306] ; [116.79936306 108.20063694],0
n6,1,0.009518,6.722949,[82  7] ; [181  45],[74.30793651 14.69206349] ; [188.69206349  37.30793651],0
p3,1,0.010618,6.528153,[48 42] ; [ 85 141],[37.87974684 52.12025316] ; [ 95.12025316 130.87974684],0
p12,1,0.011026,6.461171,[11 78] ; [ 10 216],[ 5.93333333 83.06666667] ; [ 15.06666667 210.93333333],0
s4,1,0.018159,5.580764,[22 66] ; [ 31 193],[14.94871795 73.05128205] ; [ 38.05128205 185.94871795],0
b5,1,0.035816,4.405845,[39 51] ; [128  99],[47.41324921 42.58675079] ; [119.58675079 107.41324921],0
p4,1,0.049746,3.85,[55 35] ; [110 115],[47.14285714 42.85714286] ; [117.85714286 107.14285714],0
p7,1,0.050572,3.822398,[60 26] ; [128  94],[52.49350649 33.50649351] ; [135.50649351  86.49350649],0
s1,1,0.053287,3.734899,[ 6 84] ; [  5 219],[ 3.15286624 86.84713376] ; [  7.84713376 216.15286624],0
p1,1,0.05909,3.562755,[10 78] ; [ 12 214],[ 6.1656051 81.8343949] ; [ 15.8343949 210.1656051],0
p6,1,0.082673,3.011556,[32 58] ; [ 58 167],[25.71428571 64.28571429] ; [ 64.28571429 160.71428571],0
r1,1,0.095871,2.772916,[72 17] ; [163  64],[66.18670886 22.81329114] ; [168.81329114  58.18670886],0
v3,1,0.129612,2.29715,[28 59] ; [ 53 170],[22.73225806 64.26774194] ; [ 58.26774194 164.73225806],0
p9,1,0.132865,2.258707,[76 11] ; [181  45],[71.43450479 15.56549521] ; [185.56549521  40.43450479],0
u1,1,0.134263,2.242508,[16 74] ; [ 26 201],[11.92429022 78.07570978] ; [ 30.07570978 196.92429022],0
a1,1,0.146937,2.10376,[ 6 84] ; [  7 220],[ 3.69085174 86.30914826] ; [  9.30914826 217.69085174],0
p2,1,0.157488,1.998184,[78 11] ; [183  43],[73.74285714 15.25714286] ; [187.25714286  38.74285714],0
a2,1,0.173842,1.8495,[21 69] ; [ 38 189],[16.75078864 73.24921136] ; [ 42.24921136 184.75078864],0
d2,1,0.249993,1.323343,[42 47] ; [ 91 136],[37.45886076 51.54113924] ; [ 95.54113924 131.45886076],0
u3,1,0.267674,1.228629,[20 14] ; [37 41],[17.30357143 16.69642857] ; [39.69642857 38.30357143],0
b2,1,0.27243,1.204469,[20 37] ; [33 89],[16.87709497 40.12290503] ; [36.12290503 85.87709497],0
b3,1,0.27243,1.204469,[20 37] ; [33 89],[16.87709497 40.12290503] ; [36.12290503 85.87709497],0
a5,1,0.279641,1.168832,[64 26] ; [147  80],[59.90536278 30.09463722] ; [151.09463722  75.90536278],0
n1,1,0.308107,1.038773,[ 8 12] ; [17 44],[ 6.17283951 13.82716049] ; [18.82716049 42.17283951],0
n5,1,0.320174,0.988236,[65 24] ; [150  73],[61.33012821 27.66987179] ; [153.66987179  69.33012821],0
a4,1,0.332715,0.938303,[39 51] ; [ 85 142],[35.20504732 54.79495268] ; [ 88.79495268 138.20504732],0
r2,1,0.337034,0.921679,[83  6] ; [202  23],[80.78025478  8.21974522] ; [204.21974522  20.78025478],0
p8,1,0.358478,0.843218,[47 40] ; [109 117],[43.36102236 43.63897764] ; [112.63897764 113.36102236],0
b1,1,0.358793,0.842114,[28 62] ; [ 83 144],[31.51419558 58.48580442] ; [ 79.48580442 147.51419558],0
s8,1,0.366254,0.816335,[35 54] ; [ 77 150],[31.5443038 57.4556962] ; [ 80.4556962 146.5443038],0
b4,1,0.379714,0.771629,[56 34] ; [129  98],[52.52365931 37.47634069] ; [132.47634069  94.52365931],0
r3,1,0.381525,0.765782,[82  6] ; [217  10],[83.53015873  4.46984127] ; [215.46984127  11.53015873],0
a8,1,0.39503,0.723404,[ 8 73] ; [ 29 185],[10.15932203 70.84067797] ; [ 26.84067797 187.15932203],0
r4,1,0.421795,0.645309,[80 10] ; [194  33],[77.79179811 12.20820189] ; [196.20820189  30.79179811],0
