Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.003942,8.310435,[215  57] ; [18 14],[208.47368421  63.52631579] ; [24.52631579  7.47368421],0
u2,1,0.037594,4.323277,[49 37] ; [3 9],[45.63265306 40.36734694] ; [6.36734694 5.63265306],0
b1,1,0.051305,3.798281,[ 98 174] ; [ 6 26],[ 93.05263158 178.94736842] ; [10.94736842 21.05263158],0
s6,1,0.06717,3.350849,[110 159] ; [18 13],[114.77333333 154.22666667] ; [13.22666667 17.77333333],0
a4,1,0.080472,3.055348,[120 151] ; [ 9 23],[115.37623762 155.62376238] ; [13.62376238 18.37623762],0
a2,1,0.084279,2.980392,[ 72 200] ; [ 4 28],[ 68. 204.] ; [ 8. 24.],0
d2,1,0.090383,2.867543,[119 153] ; [ 9 23],[114.52631579 157.47368421] ; [13.47368421 18.52631579],0
p3,1,0.093291,2.816644,[127 144] ; [10 22],[122.53135314 148.46864686] ; [14.46864686 17.53135314],0
a8,1,0.097416,2.747339,[ 35 206] ; [ 1 28],[ 32.13333333 208.86666667] ; [ 3.86666667 25.13333333],0
s2,1,0.10551,2.620219,[ 33 238] ; [ 7 24],[ 35.89403974 235.10596026] ; [ 4.10596026 26.89403974],0
p11,1,0.116423,2.464797,[205  67] ; [20 12],[201.31578947  70.68421053] ; [23.68421053  8.31578947],0
p2,1,0.123212,2.376006,[218  53] ; [22 10],[214.65346535  56.34653465] ; [25.34653465  6.65346535],0
n4,1,0.135822,2.224664,[196  76] ; [19 13],[192.36842105  79.63157895] ; [22.63157895  9.36842105],0
r1,1,0.135847,2.224383,[210  61] ; [21 11],[206.6039604  64.3960396] ; [24.3960396  7.6039604],0
s5,1,0.165918,1.91944,[ 50 219] ; [ 9 22],[ 52.90333333 216.09666667] ; [ 6.09666667 24.90333333],0
r3,1,0.189635,1.720452,[254  17] ; [28  4],[252.21782178  18.78217822] ; [29.78217822  2.21782178],0
d5,1,0.209906,1.572075,[228  44] ; [24  8],[225.47368421  46.52631579] ; [26.52631579  5.47368421],0
n6,1,0.221632,1.49377,[212  59] ; [28  4],[214.65346535  56.34653465] ; [25.34653465  6.65346535],0
v3,1,0.234469,1.413542,[ 97 168] ; [ 8 23],[ 94.00337838 170.99662162] ; [10.99662162 20.00337838],0
p6,1,0.255045,1.295457,[ 82 185] ; [13 19],[ 84.83277592 182.16722408] ; [10.16722408 21.83277592],0
p10,1,0.270999,1.211683,[202  65] ; [27  5],[204.4916388  62.5083612] ; [24.5083612  7.4916388],0
u3,1,0.31786,0.997732,[49 37] ; [5 7],[47.3877551 38.6122449] ; [6.6122449 5.3877551],0
v4,1,0.342581,0.900747,[251  21] ; [31  1],[252.31578947  19.68421053] ; [29.68421053  2.31578947],0
p7,1,0.362126,0.830506,[156 111] ; [16 16],[153.59197324 113.40802676] ; [18.40802676 13.59197324],0
d3,1,0.382229,0.76352,[201  70] ; [26  6],[203.02640264  67.97359736] ; [23.97359736  8.02640264],0
r4,1,0.392467,0.731285,[236  36] ; [26  6],[234.42105263  37.57894737] ; [27.57894737  4.42105263],0
n2,1,0.403019,0.699301,[42 24] ; [7 2],[43.12 22.88] ; [5.88 3.12],0
b5,1,0.467006,0.529051,[178  94] ; [23  9],[179.84210526  92.15789474] ; [21.15789474 10.84210526],0
n5,1,0.471012,0.5196,[177  92] ; [19 13],[175.1627907  93.8372093] ; [20.8372093 11.1627907],0
a3,1,0.490556,0.475307,[185  85] ; [20 12],[183.2781457  86.7218543] ; [21.7218543 10.2781457],0
p8,1,0.490898,0.474556,[137 128] ; [14 17],[135.18581081 129.81418919] ; [15.81418919 15.18581081],0
r2,1,0.505438,0.4435,[246  24] ; [28  4],[244.96688742  25.03311258] ; [29.03311258  2.96688742],0
v1,1,0.51655,0.420777,[135 134] ; [18 14],[136.73421927 132.26578073] ; [16.26578073 15.73421927],0
d1,1,0.526715,0.400725,[152 120] ; [16 16],[150.31578947 121.68421053] ; [17.68421053 14.31578947],0
b4,1,0.55048,0.356459,[155 117] ; [20 12],[156.57894737 115.42105263] ; [18.42105263 13.57894737],0
v2,1,0.553968,0.350256,[146 117] ; [16 16],[144.42711864 118.57288136] ; [17.57288136 14.42711864],0
d4,1,0.594144,0.283918,[223  49] ; [25  7],[221.89473684  50.10526316] ; [26.10526316  5.89473684],0
a5,1,0.628446,0.234174,[198  74] ; [22 10],[196.84210526  75.15789474] ; [23.15789474  8.84210526],0
a1,1,0.672766,0.178383,[ 13 259] ; [ 1 31],[ 12.52631579 259.47368421] ; [ 1.47368421 30.52631579],0
p9,1,0.690978,0.158029,[208  58] ; [26  6],[208.87248322  57.12751678] ; [25.12751678  6.87248322],0
p1,1,0.71134,0.136942,[ 22 249] ; [ 2 30],[ 21.46534653 249.53465347] ; [ 2.53465347 29.46534653],0
n1,1,0.724983,0.123768,[18 47] ; [3 6],[18.44594595 46.55405405] ; [2.55405405 6.44594595],0
p12,1,0.725252,0.123516,[ 12 257] ; [ 1 31],[ 11.6179402 257.3820598] ; [ 1.3820598 30.6179402],0
u1,1,0.814137,0.055268,[ 47 225] ; [ 5 27],[ 46.52631579 225.47368421] ; [ 5.47368421 26.52631579],0
p4,1,0.887338,0.020072,[147 123] ; [17 15],[146.62251656 123.37748344] ; [17.37748344 14.62251656],0
s8,1,0.907906,0.013382,[ 65 205] ; [ 8 24],[ 65.26490066 204.73509934] ; [ 7.73509934 24.26490066],0
n3,1,0.927168,0.008356,[45 21] ; [6 3],[44.88 21.12] ; [6.12 2.88],0
s7,1,0.929218,0.007891,[ 69 183] ; [ 9 23],[ 69.21126761 182.78873239] ; [ 8.78873239 23.21126761],0
b2,1,0.958744,0.002676,[ 53 101] ; [ 7 13],[ 53.10344828 100.89655172] ; [ 6.89655172 13.10344828],0
b3,1,0.958744,0.002676,[ 53 101] ; [ 7 13],[ 53.10344828 100.89655172] ; [ 6.89655172 13.10344828],0
p5,1,0.982971,0.000456,[ 25 245] ; [ 3 29],[ 25.03311258 244.96688742] ; [ 2.96688742 29.03311258],0
