Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,26.828941,[12  1] ; [23 80],[3.92241379 9.07758621] ; [31.07758621 71.92241379],1
p12,1,7e-06,20.175959,[4 9] ; [  2 104],[ 0.65546218 12.34453782] ; [  5.34453782 100.65546218],1
b3,1,4e-05,16.850959,[12  1] ; [19 43],[5.37333333 7.62666667] ; [25.62666667 36.37333333],1
b2,1,4e-05,16.850959,[12  1] ; [19 43],[5.37333333 7.62666667] ; [25.62666667 36.37333333],1
s7,1,4.5e-05,16.639319,[11  2] ; [26 69],[4.4537037 8.5462963] ; [32.5462963 62.4537037],1
p5,1,5.3e-05,16.3423,[5 7] ; [ 6 99],[ 1.12820513 10.87179487] ; [ 9.87179487 95.12820513],1
v3,1,0.00016,14.245403,[8 1] ; [28 74],[2.91891892 6.08108108] ; [33.08108108 68.91891892],1
s2,1,0.000183,13.993882,[11  2] ; [33 72],[4.84745763 8.15254237] ; [39.15254237 65.84745763],1
s3,1,0.000271,13.262609,[12  1] ; [41 64],[5.83898305 7.16101695] ; [47.16101695 57.83898305],1
d1,1,0.000413,12.471944,[12  1] ; [43 63],[6.00840336 6.99159664] ; [48.99159664 57.00840336],1
a2,1,0.000619,11.717986,[8 5] ; [20 86],[3.05882353 9.94117647] ; [24.94117647 81.05882353],1
v1,1,0.000663,11.591028,[9 1] ; [37 69],[3.96551724 6.03448276] ; [42.03448276 63.96551724],1
p8,1,0.001438,10.15625,[9 4] ; [27 77],[4. 9.] ; [32. 72.],0
p4,1,0.001624,9.931778,[11  2] ; [41 65],[5.68067227 7.31932773] ; [46.31932773 59.68067227],0
s6,1,0.002336,9.264853,[12  1] ; [49 54],[6.8362069 6.1637931] ; [54.1637931 48.8362069],0
u1,1,0.002919,8.857132,[5 8] ; [10 96],[ 1.63865546 11.36134454] ; [13.36134454 92.63865546],0
d2,1,0.003957,8.303226,[11  2] ; [44 60],[6.11111111 6.88888889] ; [48.88888889 55.11111111],0
v2,1,0.00656,7.38978,[8 2] ; [37 66],[3.98230088 6.01769912] ; [41.01769912 61.98230088],0
p3,1,0.006899,7.299047,[10  3] ; [40 66],[5.46218487 7.53781513] ; [44.53781513 61.46218487],0
a5,1,0.01294,6.177284,[12  1] ; [60 46],[7.86554622 5.13445378] ; [64.13445378 41.86554622],0
a4,1,0.01391,6.049551,[10  3] ; [43 62],[5.83898305 7.16101695] ; [47.16101695 57.83898305],0
p6,1,0.024569,5.054038,[7 6] ; [25 78],[3.5862069 9.4137931] ; [28.4137931 74.5862069],0
d3,1,0.027225,4.876491,[11  2] ; [55 50],[7.27118644 5.72881356] ; [58.72881356 46.27118644],0
p2,1,0.033939,4.497762,[11  2] ; [57 49],[7.42857143 5.57142857] ; [60.57142857 45.42857143],0
a6,1,0.071366,3.251326,[10  3] ; [53 52],[6.94067797 6.05932203] ; [56.05932203 48.94067797],0
r1,1,0.087527,2.919287,[11  2] ; [64 42],[8.19327731 4.80672269] ; [66.80672269 39.19327731],0
p7,1,0.089699,2.879767,[9 4] ; [47 59],[6.11764706 6.88235294] ; [49.88235294 56.11764706],0
a1,1,0.136679,2.214952,[ 3 10] ; [10 96],[ 1.42016807 11.57983193] ; [11.57983193 94.42016807],0
a8,1,0.145986,2.113697,[3 7] ; [13 87],[1.45454545 8.54545455] ; [14.54545455 85.45454545],0
n4,1,0.157004,2.002847,[11  2] ; [69 37],[8.7394958 4.2605042] ; [71.2605042 34.7394958],0
s5,1,0.203648,1.616016,[4 7] ; [20 81],[2.35714286 8.64285714] ; [21.64285714 79.35714286],0
d5,1,0.20931,1.576191,[11  2] ; [71 34],[9.03389831 3.96610169] ; [72.96610169 32.03389831],0
a7,1,0.26229,1.25663,[9 4] ; [56 50],[7.10084034 5.89915966] ; [57.89915966 48.10084034],0
s4,1,0.41488,0.664773,[ 1 12] ; [17 87],[ 2. 11.] ; [16. 88.],0
b5,1,0.643385,0.214343,[8 5] ; [72 34],[8.7394958 4.2605042] ; [71.2605042 34.7394958],0
b4,1,0.69923,0.149274,[7 6] ; [63 43],[7.64705882 5.35294118] ; [62.35294118 43.64705882],0
p1,1,0.889641,0.019254,[ 1 12] ; [ 7 98],[ 0.88135593 12.11864407] ; [ 7.11864407 97.88135593],0
s1,1,0.985097,0.000349,[ 1 12] ; [ 8 98],[ 0.98319328 12.01680672] ; [ 8.01680672 97.98319328],0
