Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,92.247763,[ 61 213] ; [223 147],[120.83229814 153.16770186] ; [163.16770186 206.83229814],1
v1,1,0.0,47.855886,[113 162] ; [253 117],[156.04651163 118.95348837] ; [209.95348837 160.04651163],1
d1,1,0.000868,11.089952,[153 128] ; [254 124],[173.54628225 107.45371775] ; [233.45371775 144.54628225],1
d4,1,0.000983,10.85989,[216  63] ; [327  48],[231.64678899  47.35321101] ; [311.35321101  63.64678899],1
p7,1,0.002685,9.0101,[164 112] ; [259 107],[181.85046729  94.14953271] ; [241.14953271 124.85046729],0
p10,1,0.002985,8.816381,[215  63] ; [321  51],[229.24307692  48.75692308] ; [306.75692308  65.24307692],0
p3,1,0.004421,8.102375,[134 145] ; [221 152],[151.9095092 127.0904908] ; [203.0904908 169.9095092],0
d2,1,0.008546,6.915303,[128 151] ; [211 164],[144.61926606 134.38073394] ; [194.38073394 180.61926606],0
s8,1,0.008988,6.825305,[116 164] ; [193 180],[132.49617152 147.50382848] ; [176.50382848 196.49617152],0
a5,1,0.012349,6.260058,[205  76] ; [306  71],[218.22340426  62.77659574] ; [292.77659574  84.22340426],0
p9,1,0.013709,6.07528,[225  52] ; [328  44],[236.02619414  40.97380586] ; [316.97380586  55.02619414],0
d5,1,0.016397,5.759809,[219  60] ; [323  54],[230.5152439  48.4847561] ; [311.4847561  65.5152439],0
r1,1,0.017348,5.660775,[221  59] ; [325  53],[232.34042553  47.65957447] ; [313.65957447  64.34042553],0
d3,1,0.018454,5.552488,[180 100] ; [274 102],[193.7804878  86.2195122] ; [260.2195122 115.7804878],0
r3,1,0.018842,5.516149,[261  19] ; [366  11],[267.21461187  12.78538813] ; [359.78538813  17.21461187],0
a3,1,0.023273,5.148016,[194  85] ; [291  85],[206.58778626  72.41221374] ; [278.41221374  97.58778626],0
s7,1,0.024057,5.090512,[133 135] ; [209 147],[146.88461538 121.11538462] ; [195.11538462 160.88461538],0
s1,1,0.026551,4.919758,[ 15 262] ; [  8 363],[  9.83179012 267.16820988] ; [ 13.16820988 357.83179012],0
a1,1,0.037454,4.329665,[  9 272] ; [ 26 352],[ 14.92412747 266.07587253] ; [ 20.07587253 357.92412747],0
s4,1,0.045537,3.998622,[ 51 224] ; [ 48 326],[ 41.94915254 233.05084746] ; [ 57.05084746 316.94915254],0
a7,1,0.049519,3.85767,[191  90] ; [281  94],[202.18292683  78.81707317] ; [269.81707317 105.18292683],0
a6,1,0.070968,3.260481,[180 100] ; [266 109],[190.65648855  89.34351145] ; [255.34351145 119.65648855],0
p12,1,0.073294,3.20767,[ 18 261] ; [ 39 334],[ 24.39110429 254.60889571] ; [ 32.60889571 340.39110429],0
n3,1,0.083451,2.996369,[42 19] ; [51 11],[46.12195122 14.87804878] ; [46.87804878 15.12195122],0
p11,1,0.08382,2.98923,[220  61] ; [316  62],[228.55235205  52.44764795] ; [307.44764795  70.55235205],0
b1,1,0.088525,2.900989,[121 160] ; [138 240],[110.43854325 170.56145675] ; [148.56145675 229.43854325],0
u1,1,0.11124,2.536523,[ 49 232] ; [ 85 293],[ 57.13808801 223.86191199] ; [ 76.86191199 301.13808801],0
r4,1,0.129077,2.303574,[256  25] ; [356  22],[260.95902883  20.04097117] ; [351.04097117  26.95902883],0
s5,1,0.129757,2.295413,[ 86 184] ; [136 225],[ 94.99207607 175.00792393] ; [127.00792393 233.99207607],0
p8,1,0.171532,1.869503,[145 134] ; [210 156],[153.55813953 125.44186047] ; [201.44186047 164.55813953],0
s2,1,0.185864,1.750104,[138 141] ; [204 169],[146.34662577 132.65337423] ; [195.65337423 177.34662577],0
n1,1,0.224525,1.475211,[31 32] ; [23 37],[27.65853659 35.34146341] ; [26.34146341 33.65853659],0
a8,1,0.231478,1.431756,[ 35 223] ; [ 57 275],[ 40.23050847 217.76949153] ; [ 51.76949153 280.23050847],0
n6,1,0.239276,1.384856,[246  35] ; [340  36],[250.63318113  30.36681887] ; [335.36681887  40.63318113],0
p6,1,0.243392,1.360841,[107 174] ; [156 210],[114.22411128 166.77588872] ; [148.77588872 217.22411128],0
u4,1,0.281969,1.157574,[  4 277] ; [ 10 368],[  5.96965099 275.03034901] ; [  8.03034901 369.96965099],0
a2,1,0.32309,0.976397,[ 67 214] ; [103 275],[ 72.48861912 208.51138088] ; [ 97.51138088 280.48861912],0
p4,1,0.341527,0.904691,[173 107] ; [242 128],[178.76923077 101.23076923] ; [236.23076923 133.76923077],0
u2,1,0.432098,0.617179,[46 41] ; [50 35],[48.55813953 38.44186047] ; [47.44186047 37.55813953],0
p2,1,0.500492,0.453893,[235  45] ; [321  53],[238.04281346  41.95718654] ; [317.95718654  56.04281346],0
n2,1,0.523619,0.406759,[48 17] ; [48 13],[49.52380952 15.47619048] ; [46.47619048 14.52380952],0
s3,1,0.564091,0.33267,[162 115] ; [208 162],[158.40803709 118.59196291] ; [211.59196291 158.40803709],0
b4,1,0.581075,0.3045,[159 122] ; [222 156],[162.45978756 118.54021244] ; [218.54021244 159.45978756],0
n5,1,0.601951,0.272063,[238  42] ; [325  51],[240.30487805  39.69512195] ; [322.69512195  53.30487805],0
b2,1,0.621342,0.243986,[ 65 110] ; [ 98 150],[ 67.43498818 107.56501182] ; [ 95.56501182 152.43498818],0
b3,1,0.621342,0.243986,[ 65 110] ; [ 98 150],[ 67.43498818 107.56501182] ; [ 95.56501182 152.43498818],0
p5,1,0.634853,0.225538,[ 39 238] ; [ 48 327],[ 36.96165644 240.03834356] ; [ 50.03834356 324.96165644],0
b5,1,0.679463,0.170731,[171 110] ; [224 154],[168.42943854 112.57056146] ; [226.57056146 151.42943854],0
u3,1,0.70909,0.139187,[48 38] ; [51 36],[49.21387283 36.78612717] ; [49.78612717 37.21387283],0
s6,1,0.926291,0.008559,[190  84] ; [256 115],[189.46356589  84.53643411] ; [256.53643411 114.46356589],0
r2,1,0.93904,0.005849,[268  10] ; [360  13],[268.1781874   9.8218126] ; [359.8218126  13.1781874],0
a4,1,0.942849,0.005139,[135 144] ; [183 193],[135.45343511 143.54656489] ; [182.54656489 193.45343511],0
p1,1,0.996357,2.1e-05,[ 26 253] ; [ 35 341],[ 25.98320611 253.01679389] ; [ 35.01679389 340.98320611],0
