Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,47.358121,[36 18] ; [ 24 122],[16.2 37.8] ; [ 43.8 102.2],1
s6,1,0.0,30.838803,[44 13] ; [ 52 100],[26.18181818 30.81818182] ; [69.81818182 82.18181818],1
s3,1,1e-06,24.670944,[39 18] ; [ 46 105],[23.29326923 33.70673077] ; [61.70673077 89.29326923],1
s2,1,3e-06,21.596149,[32 25] ; [ 34 117],[18.08653846 38.91346154] ; [ 47.91346154 103.08653846],1
u1,1,4e-05,16.858567,[17 40] ; [ 12 141],[ 7.87142857 49.12857143] ; [ 21.12857143 131.87142857],1
n6,1,0.000207,13.765399,[53  4] ; [104  49],[42.61428571 14.38571429] ; [114.38571429  38.61428571],1
d1,1,0.000671,11.568185,[40 17] ; [67 86],[29.04285714 27.95714286] ; [77.95714286 75.04285714],1
r1,1,0.000677,11.550674,[48  9] ; [90 62],[37.63636364 19.36363636] ; [100.36363636  51.63636364],1
n5,1,0.001737,9.808352,[46 10] ; [90 63],[36.44019139 19.55980861] ; [99.55980861 53.44019139],0
a2,1,0.001791,9.752322,[17 40] ; [ 18 135],[ 9.5 47.5] ; [ 25.5 127.5],0
r4,1,0.002411,9.207183,[50  7] ; [102  51],[41.25714286 15.74285714] ; [110.74285714  42.25714286],0
d2,1,0.004966,7.891779,[36 21] ; [62 88],[26.98550725 30.01449275] ; [71.01449275 78.98550725],0
p10,1,0.006343,7.450172,[43 14] ; [82 68],[34.42028986 22.57971014] ; [90.57971014 59.42028986],0
p6,1,0.007879,7.060811,[12 45] ; [ 12 140],[ 6.54545455 50.45454545] ; [ 17.45454545 134.54545455],0
n4,1,0.008453,6.934985,[46 11] ; [94 59],[38. 19.] ; [102.  51.],0
v4,1,0.013844,6.057988,[53  4] ; [120  33],[46.95714286 10.04285714] ; [126.04285714  26.95714286],0
v3,1,0.016576,5.740697,[19 35] ; [ 28 119],[12.62686567 41.37313433] ; [ 34.37313433 112.62686567],0
p12,1,0.016657,5.732198,[ 6 51] ; [  4 149],[ 2.71428571 54.28571429] ; [  7.28571429 145.71428571],0
p9,1,0.017516,5.643957,[44 13] ; [88 60],[36.70243902 20.29756098] ; [95.29756098 52.70243902],0
